STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10,WKT
"01","36530","0136530","B5","G6350","S","250235423","17650195","+30.4082096","-087.5555847","N","POLYGON ((-87.643645 30.450824, -87.646342 30.425082, -87.638859 30.409936, -87.625636 30.405403, -87.640982 30.384824, -87.626621 30.384778, -87.621551 30.362907, -87.610613 30.355604, -87.589253 30.318195, -87.589448 30.305669, -87.575881 30.29868, -87.560291 30.306642, -87.542176 30.303861, -87.522446 30.315318, -87.50581 30.315086, -87.504701 30.324039, -87.492045 30.330872, -87.497202 30.351805, -87.496353 30.36964, -87.510008 30.399904, -87.48894 30.399889, -87.490278 30.414494, -87.48043 30.421797, -87.463547 30.421787, -87.463535 30.440064, -87.480441 30.463292, -87.468306 30.480095, -87.486693 30.488138, -87.499486 30.509049, -87.513394 30.512044, -87.524624 30.50569, -87.532674 30.490399, -87.549432 30.484096, -87.561601 30.486582, -87.577513 30.500379, -87.597269 30.501706, -87.594201 30.478431, -87.599855 30.47288, -87.636902 30.472788, -87.636823 30.450743, -87.643645 30.450824))"
"01","36550","0136550","B5","G6350","S","139668535","346716","+31.2494298","-087.7304359","N","POLYGON ((-87.763603 31.297253, -87.791491 31.295404, -87.785543 31.284243, -87.78285 31.277207, -87.78648 31.273495, -87.780613 31.266436, -87.790539 31.258486, -87.788036 31.248324, -87.810815 31.231987, -87.815348 31.21716, -87.782285 31.217673, -87.787439 31.206697, -87.772511 31.196972, -87.762636 31.203862, -87.746291 31.204193, -87.742671 31.217741, -87.726491 31.229014, -87.719053 31.21846, -87.738382 31.210807, -87.730752 31.201625, -87.707296 31.18947, -87.704237 31.177937, -87.690338 31.173314, -87.683984 31.15979, -87.650119 31.180007, -87.64921 31.186859, -87.630812 31.195561, -87.629956 31.207045, -87.640137 31.218695, -87.663999 31.213263, -87.672269 31.217599, -87.664654 31.23303, -87.650894 31.248782, -87.676419 31.261992, -87.690614 31.282916, -87.701714 31.285229, -87.712365 31.301132, -87.744393 31.301694, -87.763603 31.297253))"
"01","36576","0136576","B5","G6350","S","50363677","149027","+30.5229528","-087.7638326","N","POLYGON ((-87.732234 30.517446, -87.732945 30.529729, -87.725381 30.538183, -87.725276 30.559967, -87.733738 30.567236, -87.752149 30.567337, -87.788263 30.545551, -87.798664 30.545541, -87.796807 30.539902, -87.809752 30.522702, -87.808187 30.496928, -87.802903 30.483204, -87.794026 30.493646, -87.769678 30.498713, -87.755024 30.475869, -87.750871 30.498343, -87.732234 30.517446))"
"01","36053","0136053","B5","G6350","S","752654958","989315","+32.0292404","-085.4435708","N","POLYGON ((-85.609933 31.931994, -85.594321 31.938638, -85.568916 31.937663, -85.551053 31.941647, -85.546182 31.959343, -85.533563 31.947484, -85.519601 31.944224, -85.50596 31.95421, -85.497266 31.93376, -85.480732 31.937109, -85.457128 31.92724, -85.44823 31.944283, -85.454961 31.954857, -85.446737 31.972508, -85.418916 31.995038, -85.374443 31.990489, -85.37445 31.968703, -85.357715 31.961653, -85.346979 31.951613, -85.343049 31.937634, -85.347124 31.920103, -85.330903 31.901369, -85.304566 31.917689, -85.291407 31.922456, -85.274861 31.920786, -85.255337 31.902687, -85.236595 31.898469, -85.210101 31.897714, -85.209275 31.930711, -85.186439 31.939439, -85.214319 31.966042, -85.210521 32.00526, -85.21366 32.016689, -85.236776 32.024591, -85.262371 32.022159, -85.281108 32.037585, -85.297462 32.018824, -85.331558 32.026176, -85.35076 32.033732, -85.3615 32.045844, -85.339806 32.063671, -85.338954 32.076065, -85.317547 32.098782, -85.319251 32.131611, -85.33837 32.147152, -85.42923 32.146483, -85.433351 32.155181, -85.451177 32.153759, -85.482557 32.168666, -85.493064 32.187266, -85.510257 32.184407, -85.525471 32.176139, -85.529208 32.163387, -85.541014 32.147382, -85.555738 32.13863, -85.56557 32.126887, -85.56843 32.114345, -85.57736 32.108328, -85.599242 32.081429, -85.672234 32.102617, -85.677546 32.093777, -85.654337 32.0779, -85.645186 32.058099, -85.639411 32.035532, -85.643828 32.027634, -85.636238 32.0156, -85.635454 31.999206, -85.627102 31.982122, -85.616951 31.974388, -85.611967 31.953472, -85.620276 31.945499, -85.610877 31.934573, -85.609933 31.931994))"
"01","36017","0136017","B5","G6350","S","161248032","173549","+31.6794432","-085.5577196","N","MULTIPOLYGON (((-85.518347 31.666601, -85.521184 31.652283, -85.508396 31.652101, -85.501129 31.661934, -85.489076 31.645438, -85.490893 31.627797, -85.475051 31.620493, -85.416437 31.619466, -85.416381 31.661209, -85.439153 31.66351, -85.447263 31.672448, -85.456761 31.677761, -85.461277 31.697547, -85.467993 31.707552, -85.501648 31.705434, -85.498212 31.697978, -85.504056 31.674984, -85.518347 31.666601)), ((-85.694933 31.704077, -85.671112 31.692314, -85.670559 31.707307, -85.656047 31.707786, -85.642822 31.699883, -85.637558 31.681001, -85.645499 31.669263, -85.640837 31.659654, -85.627533 31.657698, -85.624254 31.645164, -85.611316 31.635702, -85.610273 31.664068, -85.576927 31.661864, -85.568543 31.640994, -85.536562 31.64577, -85.536183 31.618957, -85.528298 31.619219, -85.523947 31.647866, -85.535814 31.649344, -85.556752 31.661202, -85.532008 31.673098, -85.53529 31.688172, -85.543361 31.697348, -85.538837 31.71083, -85.545969 31.71797, -85.561716 31.720845, -85.564511 31.728949, -85.601734 31.730901, -85.618632 31.738364, -85.631713 31.72776, -85.648624 31.731114, -85.657947 31.747745, -85.682792 31.740894, -85.691263 31.723497, -85.694933 31.704077)))"
"01","36317","0136317","B5","G6350","S","105180907","177457","+31.6435573","-085.4042554","N","POLYGON ((-85.447263 31.672448, -85.439153 31.66351, -85.416381 31.661209, -85.416437 31.619466, -85.475051 31.620493, -85.459129 31.605504, -85.427687 31.608652, -85.428664 31.586541, -85.416124 31.574015, -85.416348 31.606396, -85.400505 31.59745, -85.399234 31.581568, -85.38964 31.563435, -85.37464 31.567159, -85.383235 31.591501, -85.363583 31.598754, -85.360841 31.608697, -85.344781 31.604422, -85.342292 31.633748, -85.348053 31.642223, -85.340989 31.66147, -85.329488 31.676715, -85.341209 31.680092, -85.359384 31.693079, -85.365319 31.706094, -85.416038 31.706664, -85.44012 31.684312, -85.447263 31.672448))"
"01","35184","0135184","B5","G6350","S","366669339","2761608","+33.1143453","-087.1367145","N","POLYGON ((-87.289752 33.063231, -87.274078 33.070649, -87.248947 33.061884, -87.244095 33.041415, -87.230492 33.048291, -87.195644 33.032051, -87.156373 33.018729, -87.152421 33.005364, -87.133814 32.993772, -87.117181 33.007693, -87.08861 33.012936, -87.073725 33.020387, -87.069884 33.029279, -87.07657 33.041885, -87.081704 33.052936, -87.077951 33.070864, -87.065437 33.080418, -87.06029 33.09161, -87.032495 33.116994, -87.028439 33.140909, -87.039815 33.152728, -87.025614 33.179147, -87.021298 33.191447, -87.025719 33.209722, -87.025976 33.231607, -87.026846 33.246459, -87.044829 33.246667, -87.076642 33.246831, -87.104101 33.221457, -87.121517 33.221744, -87.127912 33.22007, -87.120997 33.211176, -87.132931 33.200144, -87.142136 33.183774, -87.135159 33.178508, -87.14749 33.162833, -87.122499 33.151515, -87.150069 33.148075, -87.166269 33.157514, -87.186145 33.131479, -87.202884 33.130654, -87.281945 33.13306, -87.302904 33.105449, -87.3121 33.088168, -87.294444 33.072673, -87.289752 33.063231))"
"01","35111","0135111","B5","G6350","S","166239542","3044016","+33.2843517","-087.0948780","N","POLYGON ((-87.128139 33.304067, -87.13308 33.294562, -87.178273 33.287184, -87.185731 33.272658, -87.196727 33.271327, -87.205151 33.248978, -87.199055 33.230251, -87.170768 33.228963, -87.153428 33.233811, -87.138875 33.213948, -87.12528 33.22421, -87.121517 33.221744, -87.104101 33.221457, -87.076642 33.246831, -87.044829 33.246667, -87.029815 33.26147, -87.005225 33.297449, -87.000956 33.31138, -86.983782 33.328978, -87.008555 33.337907, -87.017603 33.350915, -87.036381 33.334446, -87.053818 33.341776, -87.050227 33.370585, -87.086546 33.340991, -87.092554 33.334587, -87.111411 33.331474, -87.128802 33.322021, -87.128139 33.304067))"
"01","35957","0135957","B5","G6350","S","206099774","653429","+34.1961587","-086.1968976","N","POLYGON ((-86.279702 34.212999, -86.289899 34.206839, -86.282897 34.195073, -86.298416 34.192644, -86.31205 34.173573, -86.310217 34.152421, -86.329782 34.15863, -86.365225 34.155179, -86.384782 34.134305, -86.385535 34.127332, -86.363431 34.115931, -86.35628 34.136377, -86.346408 34.141659, -86.303516 34.099073, -86.206107 34.17265, -86.18796 34.183691, -86.167161 34.187466, -86.105611 34.186232, -86.106086 34.200756, -86.008586 34.199436, -85.99949 34.208558, -86.011557 34.220188, -86.016399 34.234338, -86.03663 34.231642, -86.039635 34.251701, -86.05875 34.240865, -86.076145 34.238999, -86.087017 34.235571, -86.096832 34.256387, -86.094341 34.270482, -86.107797 34.277313, -86.121869 34.272071, -86.134129 34.259758, -86.157984 34.254537, -86.164751 34.24723, -86.162996 34.234487, -86.169129 34.228456, -86.191337 34.227516, -86.208871 34.210469, -86.233974 34.213946, -86.253311 34.202099, -86.279702 34.212999))"
"01","36052","0136052","B5","G6350","S","161902261","1218767","+32.1840931","-086.0482855","N","POLYGON ((-85.998977 32.23507, -86.004186 32.267912, -86.016688 32.274409, -86.016365 32.259217, -86.033657 32.263678, -86.0323 32.251816, -86.048604 32.250523, -86.049123 32.26184, -86.076962 32.247093, -86.079655 32.227527, -86.102173 32.202374, -86.117444 32.192268, -86.122572 32.182941, -86.130703 32.172201, -86.111088 32.13629, -86.096355 32.131484, -86.080313 32.114603, -86.057066 32.126772, -86.024767 32.126921, -86.024184 32.143346, -86.005736 32.142031, -86.003507 32.116677, -86.005564 32.090172, -85.997118 32.079698, -85.998453 32.185066, -85.985969 32.185311, -85.974673 32.195476, -85.958523 32.196229, -85.955753 32.208951, -85.988027 32.222766, -85.998977 32.23507))"
