STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10,WKT
"06","94601","0694601","B5","G6350","S","8410939","310703","+37.7755447","-122.2187049","N","POLYGON ((-122.223531 37.795772, -122.23748 37.78237, -122.236488 37.771696, -122.223779 37.754428, -122.213319 37.765318, -122.197348 37.771623, -122.194594 37.773522, -122.20984 37.788334, -122.223531 37.795772))"
"06","94501","0694501","B5","G6350","S","20539466","9005303","+37.7737968","-122.2781230","N","POLYGON ((-122.340281 37.800628, -122.321555 37.771215, -122.259468 37.752594, -122.225895 37.749694, -122.223779 37.754428, -122.236488 37.771696, -122.246179 37.783426, -122.26838 37.788028, -122.28428 37.793828, -122.31468 37.794728, -122.340281 37.800628))"
"06","94560","0694560","B5","G6350","S","35757865","60530","+37.5041413","-122.0323587","N","POLYGON ((-122.038506 37.563408, -122.067333 37.540231, -122.069074 37.524522, -122.058288 37.51572, -122.057788 37.501106, -122.035386 37.494691, -122.030858 37.481568, -121.99332 37.499453, -121.99798 37.50383, -121.987767 37.522432, -122.00236 37.529774, -122.017439 37.539259, -122.038506 37.563408))"
"06","94587","0694587","B5","G6350","S","51075108","0","+37.6031556","-122.0186382","N","POLYGON ((-122.013906 37.631621, -122.029694 37.620458, -122.030938 37.605927, -122.068539 37.605683, -122.073893 37.616684, -122.088946 37.606705, -122.089615 37.562107, -122.06973 37.563639, -122.041459 37.588119, -122.02536 37.578493, -122.013355 37.580965, -121.981668 37.604624, -121.957525 37.590159, -121.951652 37.597529, -121.941364 37.611252, -121.944953 37.626208, -121.960892 37.635742, -121.981171 37.635832, -122.006593 37.627058, -122.013906 37.631621))"
"06","94580","0694580","B5","G6350","S","8929836","17052","+37.6757312","-122.1330170","N","POLYGON ((-122.130142 37.690901, -122.133838 37.684396, -122.161705 37.667748, -122.162676 37.667297, -122.138335 37.658543, -122.126254 37.664274, -122.119792 37.683729, -122.111838 37.688721, -122.130142 37.690901))"
"06","94514","0694514","B5","G6350","S","74350346","453950","+37.8263717","-121.6225460","N","POLYGON ((-121.55696 37.799106, -121.576477 37.816727, -121.606684 37.830657, -121.61351 37.847341, -121.613883 37.889323, -121.632197 37.889288, -121.651196 37.882482, -121.659952 37.885579, -121.688647 37.882978, -121.678999 37.872325, -121.647604 37.851047, -121.654979 37.821802, -121.663303 37.812452, -121.67588 37.799464, -121.694756 37.790539, -121.697169 37.782692, -121.670362 37.789427, -121.624161 37.799127, -121.596171 37.765699, -121.578751 37.775303, -121.556968 37.771324, -121.55696 37.798837, -121.55696 37.799106))"
"06","94703","0694703","B5","G6350","S","3460814","0","+37.8639059","-122.2756401","N","POLYGON ((-122.281596 37.880632, -122.277787 37.847601, -122.27127 37.846562, -122.266128 37.852009, -122.267167 37.860342, -122.273265 37.873325, -122.275673 37.884755, -122.281596 37.880632))"
"06","95601","0695601","B5","G6350","S","4538018","26631","+38.4266990","-120.8257170","N","POLYGON ((-120.827919 38.43844, -120.846422 38.424995, -120.825423 38.414855, -120.8093 38.417984, -120.820392 38.43801, -120.827919 38.43844))"
"06","95669","0695669","B5","G6350","S","228749899","203331","+38.4826191","-120.8994719","N","POLYGON ((-120.943563 38.527524, -120.974374 38.515998, -121.009671 38.51755, -121.027507 38.508292, -121.027272 38.458034, -121.008702 38.454414, -120.96384 38.454521, -120.954629 38.446281, -120.957809 38.39577, -120.970971 38.375116, -120.959614 38.368723, -120.951341 38.383895, -120.926708 38.383081, -120.904803 38.406077, -120.890504 38.406585, -120.877496 38.421358, -120.872648 38.453833, -120.854171 38.453837, -120.843368 38.446215, -120.820049 38.470716, -120.790877 38.493054, -120.795184 38.501232, -120.783487 38.514969, -120.762366 38.5238, -120.745867 38.54093, -120.747251 38.548446, -120.760595 38.554915, -120.779078 38.554378, -120.820936 38.559469, -120.840864 38.556022, -120.862409 38.543329, -120.882426 38.537572, -120.887722 38.524449, -120.902862 38.530978, -120.910985 38.520496, -120.92984 38.517802, -120.943563 38.527524))"
"06","95901","0695901","B5","G6350","S","509066137","4141361","+39.2239387","-121.4940499","N","MULTIPOLYGON (((-121.440497 39.352008, -121.418907 39.363874, -121.405339 39.388638, -121.420731 39.390407, -121.447302 39.370224, -121.440497 39.352008)), ((-121.440497 39.352008, -121.453938 39.341486, -121.485938 39.337645, -121.509827 39.317108, -121.531636 39.317891, -121.548733 39.308773, -121.569302 39.308357, -121.594183 39.307835, -121.609115 39.319508, -121.62376 39.295621, -121.635869 39.261117, -121.636368 39.246076, -121.614307 39.228745, -121.613689 39.214525, -121.629089 39.204678, -121.613 39.190304, -121.618132 39.182237, -121.597676 39.127792, -121.59356 39.133818, -121.559375 39.113184, -121.521423 39.07061, -121.513979 39.065158, -121.483221 39.043995, -121.48471 39.085459, -121.434496 39.071664, -121.437813 39.129533, -121.477276 39.128931, -121.477085 39.143665, -121.467548 39.157911, -121.433773 39.170571, -121.395583 39.173756, -121.395572 39.159204, -121.376839 39.153243, -121.321935 39.153064, -121.321271 39.167571, -121.332006 39.1875, -121.344532 39.18585, -121.348541 39.2004, -121.369167 39.218701, -121.407832 39.222004, -121.407445 39.23003, -121.450869 39.221131, -121.454201 39.23482, -121.41808 39.261429, -121.372402 39.301535, -121.358819 39.317066, -121.358061 39.330458, -121.341757 39.328572, -121.335026 39.350184, -121.347371 39.363519, -121.372014 39.367675, -121.414156 39.340201, -121.425581 39.335751, -121.440497 39.352008)))"
