STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10,WKT
"12","32606","1232606","B5","G6350","S","44273265","253128","+29.6820042","-082.4440962","N","POLYGON ((-82.419093 29.659656, -82.432548 29.674307, -82.388981 29.674086, -82.378957 29.680578, -82.379463 29.691314, -82.381897 29.703365, -82.388888 29.703259, -82.393454 29.697863, -82.403477 29.699632, -82.410969 29.695545, -82.426366 29.702209, -82.449324 29.702209, -82.449496 29.71098, -82.466092 29.716325, -82.457045 29.699976, -82.467959 29.697256, -82.482689 29.706681, -82.495973 29.706681, -82.495981 29.697377, -82.496027 29.664734, -82.472445 29.664655, -82.472384 29.659825, -82.430981 29.660326, -82.419093 29.659656))"
"12","32609","1232609","B5","G6350","S","290843169","6376578","+29.7689903","-082.2825337","N","POLYGON ((-82.188943 29.72455, -82.191382 29.740009, -82.190693 29.754717, -82.199736 29.7601, -82.189246 29.761654, -82.195215 29.769614, -82.185905 29.775739, -82.180034 29.780008, -82.18823 29.783779, -82.188325 29.774611, -82.204527 29.774832, -82.208008 29.785672, -82.2082 29.799693, -82.197578 29.795946, -82.198125 29.802041, -82.192871 29.808947, -82.180158 29.80253, -82.180116 29.815969, -82.18388 29.819131, -82.195101 29.820884, -82.196537 29.825145, -82.193213 29.830923, -82.200899 29.832296, -82.207269 29.824776, -82.208415 29.818649, -82.217993 29.824833, -82.219875 29.838116, -82.206056 29.838301, -82.205851 29.84549, -82.233514 29.845297, -82.241061 29.852185, -82.267176 29.846816, -82.272679 29.842998, -82.281837 29.844448, -82.295906 29.852459, -82.305027 29.853171, -82.305203 29.859924, -82.313914 29.859959, -82.314176 29.867604, -82.323079 29.867233, -82.334558 29.87845, -82.34022 29.871651, -82.340949 29.860605, -82.347287 29.854628, -82.347137 29.841596, -82.360201 29.840109, -82.360199 29.835448, -82.368369 29.835452, -82.368147 29.84003, -82.376686 29.839945, -82.382231 29.839893, -82.39332 29.844483, -82.393254 29.833571, -82.400207 29.832136, -82.392737 29.827223, -82.387022 29.817886, -82.384755 29.800595, -82.378312 29.787015, -82.369449 29.773044, -82.357558 29.757785, -82.354094 29.74222, -82.338884 29.742547, -82.330772 29.7447, -82.324492 29.749069, -82.315456 29.748147, -82.318327 29.734135, -82.312013 29.726747, -82.312425 29.720759, -82.317395 29.709738, -82.331093 29.71064, -82.347301 29.703272, -82.347267 29.695877, -82.339033 29.68611, -82.339157 29.666676, -82.301776 29.666512, -82.289325 29.665345, -82.289223 29.675392, -82.271734 29.675658, -82.267309 29.673927, -82.24742 29.673302, -82.24411 29.670722, -82.225515 29.687048, -82.222482 29.687878, -82.222557 29.709482, -82.209731 29.711579, -82.201657 29.707606, -82.195714 29.72318, -82.188943 29.72455))"
"12","32612","1232612","B5","G6350","S","2117657","310044","+29.6431195","-082.3538453","N","MULTIPOLYGON (((-82.350401 29.644891, -82.339314 29.644902, -82.339323 29.652056, -82.355717 29.650392, -82.36051 29.650351, -82.350944 29.648291, -82.350401 29.644891)), ((-82.369293 29.637642, -82.350485 29.639184, -82.350401 29.644891, -82.3642 29.644496, -82.369293 29.637642)))"
"12","32234","1232234","B5","G6350","S","335454814","1292362","+30.2260009","-081.9835221","N","POLYGON ((-82.049424 30.165981, -82.03471 30.16294, -82.04051 30.15441, -82.03261 30.15223, -82.036022 30.143156, -82.02969 30.13946, -82.03128 30.1281, -82.02978 30.12084, -82.0377 30.1188, -82.04636 30.1127, -82.04939 30.10447, -82.049201 30.055904, -81.990259 30.054919, -81.987151 30.056025, -81.978799 30.066257, -81.979098 30.075594, -81.981823 30.079397, -81.976924 30.102893, -81.97179 30.11161, -81.978585 30.117064, -81.97939 30.12191, -81.985511 30.12479, -81.989789 30.130303, -81.992067 30.141952, -81.990443 30.147124, -81.979066 30.153668, -81.972225 30.15543, -81.96042 30.155158, -81.954767 30.153129, -81.95 30.146661, -81.93824 30.142068, -81.928012 30.143031, -81.918032 30.137818, -81.924169 30.155357, -81.920782 30.160005, -81.919673 30.168713, -81.922704 30.177124, -81.9204 30.186941, -81.916564 30.193429, -81.921227 30.207439, -81.921318 30.229101, -81.88631 30.248887, -81.886268 30.263714, -81.869524 30.264998, -81.869573 30.296229, -81.87799 30.294173, -81.877895 30.306554, -81.869516 30.307426, -81.898715 30.304561, -81.895173 30.309383, -81.955669 30.302892, -81.961211 30.302902, -81.961535 30.311494, -81.96858 30.314027, -81.959042 30.329492, -81.946196 30.364883, -81.974139 30.339989, -81.981768 30.340763, -81.98534 30.34574, -81.991458 30.345754, -81.992721 30.324917, -82.033042 30.324756, -82.04082 30.32149, -82.039188 30.315275, -82.049641 30.310815, -82.048923 30.243364, -82.04932 30.20125, -82.060995 30.208813, -82.065715 30.203725, -82.065858 30.193241, -82.069197 30.186321, -82.06744 30.181873, -82.067188 30.16727, -82.06028 30.165612, -82.049424 30.165981))"
"12","32438","1232438","B5","G6350","S","162751694","964947","+30.5012874","-085.4240809","N","POLYGON ((-85.355263 30.533675, -85.350613 30.542694, -85.341744 30.542563, -85.341732 30.547201, -85.346833 30.555461, -85.342086 30.566336, -85.434782 30.56756, -85.486358 30.567574, -85.486309 30.520496, -85.486122 30.509826, -85.494633 30.510786, -85.499648 30.507048, -85.496746 30.499844, -85.486518 30.50249, -85.487091 30.478729, -85.495473 30.476689, -85.49533 30.471496, -85.487266 30.471399, -85.487784 30.442094, -85.48674 30.436328, -85.463325 30.436035, -85.460754 30.422185, -85.451248 30.417442, -85.446517 30.435817, -85.386756 30.435327, -85.385789 30.480488, -85.385084 30.508473, -85.38475 30.530351, -85.367932 30.529323, -85.367821 30.523124, -85.34736 30.522687, -85.347088 30.51817, -85.33445 30.518682, -85.33651 30.526338, -85.342815 30.526263, -85.342777 30.537105, -85.355263 30.533675))"
"12","32656","1232656","B5","G6350","S","145837206","15950622","+29.8136843","-081.9594543","N","MULTIPOLYGON (((-82.084813 29.783496, -82.094319 29.780089, -82.081896 29.77821, -82.079845 29.767829, -82.07815 29.77711, -82.084813 29.783496)), ((-81.96943 29.75801, -81.977302 29.758534, -81.974959 29.748965, -81.96929 29.74713, -81.956891 29.747369, -81.957168 29.751325, -81.96548 29.75128, -81.96943 29.75801)), ((-81.913329 29.791749, -81.90019 29.79413, -81.89068 29.79821, -81.86629 29.80073, -81.87393 29.81761, -81.87845 29.81809, -81.880062 29.836795, -81.869104 29.845245, -81.874947 29.864754, -81.873053 29.873491, -81.867034 29.86846, -81.863264 29.870774, -81.863477 29.882498, -81.872668 29.888036, -81.879648 29.888946, -81.888606 29.902691, -81.886537 29.910029, -81.897323 29.912293, -81.89852 29.90261, -81.90276 29.89688, -82.00446 29.81304, -82.029267 29.813032, -82.029616 29.822233, -82.03506 29.81787, -82.04682 29.81749, -82.046945 29.810589, -82.06313 29.81638, -82.06488 29.80782, -82.06227 29.80475, -82.06312 29.79115, -82.057835 29.77883, -82.057579 29.761985, -82.048387 29.76427, -82.039645 29.761269, -82.03089 29.763993, -82.02837 29.754741, -82.01955 29.74248, -82.01795 29.73315, -82.00707 29.73949, -81.99608 29.742391, -81.99633 29.74845, -81.98437 29.7462, -81.981954 29.755937, -81.982268 29.76505, -81.98809 29.76411, -81.99063 29.776552, -81.96318 29.77674, -81.95498 29.78, -81.94873 29.77777, -81.9422 29.78162, -81.93958 29.77618, -81.94136 29.76955, -81.93232 29.77076, -81.925042 29.774068, -81.920218 29.78616, -81.913329 29.791749)))"
"12","32083","1232083","B5","G6350","S","103884003","518407","+30.1146512","-082.2328293","N","POLYGON ((-82.287015 30.141734, -82.282354 30.135462, -82.285729 30.128342, -82.29697 30.111732, -82.297759 30.103354, -82.29343 30.102156, -82.287666 30.094176, -82.282952 30.092752, -82.282836 30.083387, -82.27236 30.079177, -82.274793 30.071743, -82.27243 30.060861, -82.2731 30.052036, -82.257522 30.044348, -82.254606 30.036036, -82.258598 30.029409, -82.251494 30.028026, -82.241604 30.029358, -82.225638 30.034264, -82.220511 30.038179, -82.215944 30.045317, -82.207644 30.052717, -82.18644 30.06485, -82.18113 30.0626, -82.17846 30.05867, -82.169838 30.063378, -82.177742 30.068736, -82.174148 30.091238, -82.165977 30.105358, -82.169922 30.113593, -82.189749 30.113617, -82.197004 30.108123, -82.208717 30.108571, -82.214739 30.105062, -82.215506 30.113614, -82.186629 30.142742, -82.224356 30.142645, -82.249835 30.141874, -82.287015 30.141734))"
"12","32940","1232940","B5","G6350","S","337477626","27722966","+28.2132754","-080.7956986","N","POLYGON ((-80.663476 28.232189, -80.675852 28.228617, -80.688408 28.261451, -80.703278 28.264801, -80.728989 28.266465, -80.727638 28.261797, -80.736242 28.258712, -80.74292 28.258686, -80.742905 28.265552, -80.754588 28.262592, -80.754699 28.230149, -80.764761 28.229753, -80.765254 28.250165, -80.756512 28.275595, -80.74742 28.281438, -80.742949 28.282031, -80.74286 28.292295, -80.750815 28.297327, -80.759095 28.305771, -80.773962 28.328366, -80.782234 28.326306, -80.794965 28.330061, -80.814661 28.331157, -80.824522 28.333102, -80.847393 28.345691, -80.862815 28.347221, -80.862579 28.312805, -80.861649 28.271044, -80.861576 28.246558, -80.862827 28.091885, -80.766181 28.092155, -80.751388 28.084955, -80.750128 28.09692, -80.746906 28.10338, -80.748362 28.114688, -80.745175 28.124357, -80.743534 28.159927, -80.744497 28.171578, -80.707167 28.171575, -80.706239 28.186007, -80.672035 28.185888, -80.672016 28.184419, -80.668781 28.191377, -80.65677 28.190402, -80.659939 28.203387, -80.651189 28.206243, -80.663476 28.232189))"
"12","32951","1232951","B5","G6350","S","21043685","55549525","+27.9473366","-080.5047059","N","POLYGON ((-80.555991 28.077898, -80.572251 28.076534, -80.589376 28.076494, -80.581876 28.063695, -80.554875 28.017156, -80.55279 28.012464, -80.540047 27.990885, -80.534789 27.968633, -80.532161 27.96356, -80.51 27.920349, -80.498118 27.895911, -80.491125 27.884798, -80.481873 27.860272, -80.478642 27.854615, -80.4549 27.854641, -80.447088 27.860755, -80.441822 27.86082, -80.48996 27.943991, -80.506672 27.97488, -80.540226 28.04188, -80.555991 28.077898))"
"12","33069","1233069","B5","G6350","S","24300518","739768","+26.2358298","-080.1569694","N","POLYGON ((-80.177921 26.23076, -80.195463 26.210031, -80.195587 26.209063, -80.176792 26.209235, -80.147979 26.21192, -80.138427 26.209066, -80.136155 26.215177, -80.136455 26.255098, -80.132881 26.260603, -80.148796 26.260378, -80.151785 26.261958, -80.152064 26.274541, -80.168784 26.27423, -80.166272 26.251569, -80.167794 26.244242, -80.177921 26.23076))"
