STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10,WKT
"16","83634","1683634","B5","G6350","S","387964176","1575894","+43.4557812","-116.3284527","N","POLYGON ((-116.513451 43.437153, -116.493818 43.437039, -116.493805 43.410574, -116.4931 43.408433, -116.484786 43.405534, -116.479173 43.408692, -116.479552 43.411962, -116.473719 43.416584, -116.473722 43.422722, -116.467854 43.418809, -116.46384 43.422706, -116.453586 43.42269, -116.453794 43.408425, -116.463738 43.408491, -116.463642 43.40259, -116.459751 43.397971, -116.453821 43.396097, -116.453674 43.401093, -116.413789 43.401236, -116.413553 43.396945, -116.402069 43.397579, -116.400848 43.394102, -116.391566 43.392818, -116.381628 43.388583, -116.374969 43.381263, -116.369199 43.379711, -116.358382 43.38214, -116.349005 43.378392, -116.347679 43.366764, -116.338055 43.366766, -116.333762 43.372004, -116.323918 43.370817, -116.314073 43.371824, -116.303916 43.378627, -116.303977 43.393813, -116.254079 43.393731, -116.253768 43.368025, -116.243429 43.370162, -116.237683 43.374257, -116.231391 43.370513, -116.21907 43.368664, -116.209288 43.368118, -116.205056 43.365808, -116.201994 43.38315, -116.197668 43.388663, -116.194715 43.389378, -116.196505 43.398069, -116.19845 43.398595, -116.198964 43.406672, -116.202885 43.412435, -116.202594 43.415317, -116.194499 43.417029, -116.164309 43.420796, -116.147584 43.421658, -116.135238 43.421283, -116.13408 43.433344, -116.136731 43.442246, -116.136247 43.444953, -116.129962 43.451188, -116.115923 43.453944, -116.134103 43.474552, -116.138012 43.477288, -116.165745 43.492083, -116.176352 43.500726, -116.190766 43.507697, -116.193549 43.512608, -116.203415 43.51923, -116.221532 43.524892, -116.225869 43.52423, -116.233627 43.525942, -116.233612 43.520537, -116.228149 43.51095, -116.233883 43.506918, -116.234028 43.488261, -116.24331 43.485346, -116.250909 43.484914, -116.262378 43.489513, -116.27499 43.493569, -116.284413 43.498614, -116.302395 43.50484, -116.312622 43.510871, -116.314415 43.517466, -116.311769 43.522793, -116.314433 43.52696, -116.319526 43.524358, -116.315812 43.517453, -116.334491 43.51729, -116.338196 43.517282, -116.343461 43.521785, -116.34449 43.514474, -116.354356 43.518171, -116.354342 43.52462, -116.362597 43.524529, -116.361319 43.517301, -116.381243 43.517336, -116.392647 43.523024, -116.396103 43.517358, -116.413819 43.51748, -116.413821 43.528405, -116.420102 43.532023, -116.423648 43.531443, -116.426388 43.527242, -116.430435 43.527734, -116.43363 43.532074, -116.433623 43.531043, -116.433666 43.517499, -116.443638 43.517484, -116.448626 43.519063, -116.449571 43.524749, -116.453628 43.524738, -116.45362 43.514336, -116.455852 43.51236, -116.460576 43.522112, -116.473557 43.529436, -116.473527 43.510242, -116.493434 43.510359, -116.503665 43.508957, -116.50135 43.503055, -116.513043 43.502849, -116.513127 43.49194, -116.514252 43.488321, -116.520646 43.488316, -116.51763 43.479861, -116.513452 43.47569, -116.517926 43.473834, -116.518489 43.459399, -116.513364 43.45932, -116.513451 43.437153))"
"16","83632","1683632","B5","G6350","S","322988797","1771978","+44.5400100","-116.4128907","N","POLYGON ((-116.452787 44.462343, -116.428019 44.45124, -116.407496 44.443849, -116.320358 44.444084, -116.307443 44.453494, -116.296299 44.457841, -116.285569 44.458296, -116.283084 44.462563, -116.278705 44.462818, -116.272344 44.468344, -116.274057 44.472536, -116.277773 44.474298, -116.283285 44.480955, -116.289129 44.478788, -116.289477 44.484024, -116.284141 44.485537, -116.279333 44.483939, -116.279573 44.4806, -116.273253 44.478653, -116.271843 44.473307, -116.267984 44.470771, -116.264135 44.475527, -116.269481 44.484488, -116.273879 44.487338, -116.277563 44.492696, -116.285944 44.491798, -116.296178 44.494967, -116.308219 44.505762, -116.312842 44.513563, -116.320934 44.513076, -116.330436 44.516217, -116.330299 44.520025, -116.325919 44.527811, -116.317759 44.529666, -116.317483 44.533413, -116.313977 44.538077, -116.305921 44.536165, -116.302557 44.529722, -116.298211 44.530669, -116.293707 44.535208, -116.289724 44.536215, -116.278295 44.544406, -116.282126 44.548692, -116.287321 44.548957, -116.292298 44.542607, -116.297628 44.538651, -116.302381 44.544127, -116.310248 44.543013, -116.311392 44.545451, -116.303731 44.563075, -116.29985 44.564845, -116.304216 44.576782, -116.298722 44.580051, -116.303047 44.585163, -116.298311 44.587539, -116.304779 44.591336, -116.310756 44.5899, -116.3148 44.591563, -116.312751 44.596795, -116.315526 44.603181, -116.319317 44.604754, -116.3205 44.609716, -116.324373 44.611631, -116.31848 44.616697, -116.318025 44.619311, -116.324484 44.625215, -116.314937 44.627048, -116.315203 44.628913, -116.363832 44.628899, -116.368869 44.630323, -116.386966 44.630087, -116.393248 44.629202, -116.432401 44.629605, -116.433156 44.615181, -116.441788 44.615167, -116.444665 44.60954, -116.448694 44.613125, -116.445331 44.615176, -116.472829 44.615205, -116.477985 44.612057, -116.477855 44.608851, -116.515451 44.608277, -116.514578 44.597765, -116.521456 44.592261, -116.51957 44.588009, -116.520768 44.584363, -116.528215 44.581116, -116.528366 44.556703, -116.527871 44.542496, -116.527793 44.513087, -116.527157 44.490695, -116.452787 44.462343))"
"16","83643","1683643","B5","G6350","S","57907041","216735","+44.6321470","-116.4409762","N","POLYGON ((-116.270069 44.651509, -116.278101 44.652454, -116.306034 44.647477, -116.311485 44.649939, -116.323821 44.649965, -116.341115 44.650979, -116.352436 44.652696, -116.3634 44.649845, -116.373511 44.64553, -116.380568 44.644385, -116.390487 44.651671, -116.395284 44.648105, -116.401246 44.647021, -116.407087 44.641897, -116.417391 44.640643, -116.433006 44.646376, -116.438252 44.650394, -116.443841 44.651429, -116.451976 44.656963, -116.456204 44.651717, -116.464662 44.651273, -116.467957 44.646827, -116.477862 44.642404, -116.481747 44.639415, -116.500572 44.635794, -116.504869 44.633227, -116.514168 44.634171, -116.520698 44.633344, -116.526991 44.635767, -116.533046 44.635537, -116.552637 44.637628, -116.560703 44.640043, -116.569507 44.636267, -116.562011 44.627969, -116.554591 44.624601, -116.555122 44.618896, -116.560231 44.617398, -116.572674 44.620419, -116.579378 44.619678, -116.583208 44.614785, -116.528382 44.614886, -116.528215 44.581116, -116.520768 44.584363, -116.51957 44.588009, -116.521456 44.592261, -116.514578 44.597765, -116.515451 44.608277, -116.477855 44.608851, -116.477985 44.612057, -116.472829 44.615205, -116.445331 44.615176, -116.448694 44.613125, -116.444665 44.60954, -116.441788 44.615167, -116.433156 44.615181, -116.432401 44.629605, -116.393248 44.629202, -116.386966 44.630087, -116.368869 44.630323, -116.363832 44.628899, -116.315203 44.628913, -116.303495 44.628942, -116.302385 44.632685, -116.304468 44.64037, -116.301364 44.644404, -116.28365 44.64779, -116.270069 44.651509))"
"16","83209","1683209","B5","G6350","S","1717136","0","+42.8577915","-112.4263221","N","POLYGON ((-112.438305 42.862025, -112.423019 42.848774, -112.415617 42.851858, -112.418274 42.858701, -112.426895 42.86208, -112.430649 42.86683, -112.438305 42.862025))"
"16","83250","1683250","B5","G6350","S","198183852","597485","+42.6725280","-112.2047505","N","POLYGON ((-112.292673 42.726176, -112.292755 42.718308, -112.282561 42.717701, -112.282366 42.687533, -112.290497 42.67965, -112.282297 42.679618, -112.28224 42.661464, -112.29191 42.660591, -112.291351 42.624932, -112.291485 42.612032, -112.273275 42.607016, -112.266796 42.602743, -112.252187 42.60274, -112.252029 42.598106, -112.246914 42.597417, -112.241415 42.599294, -112.240708 42.603693, -112.237049 42.609936, -112.224479 42.610793, -112.217389 42.599356, -112.212425 42.597963, -112.203759 42.588271, -112.195268 42.584353, -112.188611 42.577799, -112.18922 42.572683, -112.18631 42.56753, -112.179579 42.567097, -112.186116 42.583444, -112.181162 42.583097, -112.174502 42.572406, -112.169873 42.572513, -112.161097 42.578723, -112.164043 42.585757, -112.162853 42.592191, -112.17324 42.595219, -112.173254 42.613308, -112.158149 42.61728, -112.157419 42.61986, -112.15159 42.623805, -112.14329 42.626363, -112.137172 42.6306, -112.115471 42.638341, -112.116458 42.643013, -112.111408 42.650684, -112.11443 42.6565, -112.114611 42.666305, -112.111973 42.668886, -112.121348 42.67608, -112.11835 42.679999, -112.110103 42.684646, -112.109488 42.68782, -112.103485 42.690967, -112.103519 42.698772, -112.107548 42.700919, -112.115696 42.715993, -112.114108 42.72578, -112.201956 42.726005, -112.223661 42.72561, -112.225393 42.744214, -112.228211 42.763088, -112.227762 42.768814, -112.223534 42.768887, -112.225653 42.775306, -112.225142 42.781359, -112.23902 42.783046, -112.239489 42.786016, -112.249305 42.79088, -112.250759 42.789579, -112.239791 42.781679, -112.234759 42.776401, -112.23429 42.766194, -112.242318 42.749148, -112.242625 42.742831, -112.240156 42.737788, -112.245931 42.734363, -112.243904 42.725496, -112.249603 42.72488, -112.254202 42.726974, -112.287068 42.726919, -112.292673 42.726176))"
"16","83870","1683870","B5","G6350","S","185036312","0","+47.1258745","-116.8315226","N","POLYGON ((-117.03975 47.15461, -117.010779 47.149239, -117.00946 47.145883, -116.990346 47.148742, -116.988937 47.154572, -116.991473 47.156073, -116.991542 47.163291, -116.996594 47.163569, -116.995762 47.168254, -116.999238 47.170359, -117.018914 47.170751, -117.018115 47.172333, -117.018251 47.190005, -117.009612 47.186953, -116.994702 47.188214, -116.983095 47.184088, -116.973956 47.18582, -116.962938 47.180726, -116.948086 47.177054, -116.946661 47.172023, -116.942397 47.169001, -116.941341 47.163916, -116.936017 47.15908, -116.927664 47.155652, -116.915564 47.155527, -116.910074 47.148398, -116.895096 47.143666, -116.874109 47.133434, -116.865363 47.132412, -116.856237 47.129317, -116.850812 47.130433, -116.839293 47.129097, -116.828817 47.12036, -116.826686 47.116789, -116.81656 47.110684, -116.815042 47.107097, -116.804493 47.101929, -116.800758 47.102077, -116.791553 47.097012, -116.785833 47.097982, -116.779366 47.093525, -116.824944 47.043759, -116.835083 47.045635, -116.835438 47.032576, -116.808103 47.032555, -116.77131 47.032565, -116.771227 47.037472, -116.685289 47.037449, -116.687869 47.052584, -116.681902 47.057524, -116.684583 47.062882, -116.680297 47.066024, -116.690407 47.067327, -116.694062 47.065648, -116.694819 47.102648, -116.717626 47.102235, -116.718476 47.118511, -116.756159 47.118453, -116.72669 47.150984, -116.73018 47.150792, -116.741571 47.155105, -116.746519 47.161551, -116.757005 47.156458, -116.763065 47.154748, -116.768594 47.156821, -116.769507 47.160168, -116.779465 47.161683, -116.782579 47.164263, -116.7912 47.164569, -116.791056 47.170236, -116.793777 47.174354, -116.79998 47.173394, -116.804186 47.175931, -116.841064 47.176085, -116.842355 47.180324, -116.852256 47.178085, -116.856933 47.179087, -116.857301 47.182594, -116.869432 47.183754, -116.879348 47.186589, -116.887463 47.17863, -116.894936 47.17691, -116.899959 47.173624, -116.922247 47.166898, -116.92294 47.163091, -116.929285 47.163845, -116.940434 47.173246, -116.942476 47.182823, -116.94728 47.191869, -116.941271 47.202173, -116.94121 47.214101, -117.00604 47.214071, -117.019031 47.218825, -117.024596 47.218994, -117.032496 47.222327, -117.034767 47.229755, -117.032023 47.237201, -117.039932 47.240291, -117.03975 47.15461))"
"16","83833","1683833","B5","G6350","S","275492543","65597106","+47.5099525","-116.7183693","N","POLYGON ((-116.573485 47.47907, -116.572812 47.48403, -116.566204 47.485197, -116.565732 47.491001, -116.561517 47.49299, -116.5519 47.494034, -116.545865 47.499675, -116.544681 47.503679, -116.538103 47.507985, -116.529453 47.50858, -116.519832 47.514023, -116.515328 47.521407, -116.501973 47.518001, -116.503438 47.524492, -116.495318 47.525165, -116.49403 47.527288, -116.479047 47.533803, -116.494631 47.536797, -116.502802 47.530418, -116.509986 47.533849, -116.51596 47.532618, -116.512671 47.523859, -116.521053 47.525764, -116.528634 47.530974, -116.532567 47.527619, -116.530952 47.520534, -116.53318 47.517015, -116.539995 47.516239, -116.542292 47.508972, -116.551839 47.505042, -116.556898 47.506162, -116.563846 47.501317, -116.563507 47.497744, -116.570453 47.492442, -116.578107 47.492074, -116.582627 47.494565, -116.600028 47.496524, -116.609393 47.503837, -116.612678 47.509375, -116.619793 47.515822, -116.627681 47.519865, -116.623383 47.528532, -116.614284 47.5335, -116.612119 47.538627, -116.618976 47.542618, -116.628119 47.545753, -116.624009 47.552847, -116.623004 47.557584, -116.632776 47.556921, -116.637986 47.564064, -116.640991 47.573049, -116.641738 47.579445, -116.645803 47.584472, -116.651586 47.588503, -116.654861 47.595922, -116.665559 47.606045, -116.673845 47.611902, -116.682652 47.614622, -116.684426 47.622173, -116.686738 47.624895, -116.703709 47.626587, -116.724565 47.633619, -116.744726 47.645167, -116.751019 47.651916, -116.760308 47.655486, -116.769029 47.655286, -116.77301 47.653724, -116.778133 47.648334, -116.775782 47.634201, -116.779583 47.624905, -116.808158 47.594023, -116.806734 47.543854, -116.825984 47.522917, -116.848322 47.499904, -116.858423 47.488833, -116.862518 47.482493, -116.860759 47.47748, -116.854625 47.470314, -116.842439 47.463639, -116.836391 47.459256, -116.819346 47.451638, -116.795415 47.449562, -116.795588 47.445892, -116.787213 47.446043, -116.77901 47.437641, -116.760966 47.421123, -116.750484 47.409491, -116.748762 47.402519, -116.749609 47.385942, -116.756592 47.385911, -116.752712 47.371352, -116.749034 47.365163, -116.743685 47.360288, -116.735387 47.35555, -116.735547 47.371664, -116.703195 47.371704, -116.671027 47.395576, -116.669601 47.400877, -116.681637 47.406189, -116.703405 47.419688, -116.703482 47.429317, -116.722063 47.429334, -116.730335 47.4355, -116.746143 47.44052, -116.746215 47.443917, -116.693035 47.443781, -116.693136 47.446928, -116.666439 47.447075, -116.674052 47.450236, -116.668553 47.454617, -116.668405 47.462909, -116.661483 47.46287, -116.65805 47.456861, -116.637843 47.461234, -116.628152 47.464194, -116.623358 47.470329, -116.616577 47.47432, -116.610235 47.480474, -116.604791 47.482224, -116.593207 47.478358, -116.590439 47.473628, -116.584776 47.474087, -116.573485 47.47907))"
"16","83274","1683274","B5","G6350","S","236000095","1584903","+43.3481212","-112.0980212","N","POLYGON ((-112.159839 43.325372, -112.140068 43.317734, -112.140161 43.293445, -112.133814 43.293551, -112.125388 43.289599, -112.115695 43.289648, -112.11253 43.293248, -112.102053 43.275114, -112.085797 43.275057, -112.080224 43.274255, -112.080498 43.304873, -112.054907 43.302253, -112.047297 43.299112, -112.021849 43.271258, -112.018011 43.274667, -112.00884 43.275098, -111.999775 43.277997, -111.983723 43.286054, -111.971671 43.286494, -111.9723 43.291937, -111.967854 43.291322, -111.956176 43.292856, -111.961001 43.299281, -111.955282 43.302356, -111.947176 43.304337, -111.953481 43.307488, -111.954508 43.313968, -111.960821 43.323639, -111.965477 43.327332, -111.958355 43.331844, -111.951764 43.343749, -111.952946 43.348182, -111.95966 43.351813, -111.959898 43.357212, -111.981609 43.351823, -111.984272 43.347026, -111.988876 43.350022, -111.998317 43.347683, -111.997664 43.366845, -112.043821 43.366708, -112.043672 43.410143, -112.048675 43.410164, -112.103642 43.41026, -112.103298 43.425057, -112.127531 43.425017, -112.127349 43.42061, -112.138798 43.421534, -112.141524 43.42373, -112.161058 43.41067, -112.172854 43.410478, -112.17417 43.414908, -112.16741 43.4201, -112.163908 43.42509, -112.188408 43.424917, -112.242871 43.424719, -112.243303 43.353754, -112.227872 43.351495, -112.211887 43.345677, -112.202703 43.349765, -112.201666 43.354496, -112.195642 43.360007, -112.189948 43.361709, -112.186773 43.367074, -112.179936 43.367014, -112.169526 43.359763, -112.164254 43.353792, -112.16285 43.347008, -112.164418 43.338606, -112.172442 43.334644, -112.173249 43.330698, -112.16494 43.327404, -112.168242 43.322254, -112.164812 43.32599, -112.159839 43.325372))"
"16","83262","1683262","B5","G6350","S","537501625","1998230","+43.2257610","-112.7744959","N","POLYGON ((-113.007816 43.154172, -112.973837 43.153762, -112.96582 43.155032, -112.888937 43.154328, -112.850589 43.1555, -112.772708 43.156056, -112.7727 43.155092, -112.731688 43.153958, -112.731655 43.139344, -112.681846 43.139378, -112.684119 43.126748, -112.682758 43.09962, -112.678398 43.098061, -112.667286 43.104302, -112.659806 43.103665, -112.657247 43.10771, -112.652403 43.108282, -112.652511 43.097264, -112.65967 43.094523, -112.667496 43.094579, -112.674863 43.092652, -112.6686 43.083976, -112.659475 43.077411, -112.652279 43.076, -112.65278 43.060716, -112.644386 43.061436, -112.634001 43.059364, -112.633949 43.041273, -112.633917 43.037554, -112.62669 43.03495, -112.625885 43.029302, -112.611309 43.03233, -112.606729 43.036808, -112.606704 43.040513, -112.600634 43.041366, -112.591561 43.036431, -112.589083 43.045853, -112.58374 43.048548, -112.576557 43.059086, -112.571624 43.060874, -112.567006 43.065811, -112.566315 43.06913, -112.561699 43.071922, -112.558446 43.077691, -112.558576 43.080976, -112.551228 43.080054, -112.545836 43.081841, -112.542584 43.086104, -112.541882 43.093544, -112.539493 43.099681, -112.523642 43.101086, -112.520711 43.104309, -112.519896 43.110249, -112.523604 43.117822, -112.521143 43.123485, -112.516026 43.121153, -112.515199 43.124066, -112.506697 43.124243, -112.503743 43.13803, -112.500307 43.141392, -112.503189 43.146385, -112.501879 43.150886, -112.496018 43.153619, -112.514776 43.15372, -112.514566 43.168135, -112.521747 43.169487, -112.52341 43.172595, -112.520778 43.175844, -112.524687 43.179729, -112.527696 43.175855, -112.534501 43.17337, -112.534488 43.168158, -112.543673 43.168214, -112.543602 43.174318, -112.546592 43.175814, -112.550831 43.170579, -112.555548 43.1727, -112.561352 43.178408, -112.569931 43.178178, -112.57369 43.182878, -112.633695 43.1833, -112.633606 43.22659, -112.671993 43.22659, -112.671978 43.239561, -112.678643 43.241103, -112.688431 43.240664, -112.698266 43.238311, -112.704286 43.242211, -112.71338 43.240903, -112.729607 43.249197, -112.753805 43.256167, -112.758202 43.258461, -112.769088 43.259416, -112.77113 43.257677, -112.779951 43.256721, -112.799452 43.260411, -112.802171 43.261675, -112.814031 43.260964, -112.823782 43.263891, -112.842996 43.265277, -112.848851 43.262794, -112.86488 43.26255, -112.869917 43.261306, -112.877114 43.268166, -112.895018 43.280776, -112.896285 43.284129, -112.903143 43.292639, -112.916318 43.304151, -112.928721 43.321378, -112.942784 43.331237, -112.941891 43.333969, -112.946922 43.336108, -112.947187 43.284725, -113.00729 43.284801, -113.007746 43.228761, -113.007816 43.154172))"
"16","83340","1683340","B5","G6350","S","1439497179","7755423","+43.7064314","-114.6184206","N","POLYGON ((-114.989384 43.858611, -114.982601 43.85544, -114.973365 43.853198, -114.968852 43.848798, -114.959069 43.853804, -114.95184 43.854351, -114.932699 43.840737, -114.924002 43.837221, -114.915886 43.836778, -114.91126 43.832037, -114.90081 43.82859, -114.891135 43.829643, -114.885297 43.824104, -114.88 43.822983, -114.867695 43.822517, -114.859267 43.817878, -114.850388 43.817908, -114.848016 43.810226, -114.853761 43.805756, -114.855945 43.79636, -114.854827 43.792849, -114.848513 43.792636, -114.840007 43.794408, -114.831439 43.792875, -114.828915 43.788027, -114.822798 43.790979, -114.815627 43.798346, -114.802979 43.800347, -114.800538 43.8027, -114.793175 43.801768, -114.78698 43.802656, -114.780475 43.800633, -114.774937 43.792502, -114.765529 43.793368, -114.760244 43.791739, -114.755093 43.800638, -114.749038 43.801672, -114.74231 43.806081, -114.737075 43.805724, -114.730249 43.807466, -114.724708 43.805891, -114.721204 43.808163, -114.719464 43.814846, -114.716158 43.815459, -114.70942 43.809667, -114.704438 43.807786, -114.699005 43.799764, -114.698105 43.794195, -114.692617 43.784652, -114.695654 43.77533, -114.693574 43.77373, -114.68878 43.763616, -114.690837 43.75459, -114.689544 43.749903, -114.681766 43.742945, -114.67644 43.744584, -114.66962 43.744178, -114.666283 43.73801, -114.680059 43.724152, -114.682124 43.708592, -114.676257 43.697996, -114.686329 43.692551, -114.688052 43.686019, -114.682054 43.675836, -114.679132 43.674197, -114.679652 43.669731, -114.668589 43.668697, -114.662492 43.661092, -114.661191 43.655412, -114.663177 43.651185, -114.66307 43.644261, -114.669856 43.640291, -114.672418 43.636506, -114.668752 43.629436, -114.672937 43.620582, -114.678948 43.616471, -114.681897 43.609647, -114.680565 43.602719, -114.682986 43.594166, -114.682225 43.590431, -114.674555 43.593048, -114.66304 43.594757, -114.651846 43.59314, -114.642463 43.583224, -114.641726 43.578217, -114.635586 43.573497, -114.622115 43.57533, -114.616986 43.569451, -114.611673 43.568382, -114.611031 43.565193, -114.602337 43.567431, -114.58706 43.55812, -114.588872 43.552197, -114.585055 43.549963, -114.590962 43.546466, -114.595104 43.537783, -114.595651 43.531217, -114.580287 43.523355, -114.577454 43.51528, -114.562746 43.499903, -114.553719 43.496522, -114.55785 43.503581, -114.550876 43.511478, -114.547382 43.51308, -114.54391 43.526382, -114.539607 43.53009, -114.534389 43.529411, -114.521655 43.530609, -114.510485 43.528335, -114.503084 43.528682, -114.491173 43.526421, -114.481846 43.526474, -114.469724 43.529035, -114.4653 43.534133, -114.45718 43.54063, -114.444842 43.546793, -114.446329 43.549684, -114.453699 43.553979, -114.454117 43.567579, -114.446173 43.582305, -114.434738 43.594786, -114.42543 43.599503, -114.409708 43.609665, -114.380955 43.629949, -114.355593 43.628185, -114.351139 43.625866, -114.349738 43.621519, -114.351499 43.611682, -114.3465 43.605008, -114.326564 43.6071, -114.314533 43.61011, -114.295553 43.625707, -114.30191 43.645228, -114.305608 43.647858, -114.308162 43.654206, -114.31631 43.654194, -114.316185 43.661446, -114.330589 43.661268, -114.325252 43.667119, -114.325558 43.667319, -114.334048 43.671607, -114.342097 43.671594, -114.356735 43.684047, -114.356568 43.690053, -114.36114 43.692611, -114.36147 43.708463, -114.346605 43.708413, -114.346696 43.712068, -114.341482 43.712268, -114.341447 43.719638, -114.332063 43.719701, -114.332106 43.723832, -114.325764 43.723262, -114.309078 43.730716, -114.301941 43.735529, -114.294516 43.745876, -114.288078 43.751489, -114.273466 43.771858, -114.265528 43.781129, -114.259469 43.790256, -114.256207 43.798082, -114.253739 43.799991, -114.259271 43.809615, -114.257917 43.817758, -114.262879 43.822265, -114.263015 43.825939, -114.267841 43.829553, -114.275226 43.830935, -114.277839 43.834286, -114.279593 43.844141, -114.276067 43.851797, -114.283278 43.860513, -114.282041 43.873735, -114.278399 43.878204, -114.28534 43.883982, -114.29299 43.887215, -114.31126 43.885127, -114.31514 43.888034, -114.323691 43.885723, -114.331027 43.886735, -114.343434 43.890147, -114.346583 43.885846, -114.352216 43.884216, -114.352439 43.878136, -114.35661 43.874327, -114.362413 43.875397, -114.372207 43.881392, -114.389703 43.885092, -114.39182 43.88773, -114.400919 43.890982, -114.409945 43.895591, -114.420557 43.891706, -114.427923 43.891575, -114.442665 43.89554, -114.444617 43.897048, -114.455183 43.895365, -114.464928 43.897044, -114.470671 43.896014, -114.478634 43.898572, -114.485309 43.904357, -114.491702 43.901666, -114.507763 43.89917, -114.514979 43.894842, -114.509555 43.888931, -114.50978 43.88483, -114.514044 43.881861, -114.519265 43.874908, -114.519669 43.871576, -114.513494 43.863466, -114.517224 43.854128, -114.52142 43.852338, -114.528213 43.845963, -114.549423 43.84698, -114.561237 43.84441, -114.569322 43.846449, -114.570856 43.84847, -114.582089 43.851464, -114.581164 43.856338, -114.58549 43.860765, -114.583452 43.866511, -114.583509 43.875127, -114.591657 43.878877, -114.60043 43.888713, -114.606154 43.893531, -114.61987 43.898085, -114.625327 43.89811, -114.633259 43.902491, -114.634425 43.907699, -114.641541 43.910773, -114.644246 43.914126, -114.6496 43.916186, -114.655393 43.914293, -114.657916 43.918182, -114.659799 43.921582, -114.672522 43.922444, -114.674462 43.925706, -114.681246 43.927753, -114.750858 43.927669, -114.813789 43.927818, -114.813974 43.94799, -114.813745 43.992978, -114.873411 43.992879, -114.887551 43.989104, -114.892458 43.985477, -114.903902 43.982708, -114.907037 43.97983, -114.921186 43.974365, -114.922635 43.971534, -114.931469 43.968394, -114.937045 43.956594, -114.942544 43.950477, -114.949626 43.947182, -114.956734 43.947442, -114.96629 43.937917, -114.971258 43.938134, -114.975796 43.933882, -114.983901 43.920914, -114.991346 43.920666, -114.996569 43.914424, -114.995589 43.907938, -114.98871 43.901094, -114.989568 43.894671, -114.988302 43.885845, -114.983315 43.884588, -114.975094 43.878649, -114.972989 43.871543, -114.97736 43.864372, -114.982344 43.865011, -114.989384 43.858611), (-114.34935 43.654923, -114.356553 43.668784, -114.349265 43.66632, -114.34751 43.663503, -114.335979 43.662952, -114.335759 43.654981, -114.330738 43.654929, -114.330789 43.644191, -114.335693 43.644246, -114.340556 43.640401, -114.340626 43.655116, -114.34935 43.654923))"
