STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10,WKT
"18","46835","1846835","B5","G6350","S","54846141","6481","+41.1529797","-085.0408004","N","POLYGON ((-85.100059 41.121629, -85.099782 41.119204, -85.03602 41.121269, -85.021582 41.121168, -85.013699 41.127107, -85.004267 41.136693, -84.996803 41.159191, -84.987947 41.156425, -84.986615 41.15971, -84.990917 41.171362, -85.006425 41.170614, -85.008299 41.194302, -85.015744 41.195334, -85.021456 41.19263, -85.025227 41.200096, -85.032771 41.199803, -85.031868 41.192849, -85.049669 41.182749, -85.057306 41.176932, -85.063701 41.175745, -85.068269 41.168648, -85.078435 41.164597, -85.076227 41.158764, -85.085864 41.156473, -85.090778 41.167482, -85.099066 41.155092, -85.09147 41.149748, -85.10017 41.147848, -85.101146 41.142632, -85.11187 41.125648, -85.109803 41.122496, -85.100059 41.121629))"
"18","46802","1846802","B5","G6350","S","10968507","11113","+41.0693045","-085.1651605","N","POLYGON ((-85.179811 41.07467, -85.189978 41.073178, -85.189703 41.045615, -85.186645 41.045606, -85.161207 41.060869, -85.152353 41.064119, -85.137977 41.064271, -85.136742 41.071532, -85.128737 41.071373, -85.126465 41.082828, -85.141207 41.086509, -85.142668 41.084027, -85.15101 41.08247, -85.157625 41.075969, -85.167892 41.073596, -85.179811 41.07467))"
"18","46807","1846807","B5","G6350","S","8309404","0","+41.0448926","-085.1476018","N","POLYGON ((-85.161207 41.060869, -85.157299 41.055554, -85.158154 41.050158, -85.164466 41.049273, -85.164925 41.04232, -85.155928 41.037071, -85.143023 41.024447, -85.14051 41.016491, -85.136167 41.016384, -85.136554 41.031594, -85.137359 41.050088, -85.136226 41.060632, -85.137977 41.064271, -85.152353 41.064119, -85.161207 41.060869))"
"18","46845","1846845","B5","G6350","S","58877006","72806","+41.2076408","-085.1093664","N","MULTIPOLYGON (((-85.153074 41.237705, -85.155888 41.24409, -85.165484 41.24238, -85.163923 41.235476, -85.153074 41.237705)), ((-85.165905 41.177687, -85.073087 41.179642, -85.063701 41.175745, -85.057306 41.176932, -85.049669 41.182749, -85.031868 41.192849, -85.032771 41.199803, -85.027549 41.202713, -85.052993 41.211513, -85.052522 41.218888, -85.065066 41.219449, -85.070268 41.223249, -85.07967 41.22365, -85.097781 41.230698, -85.09363 41.236503, -85.102863 41.23493, -85.11007 41.238149, -85.121771 41.247349, -85.125138 41.245456, -85.125409 41.236231, -85.134103 41.236115, -85.133847 41.228501, -85.152781 41.224864, -85.157291 41.220752, -85.167926 41.220833, -85.171139 41.215972, -85.170746 41.202064, -85.166282 41.188789, -85.165905 41.177687)))"
"18","47244","1847244","B5","G6350","S","45576149","0","+39.2190399","-085.7015398","N","POLYGON ((-85.686049 39.297115, -85.695665 39.29214, -85.698023 39.27744, -85.702428 39.274104, -85.704926 39.264511, -85.700727 39.259479, -85.700862 39.247296, -85.710007 39.248263, -85.717448 39.244242, -85.715166 39.232624, -85.715334 39.218006, -85.748019 39.217779, -85.743639 39.193544, -85.724936 39.196043, -85.720203 39.19235, -85.720235 39.174295, -85.724737 39.174156, -85.724671 39.1599, -85.697906 39.159999, -85.699438 39.167346, -85.692338 39.176641, -85.687161 39.189026, -85.687108 39.211048, -85.669281 39.211359, -85.668561 39.261471, -85.686659 39.261416, -85.686049 39.297115))"
"18","47944","1847944","B5","G6350","S","481078507","150296","+40.6160192","-087.3301080","N","POLYGON ((-87.097025 40.635465, -87.134544 40.635045, -87.134492 40.641533, -87.150807 40.644575, -87.143465 40.650525, -87.134702 40.651508, -87.134855 40.663741, -87.153669 40.663867, -87.153725 40.678303, -87.172692 40.678446, -87.172744 40.693114, -87.22986 40.693252, -87.26696 40.693355, -87.267168 40.722705, -87.286462 40.722374, -87.286328 40.700548, -87.305517 40.700671, -87.305644 40.736566, -87.362777 40.736517, -87.362932 40.736517, -87.362882 40.722803, -87.381686 40.723037, -87.381589 40.701138, -87.362754 40.70097, -87.362377 40.679127, -87.381432 40.679141, -87.380672 40.621874, -87.393788 40.622165, -87.457124 40.621582, -87.455093 40.639792, -87.461163 40.644945, -87.468253 40.646728, -87.490663 40.645826, -87.500023 40.650108, -87.526225 40.649778, -87.526206 40.578767, -87.509785 40.578785, -87.509802 40.564228, -87.471973 40.564121, -87.471648 40.5494, -87.509988 40.550107, -87.509946 40.535541, -87.490583 40.535022, -87.490747 40.496877, -87.471322 40.500606, -87.474317 40.476801, -87.416266 40.47683, -87.4157 40.549371, -87.360076 40.549355, -87.359917 40.539694, -87.34848 40.540234, -87.341966 40.53756, -87.336513 40.545182, -87.328625 40.546808, -87.331536 40.551774, -87.322402 40.554469, -87.322023 40.548098, -87.30402 40.54861, -87.30358 40.53405, -87.284291 40.534116, -87.285117 40.563149, -87.266192 40.562433, -87.265977 40.591476, -87.246967 40.5915, -87.246923 40.576938, -87.228517 40.577019, -87.228351 40.591539, -87.209283 40.591361, -87.209006 40.584008, -87.157029 40.58432, -87.156422 40.577151, -87.138897 40.577044, -87.133859 40.58534, -87.134085 40.606036, -87.096413 40.606453, -87.097025 40.635465))"
"18","47971","1847971","B5","G6350","S","143988552","75101","+40.5320180","-087.2339228","N","POLYGON ((-87.138897 40.577044, -87.156422 40.577151, -87.157029 40.58432, -87.209006 40.584008, -87.209283 40.591361, -87.228351 40.591539, -87.228517 40.577019, -87.246923 40.576938, -87.246967 40.5915, -87.265977 40.591476, -87.266192 40.562433, -87.285117 40.563149, -87.284291 40.534116, -87.30358 40.53405, -87.30402 40.54861, -87.322023 40.548098, -87.322402 40.554469, -87.331536 40.551774, -87.328625 40.546808, -87.336513 40.545182, -87.341966 40.53756, -87.341941 40.53421, -87.321618 40.533595, -87.321409 40.518334, -87.344938 40.518576, -87.34119 40.509317, -87.330946 40.505088, -87.330443 40.476492, -87.264083 40.476253, -87.264395 40.490535, -87.254422 40.490061, -87.215378 40.490126, -87.215064 40.481249, -87.211336 40.477551, -87.205403 40.479497, -87.198672 40.48621, -87.184909 40.487329, -87.178663 40.489656, -87.179412 40.529668, -87.175423 40.533506, -87.137281 40.533719, -87.138897 40.577044))"
"18","47348","1847348","B5","G6350","S","301782242","1021319","+40.4662144","-085.3403738","N","POLYGON ((-85.446294 40.522519, -85.446427 40.501617, -85.445651 40.473592, -85.44433 40.37914, -85.388372 40.378708, -85.331737 40.378222, -85.277431 40.378372, -85.258442 40.378884, -85.258591 40.388424, -85.247727 40.386929, -85.24783 40.392101, -85.23891 40.392597, -85.238858 40.406665, -85.219968 40.406971, -85.220162 40.486683, -85.296039 40.486396, -85.301038 40.493791, -85.302039 40.508488, -85.315816 40.50798, -85.3157 40.522474, -85.33278 40.522524, -85.33314 40.539517, -85.341438 40.540413, -85.351852 40.545129, -85.352076 40.552237, -85.370132 40.552495, -85.372265 40.554152, -85.386186 40.553405, -85.387225 40.560033, -85.383473 40.566977, -85.409729 40.566848, -85.428608 40.566888, -85.428474 40.538093, -85.446421 40.538406, -85.446294 40.522519))"
"18","47336","1847336","B5","G6350","S","121656172","124534","+40.3867233","-085.2103562","N","POLYGON ((-85.220162 40.486683, -85.219968 40.406971, -85.238858 40.406665, -85.23891 40.392597, -85.24783 40.392101, -85.247727 40.386929, -85.258591 40.388424, -85.258442 40.378884, -85.277431 40.378372, -85.278494 40.371134, -85.283078 40.371212, -85.290508 40.363896, -85.297774 40.359527, -85.306222 40.3494, -85.276778 40.349465, -85.27655 40.339295, -85.28584 40.334976, -85.285672 40.326242, -85.238419 40.318521, -85.237952 40.323664, -85.228872 40.321049, -85.219015 40.321044, -85.219694 40.350064, -85.197076 40.350261, -85.197216 40.364724, -85.168836 40.365075, -85.169011 40.379558, -85.130464 40.380118, -85.130647 40.387318, -85.131032 40.407965, -85.13969 40.407844, -85.138482 40.417768, -85.144392 40.420483, -85.140765 40.425578, -85.14091 40.436783, -85.15906 40.436457, -85.147355 40.458415, -85.150645 40.4656, -85.188269 40.465017, -85.188322 40.479376, -85.200857 40.479495, -85.200677 40.486778, -85.220162 40.486683))"
"18","46077","1846077","B5","G6350","S","112957915","469604","+39.9845617","-086.2826246","N","POLYGON ((-86.229839 39.973341, -86.23131 39.976483, -86.241177 39.977094, -86.241074 39.991517, -86.221704 39.991647, -86.221741 39.998862, -86.238971 39.998728, -86.233631 40.002792, -86.228709 40.013276, -86.24107 40.013275, -86.24142 40.041557, -86.241443 40.04669, -86.251251 40.048677, -86.26045 40.048545, -86.26052 40.05582, -86.27946 40.05553, -86.31753 40.055, -86.31728 40.04045, -86.327996 40.04027, -86.324885 40.032854, -86.317533 40.030238, -86.31754 39.98546, -86.327379 39.989596, -86.334922 39.981061, -86.334789 39.9762, -86.328398 39.968836, -86.325021 39.961241, -86.33655 39.96107, -86.3356 39.94951, -86.346835 39.949226, -86.3517 39.94558, -86.34244 39.93137, -86.35534 39.93142, -86.351833 39.924069, -86.330763 39.924168, -86.307246 39.924394, -86.305842 39.915957, -86.28827 39.915957, -86.288276 39.924189, -86.263511 39.92489, -86.256583 39.927069, -86.25985 39.932505, -86.25792 39.94048, -86.241963 39.937445, -86.240252 39.932541, -86.232758 39.93243, -86.239462 39.946849, -86.221441 39.955522, -86.221503 39.964114, -86.229768 39.964419, -86.229839 39.973341))"
"18","46112","1846112","B5","G6350","S","103718695","721634","+39.8639102","-086.3824246","N","POLYGON ((-86.325987 39.873492, -86.361564 39.873071, -86.361874 39.877289, -86.355462 39.88589, -86.33246 39.884258, -86.325889 39.882329, -86.326342 39.919153, -86.330763 39.924168, -86.351833 39.924069, -86.35534 39.93142, -86.38351 39.93106, -86.384694 39.92382, -86.429053 39.923658, -86.420335 39.918925, -86.419671 39.915668, -86.409129 39.909152, -86.406941 39.896019, -86.411589 39.894547, -86.430446 39.894242, -86.43005 39.875312, -86.431017 39.871825, -86.439615 39.871787, -86.439517 39.856066, -86.427025 39.854002, -86.428933 39.841757, -86.439297 39.842628, -86.439172 39.837167, -86.427483 39.835574, -86.438962 39.828004, -86.438838 39.821973, -86.424679 39.819116, -86.424486 39.810141, -86.420047 39.803398, -86.414215 39.799136, -86.362599 39.799979, -86.36273 39.80631, -86.349802 39.803631, -86.345878 39.807703, -86.346277 39.825461, -86.333013 39.826769, -86.332839 39.829946, -86.346347 39.829302, -86.346686 39.844151, -86.351612 39.850566, -86.351851 39.858937, -86.328012 39.859269, -86.325373 39.866176, -86.325987 39.873492))"
"18","47468","1847468","B5","G6350","S","68181945","6259512","+39.2710828","-086.3928655","N","POLYGON ((-86.345434 39.277187, -86.352776 39.276139, -86.352769 39.285559, -86.380443 39.28555, -86.38089 39.312605, -86.398562 39.320829, -86.396692 39.329771, -86.390692 39.339599, -86.422799 39.339043, -86.422482 39.330185, -86.417399 39.322654, -86.423029 39.312643, -86.428242 39.310773, -86.437257 39.294318, -86.432131 39.286935, -86.441123 39.287347, -86.44716 39.28339, -86.455302 39.283927, -86.463536 39.280257, -86.464425 39.272621, -86.463988 39.251576, -86.459391 39.256836, -86.442421 39.25047, -86.436022 39.243493, -86.436655 39.233953, -86.430432 39.230828, -86.413552 39.22978, -86.407752 39.232078, -86.389237 39.230176, -86.37544 39.230015, -86.371993 39.223556, -86.356146 39.223962, -86.351023 39.239323, -86.358302 39.247486, -86.358339 39.253247, -86.354935 39.258765, -86.347826 39.26081, -86.342292 39.268876, -86.345434 39.277187))"
"18","46923","1846923","B5","G6350","S","348943789","3435497","+40.6088721","-086.6417264","N","POLYGON ((-86.760084 40.528985, -86.755559 40.5307, -86.754056 40.532469, -86.753447 40.537111, -86.746361 40.543899, -86.741396 40.549872, -86.732822 40.551204, -86.719056 40.549822, -86.703118 40.556342, -86.695353 40.561874, -86.694747 40.461767, -86.686455 40.461488, -86.685976 40.454692, -86.679206 40.454371, -86.662488 40.460639, -86.6606 40.464116, -86.650626 40.459331, -86.644391 40.464638, -86.639538 40.462965, -86.631804 40.467631, -86.627427 40.463259, -86.617074 40.467809, -86.618713 40.474989, -86.633503 40.474963, -86.633688 40.481979, -86.619609 40.482107, -86.619673 40.48946, -86.633769 40.489436, -86.634095 40.503883, -86.619824 40.503907, -86.618042 40.510239, -86.591545 40.51845, -86.591944 40.553266, -86.596686 40.556831, -86.592041 40.561887, -86.592024 40.576398, -86.582513 40.5764, -86.582426 40.590848, -86.582365 40.598125, -86.572769 40.602827, -86.560489 40.60134, -86.555626 40.60372, -86.549682 40.600836, -86.539171 40.601058, -86.539962 40.612795, -86.539148 40.626703, -86.563051 40.627045, -86.567824 40.629038, -86.567772 40.634298, -86.519975 40.633862, -86.506034 40.64941, -86.506082 40.674837, -86.511268 40.677803, -86.525052 40.677835, -86.525164 40.692419, -86.525213 40.717196, -86.544685 40.707333, -86.550904 40.698157, -86.570807 40.6935, -86.577283 40.696886, -86.593588 40.689525, -86.602663 40.683834, -86.615225 40.67812, -86.622131 40.678096, -86.626851 40.672929, -86.634388 40.673602, -86.632562 40.683423, -86.62858 40.692795, -86.620449 40.692676, -86.620481 40.707298, -86.639574 40.70735, -86.639663 40.721909, -86.65881 40.722051, -86.687483 40.722373, -86.687471 40.707711, -86.69644 40.708023, -86.69682 40.701014, -86.706489 40.700837, -86.706119 40.674867, -86.735734 40.674848, -86.735337 40.663962, -86.745089 40.664481, -86.744838 40.649366, -86.734087 40.649323, -86.73391 40.623649, -86.741022 40.627425, -86.748448 40.627581, -86.748782 40.623301, -86.743632 40.618947, -86.747801 40.613911, -86.759092 40.613639, -86.76534 40.611193, -86.7618 40.606318, -86.744099 40.604187, -86.746525 40.598168, -86.753643 40.596795, -86.760424 40.60007, -86.769284 40.598381, -86.771295 40.593976, -86.77091 40.587695, -86.763627 40.570964, -86.76655 40.565765, -86.762575 40.558078, -86.768315 40.555867, -86.773458 40.562086, -86.780216 40.55837, -86.778275 40.552053, -86.770493 40.549287, -86.7618 40.553269, -86.757591 40.558555, -86.752912 40.55489, -86.735696 40.554819, -86.743302 40.548706, -86.753065 40.538599, -86.755127 40.534552, -86.754828 40.531619, -86.760084 40.528985), (-86.728007 40.667521, -86.719147 40.669616, -86.719147 40.665847, -86.728007 40.667521))"
"18","47960","1847960","B5","G6350","S","303522405","11069240","+40.7790147","-086.7510240","N","POLYGON ((-86.81262 40.64934, -86.770091 40.6492, -86.769808 40.637285, -86.765981 40.638039, -86.758387 40.632509, -86.756288 40.628274, -86.761521 40.618514, -86.756387 40.617299, -86.748782 40.623301, -86.748448 40.627581, -86.741022 40.627425, -86.73391 40.623649, -86.734087 40.649323, -86.744838 40.649366, -86.745089 40.664481, -86.735337 40.663962, -86.735734 40.674848, -86.706119 40.674867, -86.706489 40.700837, -86.69682 40.701014, -86.69644 40.708023, -86.687471 40.707711, -86.687483 40.722373, -86.65881 40.722051, -86.65882 40.75126, -86.68761 40.7517, -86.68748 40.759, -86.69689 40.7592, -86.69679 40.78866, -86.6769 40.78837, -86.67667 40.79561, -86.69673 40.796, -86.69663 40.81067, -86.67683 40.81027, -86.688252 40.816827, -86.69658 40.81774, -86.69655 40.8433, -86.67688 40.84337, -86.67707 40.85426, -86.69661 40.85446, -86.69663 40.866659, -86.684511 40.883541, -86.63921 40.88309, -86.63945 40.89763, -86.6397 40.91164, -86.711726 40.912186, -86.77585 40.91246, -86.77554 40.89817, -86.791636 40.898356, -86.78733 40.883762, -86.81545 40.88449, -86.81493 40.86265, -86.77583 40.86189, -86.77456 40.84029, -86.78434 40.84007, -86.79398 40.83699, -86.79443 40.84766, -86.80623 40.84787, -86.803746 40.838641, -86.81447 40.83929, -86.81446 40.814578, -86.828968 40.81466, -86.821356 40.807569, -86.83388 40.80723, -86.83395 40.7923, -86.85321 40.79166, -86.853286 40.784755, -86.826962 40.782877, -86.821664 40.780429, -86.81465 40.781245, -86.814736 40.748248, -86.83482 40.748031, -86.834834 40.744717, -86.81474 40.74505, -86.81456 40.737514, -86.83368 40.737168, -86.832805 40.707231, -86.84209 40.71054, -86.84234 40.71441, -86.851407 40.712203, -86.844975 40.712098, -86.832685 40.703365, -86.823301 40.700275, -86.823064 40.696227, -86.81347 40.69337, -86.81262 40.64934), (-86.73324 40.88457, -86.7413 40.88348, -86.740559 40.878662, -86.74629 40.876959, -86.74613 40.869, -86.75536 40.86983, -86.753115 40.877106, -86.74829 40.883631, -86.736111 40.886474, -86.73324 40.88457))"
"18","47920","1847920","B5","G6350","S","73568825","1343445","+40.5407591","-086.8338635","N","POLYGON ((-86.771295 40.593976, -86.771351 40.569331, -86.78088 40.56936, -86.78092 40.57663, -86.8092 40.57674, -86.813895 40.57326, -86.821288 40.572711, -86.824937 40.580457, -86.832634 40.586143, -86.844853 40.583828, -86.848601 40.589873, -86.860974 40.590095, -86.866287 40.587306, -86.858293 40.56904, -86.91164 40.56862, -86.911189 40.561337, -86.892509 40.561601, -86.892581 40.545085, -86.887303 40.540449, -86.886771 40.535779, -86.880511 40.534587, -86.870593 40.540736, -86.869078 40.533017, -86.868655 40.508719, -86.855804 40.51529, -86.840328 40.5151, -86.845492 40.510758, -86.843435 40.505872, -86.830483 40.51115, -86.810408 40.515794, -86.804442 40.515503, -86.804824 40.509841, -86.823258 40.495483, -86.796405 40.511845, -86.7873 40.513652, -86.767268 40.526382, -86.760084 40.528985, -86.754828 40.531619, -86.755127 40.534552, -86.753065 40.538599, -86.743302 40.548706, -86.735696 40.554819, -86.752912 40.55489, -86.757591 40.558555, -86.7618 40.553269, -86.770493 40.549287, -86.778275 40.552053, -86.780216 40.55837, -86.773458 40.562086, -86.768315 40.555867, -86.762575 40.558078, -86.76655 40.565765, -86.763627 40.570964, -86.77091 40.587695, -86.771295 40.593976))"
"18","47926","1847926","B5","G6350","S","96434855","323386","+40.7803839","-086.5955161","N","POLYGON ((-86.63921 40.88309, -86.638839 40.862707, -86.6194 40.862664, -86.61902 40.82491, -86.61991 40.80943, -86.62938 40.80964, -86.6296 40.78763, -86.620224 40.779303, -86.62048 40.714598, -86.602086 40.714484, -86.60123 40.707189, -86.620481 40.707298, -86.620449 40.692676, -86.62858 40.692795, -86.632562 40.683423, -86.634388 40.673602, -86.626851 40.672929, -86.622131 40.678096, -86.615225 40.67812, -86.602663 40.683834, -86.593588 40.689525, -86.577283 40.696886, -86.570807 40.6935, -86.550904 40.698157, -86.544685 40.707333, -86.525213 40.717196, -86.525143 40.735445, -86.581739 40.735765, -86.580744 40.802656, -86.580347 40.826327, -86.580876 40.86259, -86.590463 40.862599, -86.590715 40.881456, -86.600324 40.883762, -86.61973 40.88304, -86.61995 40.89758, -86.63945 40.89763, -86.63921 40.88309))"
"18","47106","1847106","B5","G6350","S","179687281","1590054","+38.4643009","-085.8998441","N","POLYGON ((-85.84763 38.549385, -85.84758 38.54714, -85.866341 38.547095, -85.866268 38.518425, -85.884708 38.518152, -85.884595 38.508138, -85.891146 38.509167, -85.909301 38.517179, -85.914273 38.515501, -85.920011 38.521995, -85.92589 38.504493, -85.927624 38.50257, -85.957102 38.501949, -85.956195 38.488956, -85.993317 38.48854, -85.994147 38.453362, -86.002736 38.447506, -85.997593 38.432916, -85.994633 38.429686, -85.994634 38.412183, -85.99463 38.410949, -85.96701 38.410847, -85.967584 38.398487, -85.96347 38.391576, -85.966323 38.377591, -85.958071 38.376835, -85.939659 38.396499, -85.92538 38.396458, -85.924558 38.389392, -85.90846 38.393067, -85.905839 38.404127, -85.892516 38.405161, -85.892585 38.41498, -85.883004 38.417872, -85.873391 38.418583, -85.876876 38.425577, -85.872655 38.435275, -85.868218 38.429711, -85.84473 38.42947, -85.833168 38.433391, -85.827379 38.441583, -85.82058 38.444907, -85.811203 38.4536, -85.810631 38.465092, -85.793802 38.474841, -85.801602 38.495392, -85.805726 38.493918, -85.813756 38.502932, -85.818646 38.50134, -85.820215 38.517363, -85.832809 38.52274, -85.839989 38.53731, -85.839889 38.544114, -85.84763 38.549385))"
"18","47130","1847130","B5","G6350","S","88482972","1029351","+38.3334022","-085.6972107","N","POLYGON ((-85.745514 38.353458, -85.751877 38.319981, -85.753929 38.298454, -85.752658 38.286769, -85.749931 38.278193, -85.751475 38.267998, -85.743213 38.267283, -85.685208 38.294692, -85.673567 38.302325, -85.670573 38.307698, -85.655355 38.323849, -85.64431 38.346017, -85.639484 38.360866, -85.637546 38.382129, -85.633658 38.393168, -85.638145 38.398709, -85.650926 38.397159, -85.658909 38.394565, -85.670758 38.394093, -85.677078 38.401375, -85.681091 38.389332, -85.689079 38.382168, -85.694267 38.373577, -85.702637 38.375111, -85.707176 38.380226, -85.712672 38.380376, -85.719632 38.370939, -85.716103 38.357712, -85.744217 38.342068, -85.741592 38.347491, -85.733608 38.352175, -85.745514 38.353458))"
"18","47868","1847868","B5","G6350","S","150492165","4256942","+39.4094682","-086.8971541","N","POLYGON ((-86.851142 39.450884, -86.855073 39.447118, -86.861217 39.449395, -86.869132 39.459218, -86.868136 39.463272, -86.876127 39.465444, -86.879363 39.468967, -86.887819 39.467708, -86.893222 39.472593, -86.903992 39.472639, -86.903698 39.482687, -86.906527 39.486989, -86.917854 39.487082, -86.929782 39.488893, -86.933605 39.498223, -86.940139 39.501272, -86.944012 39.497985, -86.942337 39.489433, -86.950734 39.483427, -86.947087 39.479485, -86.947775 39.473399, -86.960561 39.473485, -86.964465 39.465966, -86.972867 39.455169, -86.972223 39.449354, -86.976699 39.444372, -86.993403 39.444301, -86.994942 39.430657, -86.990866 39.425806, -86.997649 39.421042, -86.991342 39.422144, -86.985708 39.417358, -86.964878 39.410863, -86.958199 39.411278, -86.952069 39.421756, -86.946832 39.421726, -86.945501 39.405396, -86.942312 39.404452, -86.939793 39.385616, -86.923124 39.385514, -86.931873 39.371391, -86.937598 39.366423, -86.926337 39.364027, -86.916671 39.363868, -86.911243 39.358511, -86.905595 39.35741, -86.906048 39.32639, -86.8884 39.326148, -86.885093 39.320717, -86.868625 39.316691, -86.863825 39.318247, -86.865929 39.325911, -86.833375 39.326119, -86.832763 39.391804, -86.84672 39.39927, -86.860802 39.399478, -86.860806 39.413931, -86.846676 39.419234, -86.842043 39.426513, -86.828593 39.424806, -86.826168 39.445818, -86.834342 39.448733, -86.834453 39.453245, -86.840161 39.455297, -86.845638 39.448346, -86.851142 39.450884))"
"18","47145","1847145","B5","G6350","S","111159842","106","+38.3298767","-086.3065823","N","POLYGON ((-86.308697 38.419542, -86.308868 38.394069, -86.316992 38.394257, -86.318503 38.380025, -86.310312 38.375686, -86.30051 38.379339, -86.303661 38.366448, -86.296216 38.362182, -86.296246 38.357959, -86.308609 38.358943, -86.318323 38.354675, -86.326363 38.353673, -86.332368 38.357161, -86.337888 38.352935, -86.350874 38.353158, -86.350793 38.348177, -86.354497 38.33765, -86.347454 38.336611, -86.347645 38.321948, -86.353924 38.321899, -86.353809 38.305759, -86.3505 38.28578, -86.362488 38.286979, -86.36731 38.283613, -86.364266 38.276308, -86.346653 38.275887, -86.338635 38.250202, -86.324161 38.251283, -86.309602 38.254697, -86.28236 38.254418, -86.276055 38.252121, -86.275072 38.272761, -86.265547 38.286246, -86.256689 38.284355, -86.253137 38.2919, -86.255122 38.296499, -86.264951 38.295874, -86.265847 38.308563, -86.276218 38.30854, -86.289123 38.317517, -86.284786 38.320742, -86.273474 38.321105, -86.276985 38.327377, -86.273667 38.329691, -86.276363 38.340306, -86.271386 38.341435, -86.274503 38.348588, -86.281143 38.35063, -86.273403 38.356191, -86.270757 38.361277, -86.265003 38.362005, -86.261154 38.355649, -86.253551 38.352273, -86.247944 38.361169, -86.256171 38.365565, -86.261179 38.380438, -86.260267 38.387087, -86.250474 38.383281, -86.245581 38.387424, -86.253282 38.39437, -86.251716 38.406132, -86.260781 38.413816, -86.255045 38.422685, -86.308674 38.422875, -86.308697 38.419542))"
"18","47175","1847175","B5","G6350","S","58142305","5353201","+38.3767624","-086.5679527","N","POLYGON ((-86.610046 38.395522, -86.600627 38.389091, -86.599048 38.385239, -86.591929 38.380436, -86.590518 38.373265, -86.594538 38.358578, -86.591906 38.352246, -86.595103 38.345486, -86.593096 38.340772, -86.593287 38.329524, -86.583364 38.332868, -86.573685 38.331889, -86.573696 38.327816, -86.564296 38.321712, -86.56876 38.315091, -86.553901 38.306944, -86.549543 38.306383, -86.540151 38.30649, -86.541363 38.312507, -86.546921 38.318766, -86.55069 38.329296, -86.543807 38.333751, -86.536577 38.32872, -86.529758 38.333114, -86.520063 38.335002, -86.520361 38.343547, -86.513421 38.346685, -86.501969 38.348451, -86.508393 38.377412, -86.511989 38.38077, -86.530669 38.378347, -86.516964 38.391234, -86.516672 38.396395, -86.546001 38.396237, -86.54513 38.400204, -86.551203 38.405869, -86.561953 38.40583, -86.569301 38.402584, -86.572414 38.412145, -86.577524 38.411875, -86.582008 38.407219, -86.588544 38.411969, -86.598713 38.410999, -86.601322 38.406627, -86.615482 38.401836, -86.610046 38.395522))"
