STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10,WKT
"19","50841","1950841","B5","G6350","S","606076473","4759723","+41.0090723","-094.7688123","N","POLYGON ((-94.585586 40.957256, -94.642745 40.957486, -94.641927 41.011688, -94.666832 41.012473, -94.644408 41.029082, -94.641562 41.043561, -94.660837 41.043563, -94.661427 41.114312, -94.651541 41.114241, -94.651921 41.134077, -94.660819 41.134189, -94.660961 41.157941, -94.675988 41.158068, -94.674057 41.144948, -94.686454 41.142631, -94.687537 41.138985, -94.705268 41.135987, -94.722735 41.122259, -94.748071 41.12245, -94.748032 41.144089, -94.776471 41.144457, -94.776577 41.158262, -94.834081 41.158453, -94.872398 41.158446, -94.872215 41.130332, -94.919137 41.129506, -94.920504 41.137074, -94.927576 41.137294, -94.927424 41.066073, -94.910132 41.065595, -94.910171 41.052495, -94.881849 41.052161, -94.881645 41.030247, -94.872384 41.031977, -94.872192 41.00099, -94.85324 41.001032, -94.85281 40.979776, -94.87233 40.980449, -94.880639 40.966418, -94.880581 40.958895, -94.872267 40.95636, -94.824244 40.967561, -94.824286 40.958313, -94.829019 40.956933, -94.829014 40.947996, -94.833805 40.94236, -94.833891 40.900583, -94.816179 40.900595, -94.812443 40.890788, -94.814787 40.886824, -94.814652 40.85687, -94.804743 40.856785, -94.804742 40.842358, -94.804718 40.836515, -94.785701 40.836732, -94.785718 40.827766, -94.749875 40.827739, -94.742936 40.825364, -94.719334 40.833779, -94.700304 40.845253, -94.700226 40.893928, -94.687133 40.896416, -94.680633 40.899756, -94.642618 40.899673, -94.642776 40.921362, -94.604613 40.921277, -94.604612 40.942961, -94.585572 40.942819, -94.585586 40.957256), (-94.814981 41.05506, -94.814949 41.044217, -94.832923 41.044172, -94.832951 41.055194, -94.814981 41.05506))"
"19","52162","1952162","B5","G6350","S","258921418","0","+43.1075778","-091.5515792","N","POLYGON ((-91.432791 43.167879, -91.496572 43.167903, -91.501623 43.176345, -91.50142 43.182488, -91.516734 43.182977, -91.515023 43.193368, -91.517962 43.197045, -91.527452 43.197095, -91.534588 43.200791, -91.547041 43.200834, -91.54688 43.211297, -91.566822 43.211822, -91.604346 43.211471, -91.604451 43.22221, -91.613319 43.211331, -91.643193 43.212067, -91.651737 43.220273, -91.655585 43.219299, -91.658848 43.205027, -91.669394 43.20505, -91.673662 43.197808, -91.673658 43.190559, -91.648917 43.190424, -91.643862 43.179757, -91.63065 43.179211, -91.622167 43.174619, -91.619402 43.167863, -91.60443 43.164793, -91.605307 43.081653, -91.62887 43.081791, -91.631704 43.073847, -91.630384 43.066799, -91.637631 43.058546, -91.636877 43.055483, -91.620202 43.055603, -91.620009 43.043723, -91.610602 43.043768, -91.605484 43.051041, -91.605958 43.000987, -91.583177 42.996718, -91.568389 42.992189, -91.563507 42.98636, -91.548633 42.98176, -91.540725 42.981345, -91.523629 42.973339, -91.523561 42.971257, -91.503621 42.970958, -91.493946 42.970826, -91.489164 42.974861, -91.489078 42.993045, -91.498263 42.994499, -91.506556 43.00203, -91.506439 43.010196, -91.518866 43.02084, -91.518539 43.065231, -91.531454 43.071517, -91.538096 43.081628, -91.485302 43.081462, -91.484609 43.088717, -91.477856 43.092337, -91.468707 43.092581, -91.463098 43.10343, -91.454608 43.103382, -91.459095 43.110624, -91.459131 43.117633, -91.454111 43.121487, -91.452457 43.129703, -91.453155 43.145005, -91.445548 43.146752, -91.434177 43.144123, -91.430084 43.148623, -91.432227 43.156411, -91.437781 43.164019, -91.432791 43.167879))"
"19","52572","1952572","B5","G6350","S","251780760","452924","+40.6704902","-092.6884374","N","POLYGON ((-92.637898 40.590853, -92.638041 40.656252, -92.630453 40.655649, -92.608664 40.664021, -92.594983 40.664107, -92.595863 40.678686, -92.581135 40.67875, -92.581559 40.698679, -92.569152 40.699735, -92.562418 40.704133, -92.562228 40.722558, -92.571698 40.725529, -92.619085 40.725458, -92.619066 40.732452, -92.638506 40.732724, -92.638891 40.768938, -92.695798 40.768756, -92.695571 40.739129, -92.69886 40.739981, -92.753208 40.739841, -92.753581 40.761704, -92.767193 40.761445, -92.767596 40.750643, -92.78114 40.750591, -92.781858 40.739796, -92.800924 40.739789, -92.805804 40.736802, -92.805817 40.729038, -92.796104 40.725228, -92.795823 40.717963, -92.780654 40.714491, -92.774163 40.706998, -92.771935 40.700362, -92.771373 40.68048, -92.757909 40.670742, -92.753052 40.663726, -92.753022 40.630948, -92.767343 40.637036, -92.772108 40.631255, -92.786138 40.63131, -92.786133 40.622939, -92.795494 40.61369, -92.795635 40.59487, -92.772501 40.594929, -92.757123 40.588902, -92.637898 40.590853))"
"19","50014","1950014","B5","G6350","S","144736089","89999","+42.0462969","-093.6944485","N","POLYGON ((-93.659401 42.077912, -93.659369 42.137519, -93.678675 42.137596, -93.678801 42.152097, -93.698592 42.152084, -93.698571 42.166541, -93.737502 42.166645, -93.73752 42.159851, -93.745931 42.152136, -93.745896 42.124222, -93.737467 42.12311, -93.698654 42.123125, -93.698701 42.106979, -93.708955 42.107, -93.71798 42.115554, -93.71809 42.039573, -93.723751 42.034679, -93.756943 42.03476, -93.757112 42.008956, -93.737682 42.008644, -93.737168 41.97961, -93.736919 41.950533, -93.698073 41.950478, -93.698163 41.964954, -93.639073 41.964829, -93.639113 41.972085, -93.639277 42.008215, -93.633031 42.01193, -93.630711 42.022839, -93.639334 42.022747, -93.639493 42.02275, -93.654221 42.022752, -93.655651 42.034577, -93.644728 42.032288, -93.653734 42.041315, -93.649864 42.045373, -93.650615 42.055892, -93.659252 42.0592, -93.659401 42.077912))"
"19","50217","1950217","B5","G6350","S","178588395","17727","+42.1837633","-094.2518108","N","POLYGON ((-94.281169 42.122734, -94.263051 42.133914, -94.262706 42.137223, -94.223076 42.137294, -94.222963 42.122625, -94.164765 42.122807, -94.164895 42.151753, -94.144754 42.151833, -94.144911 42.166322, -94.106055 42.166366, -94.106178 42.202587, -94.106192 42.210043, -94.115796 42.209916, -94.223044 42.209839, -94.397561 42.209125, -94.397234 42.180402, -94.378402 42.180312, -94.378122 42.151676, -94.34914 42.151634, -94.349108 42.13726, -94.320061 42.137293, -94.320088 42.151683, -94.300706 42.151698, -94.300463 42.122773, -94.281169 42.122734))"
"19","50676","1950676","B5","G6350","S","147945860","921289","+42.7988986","-092.2801798","N","POLYGON ((-92.17338 42.729522, -92.177879 42.740383, -92.178074 42.753843, -92.187516 42.763568, -92.194442 42.763628, -92.195163 42.773062, -92.202236 42.782579, -92.211338 42.785352, -92.22254 42.792085, -92.221137 42.798675, -92.228739 42.811278, -92.233971 42.811835, -92.248087 42.821269, -92.248099 42.825501, -92.255384 42.832008, -92.260194 42.841611, -92.269667 42.846606, -92.27962 42.845841, -92.293234 42.856526, -92.303352 42.857876, -92.300124 42.867077, -92.309026 42.874618, -92.302939 42.882922, -92.311441 42.887689, -92.314111 42.895979, -92.325489 42.901927, -92.329403 42.907064, -92.337408 42.907064, -92.341685 42.898623, -92.33716 42.895186, -92.337747 42.876926, -92.358113 42.8776, -92.357961 42.862788, -92.37713 42.862638, -92.376862 42.847908, -92.337534 42.847681, -92.337436 42.773731, -92.317732 42.773521, -92.317665 42.758981, -92.32772 42.759087, -92.327645 42.751713, -92.319882 42.751659, -92.317597 42.744459, -92.317592 42.729926, -92.297676 42.729847, -92.17338 42.729522))"
"19","50668","1950668","B5","G6350","S","87460062","229510","+42.6929059","-092.2288308","N","POLYGON ((-92.297676 42.729847, -92.297905 42.707455, -92.287193 42.707273, -92.287213 42.686041, -92.278493 42.686109, -92.278005 42.656853, -92.261085 42.65684, -92.26256 42.651962, -92.258549 42.6422, -92.179965 42.642119, -92.180006 42.64905, -92.165557 42.646716, -92.170596 42.656676, -92.199482 42.656696, -92.199427 42.671233, -92.189948 42.671228, -92.189824 42.682101, -92.165249 42.683085, -92.165188 42.700295, -92.140711 42.70042, -92.140759 42.714697, -92.172902 42.714806, -92.170757 42.727989, -92.17338 42.729522, -92.297676 42.729847))"
"19","50650","1950650","B5","G6350","S","106696113","60302","+42.6182483","-091.6560400","N","POLYGON ((-91.704943 42.686896, -91.710172 42.681641, -91.710097 42.673503, -91.68533 42.672405, -91.687035 42.608779, -91.697102 42.608084, -91.699392 42.599554, -91.726827 42.599479, -91.727077 42.585865, -91.7212 42.570434, -91.687584 42.570684, -91.68769 42.556146, -91.668044 42.55627, -91.609048 42.556445, -91.607059 42.643973, -91.606344 42.679505, -91.612138 42.68761, -91.645669 42.687653, -91.645614 42.673011, -91.670047 42.687094, -91.704943 42.686896))"
"19","50588","1950588","B5","G6350","S","356361817","12631881","+42.6586918","-095.1662792","N","POLYGON ((-95.071889 42.561099, -95.072368 42.619091, -95.052826 42.619055, -95.053096 42.647236, -95.051444 42.661694, -95.033463 42.661641, -95.033439 42.690657, -95.053093 42.690688, -95.05311 42.719887, -95.075684 42.719587, -95.083467 42.727119, -95.089434 42.72706, -95.092397 42.719863, -95.111984 42.719868, -95.112035 42.748813, -95.102475 42.748825, -95.102263 42.756511, -95.097438 42.762375, -95.092667 42.777704, -95.111873 42.777805, -95.151029 42.77781, -95.151197 42.748795, -95.190356 42.74878, -95.190407 42.763363, -95.229787 42.763269, -95.249453 42.76329, -95.249574 42.734291, -95.26971 42.734302, -95.269751 42.72011, -95.259519 42.720059, -95.259636 42.665613, -95.265779 42.662527, -95.249898 42.657755, -95.249982 42.640866, -95.259822 42.637491, -95.269948 42.637506, -95.269888 42.626069, -95.280016 42.626095, -95.28002 42.604493, -95.269792 42.604476, -95.269724 42.589907, -95.289493 42.589918, -95.289292 42.564967, -95.280075 42.56084, -95.19025 42.561055, -95.071889 42.561099))"
"19","50561","1950561","B5","G6350","S","119264336","94038","+42.4250985","-094.8505006","N","POLYGON ((-94.914487 42.47419, -94.915314 42.457475, -94.905671 42.457504, -94.905719 42.452272, -94.915346 42.443838, -94.915498 42.428408, -94.895837 42.428528, -94.896131 42.399552, -94.91571 42.399544, -94.915708 42.385053, -94.896181 42.385034, -94.896568 42.368677, -94.877045 42.368716, -94.877099 42.348014, -94.857577 42.348223, -94.857508 42.354412, -94.84394 42.354112, -94.844359 42.369281, -94.824843 42.368563, -94.804997 42.368395, -94.805222 42.399178, -94.7977 42.406257, -94.78601 42.413124, -94.786313 42.442485, -94.786408 42.473967, -94.816016 42.473914, -94.815974 42.488355, -94.835635 42.488449, -94.855158 42.488492, -94.855899 42.473989, -94.914487 42.47419))"
