STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10,WKT
"20","66772","2066772","B5","G6350","S","87210470","479675","+37.7545191","-095.2062837","N","POLYGON ((-95.306327 37.79103, -95.305912 37.762009, -95.324201 37.761942, -95.324725 37.732925, -95.306441 37.732762, -95.255215 37.732356, -95.19736 37.732539, -95.169585 37.732822, -95.160688 37.734202, -95.124618 37.733892, -95.115714 37.732406, -95.088082 37.732476, -95.087839 37.761405, -95.087883 37.774356, -95.090239 37.775975, -95.108887 37.775955, -95.10876 37.761355, -95.142593 37.761449, -95.14291 37.77617, -95.160486 37.77611, -95.160583 37.761527, -95.23375 37.761866, -95.233788 37.776451, -95.269395 37.776266, -95.269959 37.790887, -95.306327 37.79103))"
"20","66716","2066716","B5","G6350","S","222108390","1002858","+37.9480202","-095.0367820","N","POLYGON ((-95.061467 37.834311, -95.019823 37.834339, -95.000976 37.871305, -95.006243 37.878891, -95.006404 37.899599, -94.986458 37.899577, -94.98286 37.906727, -94.965244 37.906793, -94.965253 37.917334, -94.960683 37.922149, -94.960502 37.950982, -94.942944 37.986548, -94.948644 37.982949, -94.956472 37.988505, -94.960495 37.993788, -94.959753 38.000969, -94.987963 38.001121, -94.98798 38.022987, -95.022159 38.023077, -95.027446 38.030363, -95.05965 38.030521, -95.059549 38.037671, -95.077876 38.037706, -95.099101 38.037758, -95.091667 38.031627, -95.096551 38.025724, -95.097035 37.994217, -95.115398 37.994257, -95.115413 37.986716, -95.104115 37.992741, -95.097016 37.993144, -95.09534 37.973564, -95.090176 37.979473, -95.078509 37.979419, -95.078972 37.950409, -95.1157 37.950399, -95.115987 37.907731, -95.116659 37.892314, -95.098322 37.892514, -95.098313 37.877988, -95.080098 37.877909, -95.079806 37.834292, -95.061467 37.834311))"
"20","66033","2066033","B5","G6350","S","141809181","814653","+38.3632891","-095.1222668","N","POLYGON ((-95.194784 38.390198, -95.194603 38.368288, -95.203711 38.368264, -95.204014 38.335219, -95.222327 38.335494, -95.229447 38.329736, -95.231413 38.317264, -95.212885 38.317361, -95.212768 38.302793, -95.195461 38.302672, -95.189858 38.317149, -95.162181 38.317056, -95.159675 38.324437, -95.163624 38.329898, -95.157704 38.334526, -95.122987 38.334238, -95.120491 38.331304, -95.120364 38.316954, -95.102068 38.316926, -95.101889 38.302378, -95.065128 38.302168, -95.065828 38.346201, -95.056631 38.346086, -95.056558 38.375182, -94.987393 38.374887, -94.973528 38.386291, -94.973491 38.389308, -95.010464 38.389457, -95.065831 38.389945, -95.065955 38.404328, -95.075309 38.411526, -95.102316 38.411606, -95.105323 38.426364, -95.110197 38.421508, -95.116845 38.427551, -95.122615 38.419334, -95.124605 38.411776, -95.138877 38.411751, -95.138641 38.433521, -95.157164 38.433632, -95.157687 38.397317, -95.17635 38.397353, -95.176379 38.390079, -95.194784 38.390198))"
"20","66424","2066424","B5","G6350","S","148114260","448688","+39.6746892","-095.4040633","N","POLYGON ((-95.43376 39.754644, -95.433669 39.740096, -95.451907 39.740075, -95.451958 39.711041, -95.470864 39.710942, -95.470864 39.696331, -95.470858 39.681876, -95.451979 39.68202, -95.451956 39.65284, -95.433848 39.652869, -95.433812 39.623819, -95.405646 39.623768, -95.405288 39.594749, -95.405293 39.580259, -95.395848 39.580231, -95.395728 39.565702, -95.377149 39.565668, -95.377152 39.607626, -95.35831 39.604973, -95.358588 39.652985, -95.33974 39.65298, -95.339692 39.696647, -95.339641 39.740285, -95.358465 39.740224, -95.358427 39.754608, -95.414954 39.754619, -95.414941 39.761932, -95.433324 39.762047, -95.43376 39.754644))"
"20","67530","2067530","B5","G6350","S","636070610","2372665","+38.3520588","-098.7944843","N","POLYGON ((-98.922424 38.435879, -98.940848 38.441275, -98.940879 38.43436, -98.959329 38.434402, -98.959405 38.405409, -98.977875 38.405658, -98.977874 38.391127, -98.996338 38.391368, -98.996035 38.37684, -99.032929 38.377349, -99.03276 38.362858, -98.940491 38.361619, -98.940117 38.347068, -98.958551 38.347317, -98.958512 38.333798, -98.940161 38.333786, -98.940072 38.319278, -98.921694 38.318103, -98.921701 38.303597, -98.903383 38.301873, -98.921717 38.293018, -98.922054 38.268752, -98.932864 38.261253, -98.912583 38.261088, -98.912567 38.232429, -98.857816 38.23261, -98.85795 38.247077, -98.83956 38.246844, -98.839571 38.261043, -98.802819 38.260942, -98.802749 38.246945, -98.766317 38.246547, -98.766395 38.217509, -98.748136 38.217282, -98.748181 38.208769, -98.738999 38.208949, -98.738792 38.217221, -98.729615 38.217136, -98.72958 38.209872, -98.711211 38.209579, -98.711242 38.202228, -98.692822 38.202335, -98.692697 38.231566, -98.692595 38.260851, -98.682397 38.26088, -98.682496 38.275386, -98.700804 38.275473, -98.700838 38.289991, -98.669432 38.290014, -98.669716 38.304541, -98.664295 38.304571, -98.66409 38.355757, -98.654806 38.352653, -98.644899 38.342692, -98.633389 38.342367, -98.624334 38.348682, -98.609111 38.344715, -98.608901 38.359432, -98.590483 38.362312, -98.590414 38.376797, -98.608916 38.376627, -98.608833 38.391161, -98.590358 38.391283, -98.590371 38.405819, -98.608837 38.405714, -98.608905 38.417839, -98.614674 38.419672, -98.627315 38.420134, -98.627531 38.435755, -98.631441 38.44077, -98.637909 38.448748, -98.646227 38.448721, -98.68381 38.449033, -98.756531 38.449022, -98.756486 38.456291, -98.764391 38.45607, -98.767067 38.459358, -98.77488 38.457693, -98.77478 38.463535, -98.811624 38.463435, -98.811644 38.456192, -98.793185 38.45636, -98.793326 38.448881, -98.83015 38.44874, -98.830148 38.477834, -98.848561 38.477822, -98.872689 38.477855, -98.871474 38.434282, -98.918728 38.434304, -98.922424 38.435879))"
"20","66701","2066701","B5","G6350","S","762737317","5324063","+37.8220154","-094.7621365","N","POLYGON ((-94.61454 37.978171, -94.616714 37.979301, -94.658051 37.978955, -94.651752 37.9936, -94.658493 37.993615, -94.663525 38.003038, -94.674339 38.005939, -94.681241 38.003228, -94.691364 38.002315, -94.694683 38.008251, -94.71345 38.008282, -94.731982 37.99985, -94.732425 37.995535, -94.739478 37.990064, -94.751001 37.987484, -94.753214 37.97954, -94.768653 37.979559, -94.768515 37.95045, -94.786809 37.950508, -94.786861 37.959646, -94.789104 37.96505, -94.786939 37.968816, -94.786914 37.993775, -94.805229 37.99382, -94.805878 37.979664, -94.827978 37.979368, -94.830428 37.978285, -94.832675 37.950339, -94.860243 37.950315, -94.85996 37.84882, -94.83317 37.848797, -94.83333 37.819806, -94.851256 37.818824, -94.850915 37.798004, -94.833291 37.797906, -94.837987 37.791054, -94.846801 37.794253, -94.850527 37.792701, -94.851932 37.785223, -94.859717 37.783233, -94.85957 37.776089, -94.90103 37.776022, -94.901346 37.769023, -94.904214 37.761477, -94.955853 37.761683, -94.955634 37.758349, -94.948381 37.753096, -94.953928 37.746952, -94.958595 37.738443, -94.965813 37.734153, -94.962085 37.730098, -94.961592 37.718206, -94.970354 37.71817, -94.96974 37.689254, -94.92482 37.68926, -94.924681 37.674591, -94.883666 37.674738, -94.883664 37.66711, -94.86934 37.66725, -94.869146 37.659854, -94.841337 37.659894, -94.814078 37.65929, -94.813915 37.666542, -94.794886 37.667025, -94.795125 37.659484, -94.776681 37.659754, -94.776376 37.666917, -94.739875 37.666654, -94.739846 37.674028, -94.707291 37.673162, -94.666882 37.673259, -94.667407 37.687822, -94.680117 37.687735, -94.688709 37.686071, -94.702637 37.688709, -94.708052 37.692603, -94.717906 37.695682, -94.723434 37.701847, -94.739703 37.706059, -94.739763 37.717562, -94.685747 37.716979, -94.68617 37.731958, -94.667776 37.731723, -94.667928 37.746369, -94.658629 37.746862, -94.658482 37.761076, -94.617645 37.761243, -94.617669 37.776193, -94.615716 37.878645, -94.614612 37.944362, -94.61454 37.978171))"
"20","66527","2066527","B5","G6350","S","105259109","54767","+39.7453945","-095.6737105","N","POLYGON ((-95.639133 39.812277, -95.658147 39.812251, -95.669442 39.819072, -95.67658 39.818833, -95.676578 39.812254, -95.665622 39.812234, -95.670114 39.804745, -95.676566 39.804665, -95.676534 39.783202, -95.728028 39.783281, -95.728064 39.725678, -95.75015 39.725736, -95.750437 39.696603, -95.71379 39.697069, -95.713829 39.690047, -95.704394 39.689987, -95.69277 39.687871, -95.676363 39.683177, -95.676373 39.696351, -95.662619 39.696236, -95.657741 39.693893, -95.657782 39.739769, -95.639053 39.739875, -95.638888 39.725348, -95.620155 39.725367, -95.620253 39.739834, -95.601468 39.739846, -95.601557 39.783375, -95.610971 39.783353, -95.611111 39.768851, -95.620286 39.768831, -95.620382 39.797879, -95.639161 39.797798, -95.639133 39.812277))"
"20","67144","2067144","B5","G6350","S","116746204","40743","+37.8191702","-097.0033010","N","POLYGON ((-97.042196 37.868769, -97.042237 37.825158, -97.062461 37.825201, -97.062353 37.803341, -97.044013 37.803283, -97.043984 37.793391, -97.062163 37.794077, -97.062039 37.781508, -97.043866 37.781383, -97.043803 37.766808, -97.062006 37.766964, -97.061991 37.752429, -97.05475 37.752369, -97.053154 37.743262, -97.0438 37.746834, -97.016907 37.754801, -97.017136 37.723143, -96.998807 37.723053, -96.998699 37.745334, -96.998592 37.752301, -96.971157 37.752363, -96.970819 37.781096, -96.979942 37.781232, -96.982287 37.789762, -96.989168 37.79152, -96.989211 37.797884, -96.982023 37.803932, -96.958379 37.810842, -96.93534 37.816057, -96.935553 37.82469, -96.987293 37.824906, -96.987266 37.830405, -96.978956 37.839655, -96.968872 37.839654, -96.956795 37.845617, -96.950484 37.852473, -96.950603 37.88309, -96.968808 37.883426, -96.968833 37.886248, -96.975372 37.883296, -97.005492 37.883443, -97.005753 37.899189, -97.012881 37.896094, -97.024683 37.884945, -97.037144 37.885128, -97.042244 37.882246, -97.042196 37.868769))"
"20","67012","2067012","B5","G6350","S","25072269","99596","+37.6736652","-096.5465501","N","POLYGON ((-96.525557 37.705306, -96.540041 37.708999, -96.556256 37.70745, -96.562226 37.702603, -96.562272 37.679603, -96.580639 37.679618, -96.580465 37.650537, -96.534847 37.650434, -96.534904 37.654894, -96.525966 37.654951, -96.525557 37.705306))"
"20","67344","2067344","B5","G6350","S","447387395","7947471","+37.2874708","-095.9538569","N","POLYGON ((-95.819458 37.385757, -95.853496 37.385959, -95.855799 37.381217, -95.855804 37.371322, -95.8831 37.371604, -95.883119 37.357009, -95.892129 37.357138, -95.891995 37.385864, -95.896958 37.386259, -95.961605 37.386636, -95.964666 37.386656, -95.96444 37.32401, -95.983987 37.331165, -95.998877 37.339081, -96.018931 37.346693, -96.036511 37.347618, -96.036864 37.350582, -96.05496 37.350746, -96.054916 37.374079, -96.061358 37.378226, -96.069562 37.373891, -96.071761 37.365538, -96.082265 37.365341, -96.085517 37.358123, -96.095963 37.357396, -96.095195 37.344607, -96.100576 37.332434, -96.100586 37.30106, -96.091428 37.300297, -96.091526 37.248856, -96.091425 37.19861, -96.026942 37.198183, -96.0215 37.191991, -96.017186 37.179397, -96.01412 37.180066, -95.9822 37.179851, -95.982201 37.166325, -95.978966 37.162618, -95.979087 37.151079, -95.974936 37.145204, -95.964385 37.140207, -95.964167 37.183254, -95.937218 37.18318, -95.936945 37.197369, -95.927907 37.197703, -95.919258 37.197657, -95.919386 37.226496, -95.895269 37.226454, -95.901476 37.233431, -95.902322 37.241062, -95.883072 37.241053, -95.883051 37.248189, -95.869548 37.246342, -95.854362 37.246198, -95.853341 37.252394, -95.849205 37.258815, -95.841422 37.259085, -95.835971 37.262852, -95.831468 37.259701, -95.824514 37.261755, -95.822532 37.256942, -95.808446 37.255131, -95.798604 37.260369, -95.796582 37.264444, -95.78494 37.270797, -95.781014 37.277083, -95.792742 37.277413, -95.802121 37.282677, -95.811828 37.277524, -95.819501 37.276819, -95.819395 37.298652, -95.792498 37.298542, -95.792513 37.327427, -95.783562 37.327388, -95.783754 37.349088, -95.778969 37.349165, -95.779027 37.356302, -95.774058 37.356245, -95.774222 37.370653, -95.78331 37.370701, -95.782808 37.375363, -95.792316 37.374549, -95.792558 37.371169, -95.801662 37.370957, -95.801701 37.356451, -95.819494 37.356655, -95.819458 37.385757))"
