STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10,WKT
"22","70638","2270638","B5","G6350","S","74143813","547926","+30.8491476","-092.7971376","N","POLYGON ((-92.720971 30.891893, -92.749785 30.891806, -92.778012 30.88934, -92.785321 30.891624, -92.806894 30.891771, -92.81212 30.889785, -92.823932 30.89, -92.823552 30.875594, -92.862067 30.875792, -92.863478 30.866645, -92.859036 30.854637, -92.83277 30.854436, -92.853406 30.836324, -92.847215 30.832212, -92.824073 30.832238, -92.839515 30.817926, -92.819034 30.817892, -92.812879 30.817341, -92.811719 30.812335, -92.815523 30.803331, -92.810107 30.800382, -92.80216 30.802125, -92.798514 30.807362, -92.777006 30.817574, -92.77236 30.817559, -92.767215 30.826833, -92.761411 30.833778, -92.753224 30.837042, -92.746642 30.846933, -92.745417 30.852647, -92.755541 30.857717, -92.755229 30.878513, -92.737401 30.878911, -92.721005 30.888892, -92.720971 30.891893))"
"22","70380","2270380","B5","G6350","S","167893242","34740054","+29.7316226","-091.1340954","N","MULTIPOLYGON (((-91.253523 29.685273, -91.255988 29.699764, -91.264768 29.709642, -91.269437 29.703175, -91.275722 29.687637, -91.278495 29.683697, -91.290391 29.677875, -91.293646 29.658633, -91.293594 29.651241, -91.283948 29.649324, -91.276322 29.653481, -91.280859 29.658638, -91.269783 29.669452, -91.270611 29.680242, -91.253813 29.683744, -91.253523 29.685273)), ((-91.2123 29.6883, -91.20375 29.68897, -91.197077 29.685202, -91.182013 29.68176, -91.16168 29.68285, -91.148472 29.679527, -91.141046 29.673112, -91.129376 29.656564, -91.125778 29.6478, -91.114984 29.633043, -91.106953 29.636449, -91.096852 29.638545, -91.089628 29.637624, -91.083393 29.631224, -91.082602 29.626368, -91.039001 29.676443, -91.012432 29.708039, -91.013067 29.713673, -91.021018 29.716815, -91.026685 29.723416, -91.030672 29.731896, -91.040619 29.743813, -91.048049 29.747939, -91.048185 29.751791, -91.056324 29.760866, -91.061156 29.769344, -91.066408 29.768772, -91.071109 29.762172, -91.087838 29.76091, -91.099068 29.770186, -91.096125 29.778517, -91.100052 29.785059, -91.092748 29.801574, -91.099415 29.81465, -91.109462 29.823945, -91.11831 29.823355, -91.1203 29.815641, -91.148137 29.815246, -91.150085 29.810954, -91.156052 29.812131, -91.161998 29.803624, -91.160503 29.801049, -91.1655 29.791548, -91.166774 29.777085, -91.173445 29.782196, -91.177076 29.774375, -91.174775 29.764258, -91.176343 29.733886, -91.179313 29.728191, -91.159696 29.723821, -91.134117 29.724073, -91.112275 29.702927, -91.10001 29.699402, -91.099368 29.695945, -91.107476 29.691658, -91.107811 29.688032, -91.129633 29.673567, -91.1368 29.678934, -91.149597 29.69301, -91.162031 29.697096, -91.172889 29.696791, -91.172903 29.706007, -91.179348 29.70525, -91.184067 29.699932, -91.192635 29.699868, -91.198707 29.710811, -91.203943 29.723246, -91.210415 29.72214, -91.220814 29.709206, -91.213127 29.694891, -91.2123 29.6883), (-91.109476 29.66876, -91.108701 29.671081, -91.101469 29.670741, -91.101655 29.668525, -91.109476 29.66876)))"
"22","70661","2270661","B5","G6350","S","446823868","3357970","+30.3545043","-093.6496546","N","POLYGON ((-93.712853 30.479032, -93.707167 30.467488, -93.700359 30.457532, -93.706339 30.458141, -93.699332 30.4452, -93.698135 30.43888, -93.708255 30.430252, -93.716472 30.428442, -93.726106 30.43072, -93.727724 30.415158, -93.733917 30.414935, -93.734892 30.408339, -93.745971 30.396478, -93.751016 30.396484, -93.757409 30.390813, -93.75844 30.383692, -93.755576 30.380214, -93.755356 30.368956, -93.757264 30.364282, -93.751242 30.360587, -93.760679 30.356675, -93.75821 30.350782, -93.765297 30.342448, -93.762382 30.339153, -93.764252 30.330229, -93.755584 30.331505, -93.75604 30.325706, -93.748458 30.31802, -93.739643 30.303507, -93.729046 30.296705, -93.70933 30.29221, -93.704584 30.289949, -93.704917 30.28083, -93.708618 30.268673, -93.70696 30.261185, -93.703544 30.259321, -93.709439 30.245494, -93.703218 30.239759, -93.713427 30.229466, -93.712152 30.219815, -93.718463 30.219998, -93.720931 30.208461, -93.715003 30.204488, -93.717927 30.200539, -93.706044 30.193978, -93.70983 30.191005, -93.710541 30.179729, -93.707356 30.179449, -93.700817 30.166226, -93.696186 30.168571, -93.694149 30.175918, -93.686252 30.182311, -93.682575 30.188793, -93.685589 30.192956, -93.680689 30.198844, -93.674231 30.223568, -93.671699 30.226182, -93.671282 30.237115, -93.661303 30.250318, -93.648423 30.253468, -93.648583 30.260456, -93.64102 30.256644, -93.62986 30.257199, -93.626005 30.260248, -93.60086 30.266974, -93.6093 30.274242, -93.604891 30.281272, -93.579973 30.281246, -93.579974 30.287675, -93.583744 30.292255, -93.573816 30.297673, -93.57161 30.303959, -93.560233 30.303185, -93.548266 30.304485, -93.539624 30.309202, -93.519936 30.316476, -93.520334 30.318646, -93.536355 30.331868, -93.530195 30.336379, -93.536185 30.345277, -93.527845 30.361728, -93.531382 30.367438, -93.528652 30.375871, -93.522618 30.382101, -93.524356 30.389299, -93.528134 30.392626, -93.523026 30.397619, -93.526051 30.402402, -93.574395 30.402779, -93.575414 30.413938, -93.578419 30.416885, -93.577623 30.42491, -93.586112 30.428753, -93.582599 30.431656, -93.571977 30.431649, -93.571492 30.460897, -93.577533 30.460925, -93.622209 30.461047, -93.617439 30.469179, -93.609993 30.472688, -93.610141 30.479934, -93.621767 30.482983, -93.639249 30.482907, -93.639366 30.490044, -93.670616 30.48995, -93.674423 30.499468, -93.679818 30.500605, -93.683072 30.506502, -93.689208 30.510066, -93.696464 30.511111, -93.703949 30.518294, -93.706646 30.506022, -93.714002 30.501741, -93.708508 30.498621, -93.714872 30.4972, -93.71571 30.495907, -93.71569 30.49308, -93.714089 30.491672, -93.71245 30.488906, -93.709127 30.485012, -93.712853 30.479032))"
"22","71070","2271070","B5","G6350","S","529553773","14158081","+32.1019167","-093.0128753","N","POLYGON ((-93.187162 32.148412, -93.185663 32.14294, -93.173505 32.134645, -93.171244 32.127952, -93.163157 32.115702, -93.157561 32.113214, -93.152796 32.102506, -93.164306 32.093317, -93.16002 32.081592, -93.145606 32.072699, -93.144091 32.06665, -93.136127 32.056224, -93.137725 32.049208, -93.143832 32.040988, -93.15695 32.028084, -93.155578 32.017826, -93.158098 32.009407, -93.153137 32.002817, -93.148077 32.001835, -93.139268 31.989708, -93.1361 31.983242, -93.129567 31.979944, -93.121188 31.97261, -93.109941 31.957204, -93.100407 31.957174, -93.098537 31.960881, -93.086551 31.960835, -93.081177 31.957492, -93.058818 31.953275, -93.051967 31.954792, -93.039948 31.961385, -93.032582 31.957099, -93.028285 31.948561, -93.015642 31.943339, -93.010771 31.945108, -93.013769 31.959299, -93.007109 31.964878, -93.007255 31.970144, -92.992804 31.976786, -92.983792 31.983978, -93.000895 31.994967, -92.999962 32.004793, -93.017041 32.00506, -93.018931 32.016917, -93.013902 32.02778, -93.013544 32.033749, -93.016718 32.0366, -93.015023 32.054658, -92.999288 32.034014, -92.997055 32.033695, -92.976876 32.046258, -92.970754 32.05348, -92.959555 32.050217, -92.947158 32.057361, -92.943457 32.057615, -92.932014 32.053359, -92.929315 32.048733, -92.912597 32.049495, -92.900627 32.059887, -92.901761 32.06756, -92.911679 32.076175, -92.904753 32.082172, -92.905544 32.090054, -92.909 32.092134, -92.912763 32.10342, -92.924786 32.11253, -92.92602 32.118547, -92.93181 32.123562, -92.932184 32.13651, -92.937923 32.142769, -92.93908 32.147942, -92.902862 32.147975, -92.875156 32.147438, -92.814737 32.146907, -92.819857 32.151729, -92.819531 32.158161, -92.824334 32.169287, -92.823145 32.174328, -92.812413 32.184104, -92.82021 32.18804, -92.82129 32.20249, -92.83108 32.20532, -92.842458 32.205249, -92.846478 32.209216, -92.86571 32.20901, -92.87485 32.21496, -92.8792 32.21662, -92.88288 32.22268, -92.88949 32.22259, -92.894729 32.237355, -92.90195 32.235, -92.914 32.23511, -92.91666 32.23249, -92.936114 32.222181, -92.94078 32.22686, -92.93703 32.22985, -92.93705 32.23681, -92.95316 32.237925, -92.95951 32.23987, -92.956477 32.244895, -92.96066 32.25328, -92.97054 32.24932, -92.976805 32.250154, -92.979571 32.243659, -92.977667 32.238814, -92.98147 32.235705, -92.997126 32.236964, -93.001526 32.235753, -93.001846 32.221353, -93.013308 32.221439, -93.0172 32.21377, -93.0174 32.20464, -93.013596 32.181803, -93.010146 32.170678, -93.016822 32.168583, -93.023391 32.162947, -93.023712 32.152816, -93.026223 32.148431, -93.125089 32.148021, -93.187162 32.148412))"
"22","71001","2271001","B5","G6350","S","320716741","222284","+32.5915466","-092.8892533","N","POLYGON ((-93.002742 32.584095, -93.01147 32.57205, -93.01613 32.56915, -93.01741 32.56376, -93.00887 32.5578, -93.00813 32.54674, -93.00016 32.546536, -92.973876 32.554804, -92.97388 32.54555, -92.96989 32.54482, -92.965391 32.538349, -92.97412 32.534318, -92.974223 32.521371, -92.976551 32.514911, -92.968835 32.504261, -92.9576 32.49442, -92.953366 32.492671, -92.95253 32.48349, -92.956566 32.474068, -92.951198 32.473024, -92.943569 32.47657, -92.94085 32.474158, -92.941019 32.463055, -92.93867 32.456082, -92.93282 32.452243, -92.932652 32.443658, -92.927231 32.437889, -92.924716 32.426081, -92.908424 32.430416, -92.903117 32.442205, -92.88316 32.44562, -92.88442 32.45024, -92.879838 32.463869, -92.879093 32.476109, -92.880034 32.500152, -92.879792 32.542718, -92.880242 32.55716, -92.84816 32.551411, -92.840201 32.562839, -92.823888 32.571702, -92.824792 32.58816, -92.829172 32.593242, -92.833593 32.588526, -92.841634 32.588568, -92.846301 32.592131, -92.845406 32.606667, -92.852187 32.612798, -92.846649 32.621825, -92.840561 32.627578, -92.835863 32.635867, -92.819156 32.639528, -92.813665 32.641983, -92.811232 32.646809, -92.813038 32.659683, -92.812495 32.670709, -92.795798 32.673214, -92.79725 32.676935, -92.792533 32.680702, -92.768025 32.68685, -92.755554 32.686991, -92.753459 32.698417, -92.758529 32.701713, -92.775804 32.701308, -92.781119 32.697581, -92.791231 32.69425, -92.799388 32.700836, -92.80712 32.700285, -92.807939 32.704541, -92.820057 32.714093, -92.828049 32.714388, -92.840021 32.71997, -92.846714 32.713462, -92.852765 32.718844, -92.86149 32.721783, -92.865787 32.726456, -92.877572 32.726051, -92.881544 32.7306, -92.90128 32.73207, -92.90439 32.72102, -92.90337 32.71421, -92.91565 32.71031, -92.92226 32.70013, -92.92369 32.67657, -92.93724 32.67083, -92.94712 32.66851, -92.95346 32.66413, -92.941 32.65833, -92.92884 32.65816, -92.9226 32.64069, -92.92769 32.63284, -92.92913 32.6218, -92.93987 32.61728, -92.944244 32.612936, -92.944876 32.600081, -92.946943 32.594146, -92.956037 32.596443, -92.958692 32.588919, -92.957736 32.584746, -92.96867 32.58656, -92.96754 32.59794, -92.97118 32.60387, -92.98032 32.604, -92.98608 32.59554, -92.99223 32.59549, -92.99634 32.58797, -93.002742 32.584095))"
"22","71067","2271067","B5","G6350","S","99530710","20813","+32.5986288","-093.5038807","N","POLYGON ((-93.445317 32.644006, -93.515027 32.645126, -93.51503 32.634895, -93.521919 32.634024, -93.530575 32.626399, -93.532316 32.615421, -93.542715 32.615349, -93.544711 32.611496, -93.552469 32.606152, -93.567782 32.603018, -93.567372 32.598047, -93.574679 32.590584, -93.571362 32.580306, -93.559083 32.583656, -93.55215 32.56008, -93.531046 32.547608, -93.523998 32.55779, -93.523721 32.562142, -93.515106 32.56313, -93.515092 32.588531, -93.49248 32.588521, -93.505142 32.572953, -93.508925 32.57056, -93.508931 32.564325, -93.515109 32.562903, -93.515126 32.549457, -93.492667 32.566313, -93.48598 32.565076, -93.473313 32.55538, -93.474994 32.552625, -93.467199 32.543267, -93.464974 32.534554, -93.446147 32.535523, -93.445657 32.607777, -93.434632 32.61449, -93.425312 32.625287, -93.42203 32.627128, -93.432391 32.637893, -93.445317 32.644006))"
"22","71119","2271119","B5","G6350","S","114871428","13747981","+32.4906929","-093.9254596","N","POLYGON ((-93.813368 32.511187, -93.836574 32.505649, -93.84688 32.504852, -93.881381 32.511552, -93.891461 32.519202, -93.899008 32.51926, -93.938858 32.516993, -93.956277 32.519014, -93.963006 32.514564, -93.967825 32.519509, -93.985319 32.518167, -93.990647 32.518827, -94.011748 32.517415, -94.019459 32.513641, -94.029894 32.515895, -94.031901 32.518797, -94.043258 32.516199, -94.043041 32.50121, -94.037379 32.500625, -94.035709 32.48782, -94.023462 32.490727, -94.018675 32.494827, -94.017997 32.499384, -94.00791 32.500954, -94.004431 32.480763, -94.012182 32.480038, -94.028345 32.465761, -94.006605 32.456944, -93.980945 32.457386, -93.981204 32.463712, -93.976655 32.464001, -93.975827 32.454399, -93.972218 32.448099, -93.961413 32.446725, -93.945281 32.446478, -93.938496 32.443882, -93.864942 32.450799, -93.844623 32.456277, -93.845938 32.461575, -93.8241 32.490937, -93.813368 32.511187))"
"22","71377","2271377","B5","G6350","S","832687","5777","+31.6106042","-091.7862715","N","POLYGON ((-91.790423 31.615699, -91.78891 31.605097, -91.785301 31.603522, -91.781553 31.613544, -91.790423 31.615699))"
"22","70802","2270802","B5","G6350","S","19933632","2960562","+30.4443928","-091.1773892","N","POLYGON ((-91.169114 30.432646, -91.169307 30.449889, -91.155901 30.450291, -91.155981 30.453451, -91.141388 30.453867, -91.140022 30.470383, -91.149533 30.470352, -91.186839 30.469145, -91.19653 30.469365, -91.195906 30.438693, -91.199807 30.419091, -91.205707 30.407991, -91.183837 30.404574, -91.178078 30.411394, -91.176426 30.417259, -91.171802 30.416465, -91.175549 30.420636, -91.168527 30.428115, -91.169114 30.432646), (-91.188343 30.451424, -91.183597 30.452635, -91.183464 30.450509, -91.187016 30.448286, -91.188343 30.451424))"
"22","71286","2271286","B5","G6350","S","240538575","17976060","+32.6616156","-091.1998548","N","POLYGON ((-91.290512 32.568514, -91.232323 32.568693, -91.229169 32.562246, -91.222047 32.562986, -91.221912 32.576251, -91.230454 32.576231, -91.23075 32.583745, -91.240409 32.583765, -91.231993 32.598253, -91.220774 32.604246, -91.2179 32.598208, -91.183068 32.598145, -91.180683 32.583633, -91.162909 32.58363, -91.157334 32.587224, -91.149948 32.586008, -91.150521 32.596415, -91.1565 32.601579, -91.15733 32.613218, -91.164955 32.630992, -91.17018 32.635906, -91.167396 32.64011, -91.153689 32.627963, -91.152699 32.640757, -91.142038 32.649265, -91.136774 32.651541, -91.126201 32.667135, -91.118258 32.674075, -91.098762 32.685291, -91.081145 32.691127, -91.063946 32.702925, -91.057043 32.712576, -91.054481 32.722259, -91.060766 32.727494, -91.090573 32.7361, -91.113652 32.73997, -91.125107 32.743195, -91.1495 32.741931, -91.15861 32.743449, -91.163389 32.747009, -91.165814 32.757841, -91.164397 32.763491, -91.155476 32.779909, -91.164397 32.785821, -91.161022 32.8052, -91.167873 32.804544, -91.172427 32.789105, -91.177149 32.783765, -91.177602 32.75824, -91.17932 32.736463, -91.180202 32.714953, -91.185685 32.712271, -91.197633 32.714768, -91.229712 32.714509, -91.235808 32.713569, -91.238924 32.717526, -91.244239 32.715347, -91.234136 32.699695, -91.237776 32.695703, -91.248602 32.696083, -91.252568 32.688231, -91.252556 32.677832, -91.286102 32.677822, -91.283696 32.685136, -91.289264 32.697409, -91.277526 32.70883, -91.268761 32.71502, -91.272271 32.720582, -91.281817 32.721612, -91.297543 32.697632, -91.300135 32.68748, -91.311242 32.675716, -91.303189 32.670423, -91.287265 32.670398, -91.292684 32.658534, -91.299293 32.648136, -91.299754 32.641012, -91.290794 32.637804, -91.288792 32.631779, -91.292917 32.611919, -91.297565 32.607121, -91.293208 32.602279, -91.290802 32.595017, -91.291102 32.586817, -91.305172 32.57981, -91.315993 32.568036, -91.290512 32.568514))"
