STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10,WKT
"23","04240","2304240","B5","G6350","S","88439163","3595457","+44.0895941","-070.1721851","N","POLYGON ((-70.115252 44.126237, -70.137252 44.136565, -70.163881 44.149222, -70.199752 44.167507, -70.201897 44.165044, -70.202514 44.162513, -70.210532 44.151781, -70.209736 44.148877, -70.205774 44.145314, -70.202082 44.140189, -70.200883 44.139252, -70.203051 44.132395, -70.207911 44.127699, -70.21011 44.122395, -70.212752 44.11922, -70.216194 44.116973, -70.216974 44.11516, -70.217262 44.111511, -70.221668 44.107957, -70.223445 44.104174, -70.222433 44.101422, -70.222877 44.097463, -70.223949 44.095581, -70.223943 44.09197, -70.221346 44.089386, -70.216035 44.086331, -70.211953 44.083261, -70.209054 44.080307, -70.207196 44.076932, -70.207939 44.073584, -70.208159 44.069472, -70.207184 44.064403, -70.202382 44.062091, -70.201089 44.060459, -70.199433 44.056432, -70.192827 44.048939, -70.188519 44.046139, -70.186659 44.042921, -70.185424 44.036465, -70.184071 44.033225, -70.182173 44.030696, -70.179447 44.025367, -70.17657 44.022975, -70.170903 44.020971, -70.167152 44.019178, -70.166551 44.017851, -70.16663 44.013458, -70.166031 44.009681, -70.163415 44.007345, -70.158558 44.005346, -70.143079 44.022059, -70.140515 44.030754, -70.1333 44.048892, -70.126793 44.06559, -70.124902 44.073009, -70.123982 44.079707, -70.116223 44.107762, -70.11875 44.115394, -70.115914 44.12515, -70.115252 44.126237))"
"23","04250","2304250","B5","G6350","S","30886554","2076551","+44.0105197","-070.1274704","N","POLYGON ((-70.158558 44.005346, -70.149014 44.000787, -70.142646 43.996795, -70.138445 43.992691, -70.136146 43.989482, -70.131261 43.984907, -70.127826 43.98386, -70.125792 43.984929, -70.125255 43.986542, -70.119318 43.990391, -70.115677 43.992293, -70.108515 43.994205, -70.104594 43.995819, -70.100149 43.999693, -70.098523 44.003814, -70.095044 44.008507, -70.092104 44.009993, -70.088815 44.00989, -70.086369 44.01224, -70.085763 44.015114, -70.08811 44.018117, -70.089675 44.018682, -70.090384 44.020692, -70.092322 44.021591, -70.089499 44.030309, -70.081613 44.029028, -70.082773 44.034936, -70.084422 44.036573, -70.086978 44.03703, -70.089589 44.038914, -70.086141 44.041679, -70.08385 44.041851, -70.086444 44.057076, -70.085917 44.059682, -70.126793 44.06559, -70.1333 44.048892, -70.140515 44.030754, -70.143079 44.022059, -70.158558 44.005346))"
"23","04282","2304282","B5","G6350","S","153471153","8970709","+44.2651065","-070.2479796","N","POLYGON ((-70.284557 44.197625, -70.250859 44.188664, -70.212493 44.178572, -70.212577 44.179742, -70.210612 44.182202, -70.210236 44.185614, -70.206776 44.190801, -70.205063 44.195158, -70.202565 44.200118, -70.190892 44.214925, -70.188571 44.218924, -70.189354 44.223444, -70.190158 44.23311, -70.189048 44.239801, -70.187674 44.244839, -70.183735 44.24818, -70.180834 44.254548, -70.178351 44.25876, -70.176881 44.264483, -70.17522 44.266553, -70.174543 44.269977, -70.177092 44.275546, -70.177039 44.279039, -70.176159 44.282195, -70.174452 44.285412, -70.177499 44.289473, -70.178913 44.292745, -70.178523 44.299371, -70.180913 44.305536, -70.180947 44.307404, -70.182525 44.309677, -70.183364 44.316508, -70.184594 44.319079, -70.183563 44.323222, -70.186866 44.324988, -70.188304 44.328048, -70.19102 44.329077, -70.195819 44.32999, -70.19883 44.33257, -70.197428 44.334628, -70.193746 44.336769, -70.189559 44.340134, -70.187903 44.343168, -70.220618 44.351457, -70.242893 44.357244, -70.265223 44.362913, -70.274073 44.340769, -70.276994 44.333528, -70.289658 44.302312, -70.30774 44.255569, -70.314493 44.237247, -70.325218 44.208399, -70.284557 44.197625))"
"23","04736","2304736","B5","G6350","S","432056259","2389403","+46.9095320","-068.0260955","N","POLYGON ((-68.056528 46.775677, -68.045358 46.775998, -67.999438 46.777064, -67.926079 46.778765, -67.919217 46.77893, -67.919111 46.856583, -67.919126 46.865983, -67.926697 46.865784, -67.92732 46.875045, -67.927895 46.895491, -67.928587 46.914909, -67.928836 46.934138, -67.929276 46.95789, -67.907821 46.958171, -67.906975 46.962211, -67.900961 46.963724, -67.905079 46.969574, -67.901922 46.975809, -67.918556 46.975897, -67.918465 46.990811, -67.917844 46.991174, -67.908116 46.991115, -67.90805 47.00379, -67.908296 47.006057, -67.907241 47.007951, -67.908003 47.009901, -67.909868 47.011545, -67.91341 47.011248, -67.917253 47.01006, -67.920527 47.010244, -67.927678 47.00917, -67.930323 47.009611, -67.931152 47.048369, -67.979696 47.047718, -67.977467 47.051432, -67.985072 47.054929, -67.984985 47.056439, -67.989361 47.06075, -67.994144 47.061464, -67.998936 47.063306, -68.002163 47.065017, -68.004466 47.064924, -68.011176 47.066913, -68.012543 47.070906, -68.015554 47.076904, -68.024413 47.075932, -68.025877 47.077094, -68.026489 47.080289, -68.033502 47.080794, -68.036343 47.081702, -68.038993 47.078715, -68.044374 47.075775, -68.048418 47.075836, -68.052063 47.077622, -68.053268 47.081319, -68.05536 47.083008, -68.061389 47.085546, -68.069869 47.084569, -68.073583 47.082969, -68.075598 47.083508, -68.077464 47.081825, -68.080474 47.077665, -68.080306 47.075243, -68.078198 47.074032, -68.077428 47.072386, -68.079836 47.070077, -68.082041 47.063083, -68.081404 47.059838, -68.078929 47.057598, -68.079329 47.055313, -68.078459 47.051908, -68.078391 47.048594, -68.077087 47.04656, -68.078356 47.04272, -68.076716 47.040594, -68.077384 47.036275, -68.075745 47.034743, -68.075544 47.032161, -68.074274 47.03143, -68.068992 47.03063, -68.063176 47.027732, -68.063227 47.022826, -68.064031 47.00007, -68.062286 46.931444, -68.083158 46.931015, -68.132583 46.929861, -68.178696 46.92886, -68.178394 46.912079, -68.178246 46.875718, -68.1781 46.875064, -68.177298 46.837038, -68.059399 46.83932, -68.056528 46.775677))"
"23","04760","2304760","B5","G6350","S","259787771","547534","+46.3393412","-067.9548745","N","POLYGON ((-67.783302 46.372964, -67.795557 46.372844, -67.840795 46.372167, -67.876346 46.371761, -67.908905 46.37173, -67.908439 46.366042, -67.908411 46.350578, -67.909743 46.353785, -67.913483 46.355827, -67.915419 46.35863, -67.915639 46.361988, -67.917848 46.364283, -67.917872 46.369097, -67.918661 46.371735, -67.922783 46.374148, -67.924597 46.376227, -67.924692 46.379185, -67.927 46.381411, -67.929565 46.384889, -67.928249 46.389287, -67.930105 46.390685, -67.933643 46.390704, -67.937794 46.391651, -67.937738 46.394077, -67.943895 46.399768, -67.944216 46.403182, -67.945218 46.405978, -67.948561 46.410136, -67.9576 46.410425, -67.959099 46.411947, -67.961963 46.413097, -67.962528 46.415783, -67.960296 46.419438, -67.961946 46.423972, -67.965791 46.428329, -67.969928 46.427162, -67.970575 46.43033, -67.974442 46.432249, -67.977389 46.434411, -67.98013 46.434729, -67.982106 46.436157, -67.987586 46.436658, -67.988443 46.437459, -67.99416 46.439095, -67.996468 46.439133, -67.999119 46.437467, -68.00155 46.437462, -68.006504 46.438952, -68.009555 46.4384, -68.01162 46.437058, -68.018126 46.435687, -68.019035 46.435002, -68.020006 46.430771, -68.023932 46.431304, -68.030304 46.429929, -68.033507 46.428725, -68.043563 46.416958, -68.044688 46.41301, -68.047332 46.412302, -68.049877 46.412783, -68.050702 46.414657, -68.051 46.420646, -68.053361 46.417194, -68.051395 46.415348, -68.05121 46.413444, -68.048679 46.411413, -68.047615 46.408148, -68.049497 46.407858, -68.051498 46.409529, -68.064004 46.409887, -68.069552 46.40957, -68.077366 46.407988, -68.081914 46.407795, -68.082552 46.40366, -68.081289 46.399325, -68.075818 46.396747, -68.07398 46.391815, -68.076125 46.389097, -68.071804 46.383964, -68.077638 46.368039, -68.082527 46.362689, -68.079032 46.361231, -68.075021 46.360214, -68.077346 46.358788, -68.077975 46.35657, -68.08095 46.353697, -68.082503 46.353066, -68.080323 46.348769, -68.078012 46.347375, -68.077978 46.345432, -68.072334 46.342622, -68.067745 46.342988, -68.066227 46.341845, -68.063521 46.33789, -68.063257 46.334804, -68.058505 46.332817, -68.056987 46.331382, -68.052957 46.328057, -68.05332 46.324585, -68.052683 46.320018, -68.050559 46.318622, -68.047969 46.31562, -68.04552 46.311657, -68.044025 46.310937, -68.04052 46.306975, -68.037423 46.305599, -68.030881 46.301804, -68.02401 46.298411, -68.022192 46.296995, -68.020554 46.299144, -68.013301 46.301224, -68.007995 46.302242, -68.005235 46.305479, -68.00019 46.307839, -67.994291 46.307385, -67.992838 46.30606, -67.992638 46.303615, -67.99079 46.302564, -67.987489 46.299251, -67.984421 46.298361, -67.983761 46.297104, -67.984352 46.294041, -67.980196 46.292374, -67.975579 46.291941, -67.970003 46.287965, -67.972373 46.281406, -67.972306 46.279645, -67.973962 46.276369, -67.941386 46.276434, -67.944572 46.277823, -67.946585 46.28117, -67.945424 46.283149, -67.941136 46.28364, -67.942426 46.285196, -67.946281 46.287413, -67.94571 46.289974, -67.944078 46.291016, -67.93909 46.291159, -67.938605 46.293091, -67.937068 46.294252, -67.936592 46.297912, -67.935607 46.298354, -67.928402 46.298059, -67.926698 46.299639, -67.921154 46.300719, -67.922515 46.305083, -67.922777 46.307901, -67.921787 46.309266, -67.913687 46.309661, -67.911146 46.31068, -67.907624 46.310724, -67.906979 46.279454, -67.881751 46.279268, -67.830484 46.279552, -67.813495 46.279422, -67.782065 46.279406, -67.782704 46.332756, -67.783302 46.372964))"
"23","04764","2304764","B5","G6350","S","170008341","1933731","+46.3989288","-068.5853232","N","POLYGON ((-68.7476 46.395433, -68.69492 46.395505, -68.694877 46.382612, -68.625459 46.382568, -68.624466 46.382619, -68.572412 46.382539, -68.509337 46.382448, -68.436443 46.382121, -68.436412 46.407584, -68.434473 46.407798, -68.432688 46.409581, -68.430012 46.410289, -68.427757 46.413779, -68.431597 46.417604, -68.434307 46.423456, -68.436409 46.424669, -68.43266 46.427602, -68.433626 46.429353, -68.436401 46.430802, -68.436403 46.43387, -68.434372 46.43388, -68.432852 46.435206, -68.429215 46.434977, -68.424261 46.436386, -68.420876 46.439112, -68.418571 46.439913, -68.415475 46.439644, -68.413141 46.437251, -68.405563 46.438188, -68.405896 46.441089, -68.407682 46.442938, -68.407648 46.44433, -68.411021 46.445447, -68.41661 46.448001, -68.420016 46.450099, -68.417998 46.453751, -68.419653 46.454982, -68.418462 46.457857, -68.421074 46.46076, -68.426896 46.462246, -68.42931 46.465789, -68.429178 46.46819, -68.433376 46.470209, -68.436431 46.470228, -68.461458 46.470412, -68.499488 46.47085, -68.511673 46.47075, -68.536507 46.47081, -68.539561 46.469429, -68.538022 46.465861, -68.537998 46.463739, -68.544275 46.458998, -68.543283 46.45755, -68.540632 46.456103, -68.53125 46.447983, -68.526677 46.445159, -68.522403 46.441717, -68.520476 46.437499, -68.522851 46.435482, -68.522187 46.434038, -68.523274 46.43241, -68.526812 46.431749, -68.530681 46.42999, -68.533723 46.429465, -68.533887 46.431819, -68.537789 46.431571, -68.538751 46.433293, -68.544149 46.433033, -68.54541 46.43604, -68.547497 46.436229, -68.548792 46.438914, -68.550847 46.439247, -68.551057 46.436229, -68.555425 46.433555, -68.559537 46.436496, -68.56018 46.440403, -68.561617 46.441179, -68.566609 46.440608, -68.56785 46.441347, -68.567857 46.424023, -68.572763 46.422084, -68.578084 46.420872, -68.580266 46.420826, -68.584895 46.422631, -68.589588 46.422813, -68.595174 46.421669, -68.599701 46.419404, -68.608199 46.423903, -68.613357 46.425455, -68.619968 46.425681, -68.621689 46.427097, -68.621328 46.429818, -68.619776 46.431259, -68.620176 46.434642, -68.621601 46.437704, -68.624941 46.43976, -68.625652 46.441703, -68.630941 46.443626, -68.6359 46.444634, -68.638678 46.443789, -68.645127 46.443335, -68.649028 46.444571, -68.651607 46.444434, -68.652896 46.445943, -68.656003 46.447407, -68.661691 46.44782, -68.662219 46.449375, -68.664897 46.452461, -68.667951 46.45308, -68.670453 46.451045, -68.687255 46.44636, -68.690859 46.445743, -68.694595 46.443342, -68.69691 46.441239, -68.695884 46.436919, -68.696446 46.435959, -68.70124 46.43509, -68.702595 46.433375, -68.704975 46.432506, -68.706297 46.430563, -68.710132 46.430859, -68.718362 46.428891, -68.721204 46.427633, -68.725931 46.426992, -68.726359 46.424614, -68.729466 46.424453, -68.730622 46.42347, -68.733796 46.42356, -68.735414 46.422073, -68.738752 46.421432, -68.741133 46.422711, -68.74652 46.421954, -68.754313 46.419852, -68.760657 46.421935, -68.765351 46.422394, -68.770839 46.42203, -68.773319 46.420705, -68.774676 46.417986, -68.77775 46.417186, -68.782148 46.414056, -68.782116 46.412433, -68.779339 46.411449, -68.775375 46.408431, -68.773923 46.405938, -68.771639 46.404885, -68.767302 46.405092, -68.764155 46.406857, -68.759091 46.405048, -68.75247 46.401545, -68.751047 46.399736, -68.751778 46.39669, -68.7476 46.395433))"
"23","04785","2304785","B5","G6350","S","264051658","4635905","+47.1119505","-067.9943500","N","POLYGON ((-68.161548 47.155924, -68.15958 47.152414, -68.154237 47.147576, -68.149818 47.145701, -68.149976 47.143458, -68.148862 47.142078, -68.139121 47.145191, -68.12148 47.145364, -68.118141 47.150668, -68.117751 47.152796, -68.119161 47.156043, -68.110031 47.15607, -68.109799 47.161748, -68.106813 47.166135, -68.104402 47.167941, -68.096096 47.176629, -68.09469 47.179509, -68.087517 47.179419, -68.085808 47.179991, -68.081821 47.185728, -68.075719 47.184792, -68.073103 47.182255, -68.070455 47.182278, -68.069852 47.181022, -68.066667 47.17965, -68.06026 47.178031, -68.059453 47.125439, -68.060138 47.111641, -68.078612 47.111531, -68.078784 47.089447, -68.07713 47.084842, -68.075598 47.083508, -68.073583 47.082969, -68.069869 47.084569, -68.061389 47.085546, -68.05536 47.083008, -68.053268 47.081319, -68.052063 47.077622, -68.048418 47.075836, -68.044374 47.075775, -68.038993 47.078715, -68.036343 47.081702, -68.033502 47.080794, -68.026489 47.080289, -68.025877 47.077094, -68.024413 47.075932, -68.015554 47.076904, -68.012543 47.070906, -68.011176 47.066913, -68.004466 47.064924, -68.002163 47.065017, -67.998936 47.063306, -67.994144 47.061464, -67.989361 47.06075, -67.984985 47.056439, -67.985072 47.054929, -67.977467 47.051432, -67.979696 47.047718, -67.931152 47.048369, -67.843272 47.049751, -67.790187 47.05008, -67.790328 47.067202, -67.795022 47.069587, -67.80395 47.072614, -67.811395 47.076066, -67.813905 47.078706, -67.817931 47.081834, -67.821024 47.083337, -67.826104 47.084631, -67.830718 47.084989, -67.838389 47.087704, -67.848537 47.093228, -67.858763 47.096646, -67.86833 47.100462, -67.874893 47.101103, -67.879868 47.10265, -67.882895 47.104317, -67.888142 47.109678, -67.889502 47.113785, -67.889219 47.119222, -67.890384 47.122266, -67.889918 47.124246, -67.890709 47.126395, -67.894247 47.130542, -67.899074 47.13318, -67.903513 47.136579, -67.907611 47.144001, -67.909913 47.147164, -67.912319 47.148703, -67.921524 47.15171, -67.927419 47.154955, -67.932098 47.161447, -67.935097 47.163621, -67.938822 47.170809, -67.94848 47.181607, -67.951505 47.183425, -67.950873 47.190132, -67.951986 47.194628, -67.953704 47.196862, -67.957276 47.199594, -67.973117 47.206734, -67.981615 47.208492, -67.987382 47.209241, -67.989778 47.209995, -67.998232 47.217066, -68.006861 47.227147, -68.016634 47.234916, -68.025184 47.239871, -68.033549 47.24337, -68.039103 47.246486, -68.061536 47.255985, -68.061471 47.252507, -68.055021 47.249755, -68.031265 47.235698, -68.028868 47.233384, -68.04444 47.222718, -68.048016 47.220526, -68.055096 47.213431, -68.057176 47.211745, -68.060559 47.211524, -68.06059 47.201532, -68.091079 47.201197, -68.146348 47.200799, -68.178653 47.200833, -68.179497 47.180733, -68.1769 47.178303, -68.17162 47.174955, -68.167841 47.174081, -68.163532 47.171055, -68.161221 47.168384, -68.156118 47.166034, -68.154438 47.164299, -68.157505 47.156877, -68.161548 47.155924))"
"23","04786","2304786","B5","G6350","S","182198907","2500462","+46.7949211","-068.1920506","N","POLYGON ((-68.177298 46.837038, -68.267064 46.835299, -68.30019 46.834507, -68.300175 46.816725, -68.300355 46.75906, -68.300531 46.745238, -68.243463 46.746036, -68.195379 46.747193, -68.164947 46.747654, -68.138115 46.748274, -68.124477 46.748472, -68.055301 46.749722, -68.056528 46.775677, -68.059399 46.83932, -68.177298 46.837038))"
"23","04772","2304772","B5","G6350","S","76728185","26913997","+47.2300836","-068.3114491","N","POLYGON ((-68.302907 47.288761, -68.302402 47.28178, -68.325332 47.28189, -68.340933 47.275666, -68.346265 47.273199, -68.350933 47.277936, -68.36678 47.270903, -68.366014 47.268584, -68.386041 47.259908, -68.376212 47.249842, -68.373973 47.247945, -68.384156 47.248409, -68.405528 47.248437, -68.406296 47.2367, -68.408622 47.230005, -68.408126 47.227538, -68.409971 47.217754, -68.409356 47.217537, -68.419985 47.202206, -68.416963 47.199518, -68.375686 47.199816, -68.365522 47.200166, -68.361101 47.200045, -68.336924 47.200442, -68.320904 47.200904, -68.309703 47.201014, -68.276259 47.201037, -68.249732 47.200862, -68.247266 47.197416, -68.232136 47.19244, -68.230924 47.189046, -68.230863 47.186893, -68.232878 47.184008, -68.239412 47.178891, -68.243926 47.17771, -68.249706 47.175631, -68.255184 47.174393, -68.256278 47.173624, -68.261841 47.17493, -68.267274 47.171138, -68.268698 47.167036, -68.264416 47.165825, -68.260598 47.166786, -68.260089 47.168616, -68.256139 47.167633, -68.250252 47.167839, -68.246197 47.166447, -68.243583 47.166814, -68.237084 47.168828, -68.232962 47.169287, -68.226999 47.173357, -68.221674 47.179141, -68.217886 47.180445, -68.213461 47.180378, -68.206053 47.178665, -68.193314 47.17645, -68.188722 47.175216, -68.187046 47.173982, -68.181785 47.172108, -68.177462 47.169731, -68.17287 47.168176, -68.167341 47.165387, -68.166337 47.163833, -68.16684 47.160656, -68.165367 47.158507, -68.161548 47.155924, -68.157505 47.156877, -68.154438 47.164299, -68.156118 47.166034, -68.161221 47.168384, -68.163532 47.171055, -68.167841 47.174081, -68.17162 47.174955, -68.1769 47.178303, -68.179497 47.180733, -68.186025 47.182524, -68.19184 47.186329, -68.193747 47.186492, -68.198229 47.185492, -68.199796 47.187966, -68.19912 47.189773, -68.19401 47.191772, -68.195176 47.193788, -68.200429 47.193314, -68.205487 47.192241, -68.207569 47.198755, -68.211023 47.200445, -68.216024 47.200978, -68.219548 47.203017, -68.223999 47.207785, -68.224997 47.209664, -68.230113 47.214643, -68.233455 47.216006, -68.240231 47.215781, -68.24556 47.218584, -68.249693 47.219987, -68.253837 47.218845, -68.25545 47.220251, -68.256185 47.222599, -68.259723 47.22942, -68.258164 47.233522, -68.260244 47.239659, -68.262527 47.241406, -68.262078 47.244526, -68.263658 47.247132, -68.264944 47.251378, -68.268824 47.251898, -68.269314 47.254443, -68.27068 47.255572, -68.275531 47.256512, -68.277945 47.258345, -68.279851 47.261295, -68.28025 47.263241, -68.28222 47.265521, -68.285663 47.267572, -68.287861 47.270865, -68.290048 47.27235, -68.29007 47.274084, -68.29029 47.288922, -68.302907 47.288761))"
"23","04741","2304741","B5","G6350","S","8658260","0","+47.4537120","-069.2229208","N","POLYGON ((-69.236811 47.447902, -69.24976 47.435285, -69.240656 47.43709, -69.193007 47.449948, -69.161977 47.43741, -69.153014 47.438418, -69.152608 47.44212, -69.150721 47.443079, -69.147622 47.44189, -69.145667 47.443398, -69.144689 47.445409, -69.142402 47.445944, -69.145575 47.448482, -69.151366 47.448987, -69.152986 47.450236, -69.157555 47.451354, -69.158239 47.449135, -69.160922 47.447512, -69.164744 47.448631, -69.163261 47.450289, -69.167565 47.452042, -69.169274 47.453304, -69.172681 47.453528, -69.172886 47.45566, -69.175291 47.455414, -69.176045 47.456771, -69.188384 47.455042, -69.190509 47.453545, -69.192939 47.455345, -69.195822 47.455488, -69.200517 47.453933, -69.202414 47.452197, -69.205237 47.45194, -69.206142 47.454085, -69.210308 47.455283, -69.212995 47.455449, -69.214297 47.456517, -69.217877 47.456614, -69.224496 47.459854, -69.236811 47.447902))"
