STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10,WKT
"24","21529","2421529","B5","G6350","S","9382408","85941","+39.7039417","-078.7671714","N","POLYGON ((-78.742523 39.722988, -78.789527 39.722919, -78.779572 39.719233, -78.783389 39.714725, -78.777468 39.714178, -78.780875 39.70508, -78.780541 39.702316, -78.786472 39.695592, -78.780358 39.691585, -78.77911 39.683742, -78.784004 39.678092, -78.777099 39.678005, -78.769882 39.68518, -78.766799 39.690208, -78.760116 39.698272, -78.749633 39.715026, -78.742523 39.722988))"
"24","21144","2421144","B5","G6350","S","41454184","0","+39.1209124","-076.6772681","N","POLYGON ((-76.668656 39.155209, -76.677288 39.153494, -76.684355 39.15376, -76.687603 39.148774, -76.697371 39.147475, -76.697492 39.137784, -76.700856 39.139919, -76.706667 39.140828, -76.711389 39.139306, -76.710357 39.135609, -76.714664 39.135395, -76.72836 39.142244, -76.734109 39.137379, -76.735393 39.133047, -76.738286 39.130495, -76.732631 39.128632, -76.716202 39.121048, -76.715003 39.114206, -76.707605 39.109854, -76.703433 39.109734, -76.699419 39.107567, -76.697937 39.112308, -76.692286 39.110982, -76.694092 39.100608, -76.688898 39.095733, -76.683267 39.083687, -76.677759 39.080523, -76.67203 39.07974, -76.66677 39.08353, -76.662451 39.082906, -76.661362 39.086292, -76.655394 39.085058, -76.653752 39.09023, -76.643205 39.089683, -76.63817 39.091137, -76.636201 39.096134, -76.63851 39.100413, -76.639528 39.106191, -76.64179 39.10768, -76.644733 39.122039, -76.641075 39.127824, -76.645371 39.129226, -76.655814 39.135396, -76.653559 39.139531, -76.647305 39.143563, -76.644793 39.143779, -76.645867 39.155783, -76.645429 39.159035, -76.652948 39.157211, -76.65613 39.157651, -76.668656 39.155209))"
"24","21108","2421108","B5","G6350","S","33861012","186378","+39.0912665","-076.6210983","N","POLYGON ((-76.641075 39.127824, -76.644733 39.122039, -76.64179 39.10768, -76.639528 39.106191, -76.63851 39.100413, -76.636201 39.096134, -76.63817 39.091137, -76.643205 39.089683, -76.653752 39.09023, -76.655394 39.085058, -76.647423 39.077273, -76.643133 39.076278, -76.64692 39.071974, -76.650462 39.077128, -76.659185 39.074075, -76.643882 39.064862, -76.651827 39.059816, -76.657018 39.055318, -76.662098 39.049158, -76.651196 39.047158, -76.648815 39.040774, -76.640344 39.040054, -76.633583 39.045593, -76.628716 39.051229, -76.624233 39.053987, -76.621251 39.058717, -76.616252 39.061422, -76.610116 39.070772, -76.609885 39.073952, -76.604879 39.07727, -76.610122 39.080161, -76.615446 39.086821, -76.615927 39.090083, -76.611378 39.090493, -76.605198 39.093202, -76.605097 39.099217, -76.601385 39.103098, -76.597636 39.100688, -76.597336 39.09699, -76.593278 39.095003, -76.586903 39.094179, -76.573016 39.094962, -76.569398 39.097565, -76.576759 39.108675, -76.581455 39.113404, -76.583103 39.117383, -76.589751 39.121552, -76.594837 39.121291, -76.606653 39.124829, -76.61382 39.124162, -76.623801 39.127372, -76.630225 39.124383, -76.634862 39.117953, -76.641075 39.127824))"
"24","21060","2421060","B5","G6350","S","32403463","2722648","+39.1697908","-076.5808725","N","POLYGON ((-76.599854 39.137565, -76.595816 39.135696, -76.579227 39.133307, -76.577497 39.136701, -76.578302 39.140158, -76.575814 39.141764, -76.569752 39.139988, -76.56385 39.144398, -76.558352 39.14381, -76.555491 39.145803, -76.549989 39.146932, -76.546992 39.150217, -76.541666 39.150901, -76.532053 39.155917, -76.526449 39.16141, -76.537935 39.163348, -76.550615 39.163925, -76.552549 39.160369, -76.558327 39.160479, -76.561432 39.165449, -76.545085 39.169733, -76.554841 39.171147, -76.55045 39.179226, -76.554565 39.18166, -76.551928 39.186101, -76.557885 39.185808, -76.565997 39.177517, -76.571558 39.180022, -76.569998 39.18272, -76.576024 39.184252, -76.576588 39.186909, -76.573487 39.193509, -76.577134 39.200773, -76.582259 39.200542, -76.586755 39.207348, -76.591176 39.206319, -76.604899 39.206981, -76.614258 39.206355, -76.61309 39.193698, -76.603166 39.193923, -76.605004 39.182373, -76.613221 39.182203, -76.621598 39.167814, -76.621934 39.162643, -76.611634 39.150501, -76.599854 39.137565))"
"24","21120","2421120","B5","G6350","S","109677132","3354891","+39.6462041","-076.6748540","N","POLYGON ((-76.659326 39.614671, -76.656694 39.619556, -76.658064 39.623058, -76.651325 39.624756, -76.646113 39.63304, -76.642366 39.631291, -76.635417 39.638095, -76.635409 39.64284, -76.633323 39.647047, -76.63004 39.647729, -76.630525 39.652713, -76.621076 39.664229, -76.624791 39.668703, -76.624191 39.670703, -76.628425 39.679116, -76.626087 39.67922, -76.612915 39.685822, -76.609134 39.688958, -76.617338 39.694009, -76.612561 39.695943, -76.58849 39.701703, -76.587284 39.70581, -76.583335 39.707373, -76.57989 39.710963, -76.577412 39.709028, -76.576925 39.703632, -76.57248 39.700441, -76.56848 39.699306, -76.569475 39.721197, -76.583876 39.721302, -76.595462 39.720449, -76.601427 39.721299, -76.654765 39.721105, -76.653572 39.719227, -76.645128 39.707698, -76.651461 39.711062, -76.650708 39.709861, -76.658148 39.70448, -76.656939 39.701974, -76.668805 39.699729, -76.677307 39.701166, -76.677537 39.698696, -76.667334 39.693255, -76.668049 39.688646, -76.671074 39.68583, -76.665852 39.684027, -76.667116 39.676652, -76.675069 39.673368, -76.677767 39.668726, -76.691207 39.657082, -76.698534 39.656934, -76.704304 39.657881, -76.714536 39.655959, -76.719076 39.649478, -76.725595 39.650503, -76.729695 39.647803, -76.732495 39.652903, -76.737493 39.654822, -76.742228 39.654543, -76.747267 39.655972, -76.751572 39.659731, -76.753641 39.656821, -76.752692 39.650343, -76.755118 39.647926, -76.739479 39.642069, -76.733926 39.635107, -76.73508 39.630758, -76.739197 39.63133, -76.747749 39.630607, -76.756343 39.634863, -76.765237 39.63386, -76.765253 39.638947, -76.774098 39.638883, -76.772672 39.634636, -76.777629 39.631992, -76.772655 39.627198, -76.773234 39.624878, -76.780348 39.62125, -76.780499 39.616863, -76.776332 39.617017, -76.754833 39.606211, -76.747027 39.608389, -76.745366 39.613255, -76.738885 39.617219, -76.746855 39.592876, -76.751 39.588733, -76.747549 39.583233, -76.737793 39.589708, -76.729297 39.581113, -76.723215 39.578682, -76.717544 39.583115, -76.713383 39.578762, -76.708127 39.578353, -76.704186 39.575506, -76.697789 39.576652, -76.6932 39.575685, -76.685953 39.572304, -76.682227 39.571915, -76.68051 39.568963, -76.668445 39.566841, -76.677515 39.57734, -76.677562 39.583507, -76.673464 39.591975, -76.663259 39.590481, -76.66338 39.592753, -76.658636 39.605398, -76.6584 39.609819, -76.661428 39.613208, -76.659326 39.614671))"
"24","21236","2421236","B5","G6350","S","22187907","27168","+39.3884212","-076.4835503","N","POLYGON ((-76.537564 39.364472, -76.535596 39.365449, -76.528179 39.363147, -76.524433 39.360804, -76.518007 39.359054, -76.515585 39.355729, -76.511369 39.354919, -76.505477 39.361209, -76.500838 39.362754, -76.48552 39.361458, -76.483059 39.364667, -76.48663 39.370565, -76.492255 39.369009, -76.501093 39.375145, -76.500207 39.380902, -76.495788 39.379623, -76.490217 39.381975, -76.482619 39.38051, -76.471933 39.379672, -76.47335 39.373307, -76.468072 39.371921, -76.46523 39.369721, -76.457483 39.372703, -76.449297 39.366753, -76.446048 39.370734, -76.454194 39.374502, -76.448982 39.379358, -76.460098 39.379555, -76.459964 39.385468, -76.467022 39.386998, -76.468551 39.389453, -76.46663 39.39472, -76.463947 39.393194, -76.462383 39.386854, -76.459534 39.38615, -76.455598 39.388408, -76.453502 39.392219, -76.4531 39.400247, -76.464251 39.399958, -76.463711 39.404208, -76.460069 39.407987, -76.46381 39.412782, -76.45879 39.417102, -76.463253 39.420477, -76.47533 39.422687, -76.478443 39.41994, -76.487133 39.420294, -76.49309 39.424004, -76.497315 39.420622, -76.49949 39.42134, -76.498874 39.415401, -76.496186 39.411006, -76.487685 39.407706, -76.477706 39.406184, -76.482885 39.398361, -76.49434 39.394491, -76.499924 39.395614, -76.500284 39.387849, -76.505994 39.391197, -76.510557 39.385802, -76.512499 39.38105, -76.521098 39.382661, -76.517229 39.373095, -76.513761 39.369866, -76.52205 39.367454, -76.526546 39.370521, -76.54057 39.365593, -76.537564 39.364472))"
"24","21252","2421252","B5","G6350","S","372524","0","+39.3937857","-076.6078025","N","POLYGON ((-76.603864 39.395267, -76.606928 39.397164, -76.610894 39.395473, -76.611744 39.392473, -76.605431 39.389942, -76.604494 39.392945, -76.603864 39.395267))"
"24","21228","2421228","B5","G6350","S","40143654","107562","+39.2728572","-076.7477406","N","POLYGON ((-76.743168 39.298946, -76.753581 39.307499, -76.759075 39.308068, -76.769647 39.307071, -76.788116 39.307209, -76.796511 39.305045, -76.789022 39.302609, -76.787532 39.300207, -76.778916 39.297051, -76.785398 39.291087, -76.785166 39.282855, -76.787618 39.278365, -76.779444 39.2757, -76.77799 39.27362, -76.783354 39.267847, -76.788418 39.269166, -76.790618 39.266152, -76.779669 39.257516, -76.774155 39.256933, -76.768238 39.252973, -76.765013 39.252464, -76.764575 39.249078, -76.764734 39.247598, -76.763986 39.246598, -76.763246 39.246342, -76.761101 39.247164, -76.756607 39.247456, -76.751811 39.244485, -76.749896 39.241571, -76.743197 39.236389, -76.739528 39.232163, -76.722851 39.227187, -76.723393 39.22927, -76.728616 39.230755, -76.725901 39.235508, -76.728723 39.245225, -76.723371 39.249778, -76.717306 39.242724, -76.714158 39.252063, -76.716665 39.255944, -76.711168 39.25985, -76.706117 39.256839, -76.706046 39.254628, -76.702345 39.252541, -76.700075 39.254731, -76.707163 39.26023, -76.699902 39.264513, -76.702527 39.26645, -76.695676 39.271222, -76.707714 39.276438, -76.712385 39.284053, -76.722046 39.28892, -76.720657 39.290745, -76.726431 39.289801, -76.731178 39.291717, -76.735524 39.297334, -76.738955 39.299692, -76.743168 39.298946))"
"24","20678","2420678","B5","G6350","S","110719859","21008404","+38.5228202","-076.6013500","N","POLYGON ((-76.516375 38.590967, -76.517102 38.571986, -76.525768 38.573871, -76.534896 38.566093, -76.537311 38.566305, -76.54028 38.56226, -76.546294 38.562749, -76.556987 38.571664, -76.55908 38.57442, -76.564801 38.58764, -76.569676 38.590117, -76.574896 38.588684, -76.58276 38.590164, -76.588564 38.584839, -76.601021 38.583676, -76.601631 38.580871, -76.596406 38.578642, -76.59108 38.570843, -76.591581 38.563331, -76.596181 38.564488, -76.60393 38.562175, -76.611019 38.563603, -76.618957 38.566459, -76.626162 38.573423, -76.631979 38.572046, -76.635937 38.569228, -76.63233 38.567567, -76.634586 38.564889, -76.639972 38.56349, -76.642985 38.56504, -76.646416 38.560089, -76.649155 38.562548, -76.65449 38.562796, -76.655228 38.559632, -76.660649 38.560295, -76.664479 38.556846, -76.672276 38.552781, -76.672642 38.546818, -76.675457 38.535876, -76.669884 38.532705, -76.662995 38.526616, -76.662551 38.524248, -76.666568 38.518533, -76.66868 38.512499, -76.673319 38.503321, -76.674118 38.499622, -76.665949 38.494389, -76.660341 38.487368, -76.652142 38.473753, -76.652095 38.469519, -76.654345 38.465174, -76.652588 38.462422, -76.64648 38.459593, -76.634487 38.451457, -76.628951 38.446264, -76.624192 38.443498, -76.621546 38.438921, -76.616427 38.434612, -76.613984 38.429863, -76.610799 38.427239, -76.605461 38.443627, -76.600612 38.452215, -76.594693 38.460913, -76.597039 38.472178, -76.596519 38.479838, -76.592452 38.483188, -76.595165 38.485054, -76.592609 38.491095, -76.589913 38.489433, -76.58322 38.489787, -76.573548 38.495277, -76.565859 38.497551, -76.563271 38.495146, -76.556749 38.494473, -76.554611 38.492938, -76.547703 38.492606, -76.536693 38.500379, -76.52964 38.500717, -76.529929 38.504933, -76.538351 38.510164, -76.543315 38.5088, -76.548922 38.513099, -76.557143 38.51664, -76.564907 38.52384, -76.564509 38.525686, -76.546982 38.532035, -76.535269 38.53402, -76.520601 38.537193, -76.513677 38.536682, -76.509948 38.557139, -76.511325 38.569862, -76.510997 38.590878, -76.516375 38.590967))"
"24","20732","2420732","B5","G6350","S","26384774","6619580","+38.6551422","-076.5425676","N","POLYGON ((-76.547391 38.707294, -76.549737 38.708796, -76.558401 38.705682, -76.555936 38.700642, -76.562514 38.697377, -76.564061 38.69339, -76.564907 38.690271, -76.555097 38.683362, -76.558676 38.676255, -76.558683 38.669539, -76.56116 38.667224, -76.569177 38.664853, -76.566908 38.650268, -76.562222 38.647222, -76.556633 38.647817, -76.549708 38.6501, -76.555114 38.636727, -76.543416 38.626684, -76.544633 38.624449, -76.540715 38.620655, -76.530439 38.616341, -76.526698 38.608212, -76.523032 38.607038, -76.522339 38.612065, -76.516236 38.616042, -76.511604 38.61543, -76.516375 38.590967, -76.510997 38.590878, -76.507456 38.607898, -76.507062 38.615112, -76.511522 38.625671, -76.511915 38.631442, -76.517357 38.641649, -76.520636 38.65457, -76.523435 38.679987, -76.523829 38.691346, -76.5327 38.69143, -76.532398 38.702548, -76.545728 38.702898, -76.547391 38.707294))"
