STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10,WKT
"29","63559","2963559","B5","G6350","S","286164337","270138","+40.2198229","-092.7516868","N","POLYGON ((-92.76703 40.372622, -92.766931 40.356156, -92.76975 40.350051, -92.775057 40.348356, -92.781237 40.350222, -92.781423 40.339661, -92.78654 40.33564, -92.78626 40.330017, -92.780594 40.32796, -92.779254 40.323991, -92.772738 40.320583, -92.768826 40.320419, -92.767647 40.316911, -92.770966 40.308032, -92.769574 40.301658, -92.773325 40.299598, -92.775159 40.296401, -92.779611 40.295477, -92.780795 40.298481, -92.786763 40.300675, -92.796212 40.313115, -92.797818 40.317825, -92.802016 40.317613, -92.808612 40.322247, -92.816633 40.320271, -92.821087 40.323256, -92.824258 40.323562, -92.825126 40.319668, -92.822288 40.316953, -92.821645 40.310515, -92.811261 40.30568, -92.807707 40.30524, -92.802617 40.301905, -92.79977 40.291655, -92.795717 40.292324, -92.794402 40.285858, -92.786184 40.278325, -92.775941 40.274417, -92.772293 40.271456, -92.772737 40.267959, -92.770047 40.263574, -92.765706 40.261521, -92.763712 40.256889, -92.758557 40.251971, -92.769195 40.251967, -92.769542 40.255278, -92.772336 40.25857, -92.777771 40.260621, -92.784989 40.257066, -92.78665 40.252105, -92.789661 40.248452, -92.783605 40.241472, -92.7773 40.237905, -92.780987 40.23364, -92.785546 40.233301, -92.784425 40.228175, -92.776865 40.225968, -92.775192 40.221839, -92.76925 40.22144, -92.758129 40.214901, -92.754758 40.211561, -92.781569 40.211633, -92.78584 40.213574, -92.787964 40.218631, -92.790912 40.219036, -92.795176 40.215675, -92.802117 40.216252, -92.805757 40.207665, -92.80552 40.205546, -92.800978 40.203805, -92.798663 40.200934, -92.789074 40.200923, -92.785687 40.202243, -92.782251 40.199814, -92.78412 40.197526, -92.781325 40.193375, -92.78312 40.18535, -92.78301 40.179859, -92.788165 40.175203, -92.786289 40.169419, -92.800489 40.169068, -92.800586 40.171916, -92.806251 40.175307, -92.802767 40.180216, -92.799986 40.180588, -92.801071 40.186072, -92.800249 40.190576, -92.812284 40.192102, -92.816829 40.187508, -92.820256 40.18189, -92.831039 40.183096, -92.831201 40.177867, -92.833472 40.172854, -92.832458 40.167668, -92.821785 40.159524, -92.821771 40.152785, -92.816171 40.151963, -92.81419 40.153976, -92.792988 40.154084, -92.790305 40.151827, -92.789058 40.147699, -92.785025 40.147227, -92.78558 40.141939, -92.788158 40.140805, -92.791081 40.135798, -92.781983 40.133262, -92.779656 40.130749, -92.781853 40.12503, -92.825905 40.12504, -92.826503 40.119598, -92.828882 40.111722, -92.833609 40.107841, -92.833308 40.102965, -92.827369 40.102639, -92.819332 40.100251, -92.819854 40.094504, -92.815851 40.089692, -92.818201 40.085639, -92.825009 40.086501, -92.828371 40.082911, -92.828432 40.079053, -92.82492 40.075037, -92.818371 40.074131, -92.816078 40.069109, -92.803297 40.065431, -92.798794 40.067639, -92.79198 40.066839, -92.787754 40.064771, -92.777681 40.063567, -92.772407 40.070142, -92.763926 40.07043, -92.75912 40.073915, -92.753766 40.073841, -92.747362 40.075362, -92.73982 40.081136, -92.741274 40.087316, -92.740649 40.092896, -92.747159 40.103806, -92.748699 40.105283, -92.756338 40.106563, -92.735862 40.1183, -92.728311 40.123772, -92.725087 40.124885, -92.709429 40.124866, -92.699443 40.122691, -92.694169 40.124907, -92.695199 40.12829, -92.688061 40.134245, -92.684992 40.139133, -92.684771 40.142417, -92.688421 40.15224, -92.688144 40.154036, -92.682457 40.159306, -92.680296 40.163244, -92.684744 40.163793, -92.683377 40.167575, -92.678151 40.170357, -92.680587 40.175032, -92.688663 40.179592, -92.690993 40.192193, -92.697389 40.19633, -92.698859 40.202583, -92.694119 40.205445, -92.696396 40.208073, -92.693538 40.215603, -92.700496 40.217313, -92.710186 40.224054, -92.708783 40.226772, -92.692719 40.233779, -92.681899 40.234408, -92.681879 40.237947, -92.676355 40.240433, -92.668033 40.241682, -92.662725 40.241109, -92.652302 40.23667, -92.640636 40.228995, -92.63433 40.227669, -92.630238 40.228648, -92.630128 40.231459, -92.638634 40.231362, -92.63869 40.242121, -92.649137 40.241966, -92.649409 40.247023, -92.653818 40.24965, -92.662861 40.24966, -92.662922 40.252817, -92.658282 40.252811, -92.660339 40.258715, -92.666781 40.261709, -92.667655 40.267283, -92.667575 40.277981, -92.685235 40.277942, -92.686607 40.281798, -92.686151 40.297051, -92.686283 40.314226, -92.686852 40.343427, -92.684933 40.343461, -92.686951 40.346003, -92.687187 40.352042, -92.69622 40.353944, -92.69625 40.356988, -92.701816 40.360009, -92.705407 40.365069, -92.712795 40.363876, -92.723237 40.366981, -92.723178 40.370092, -92.727919 40.379549, -92.733675 40.385772, -92.740368 40.386424, -92.745582 40.383392, -92.749255 40.386002, -92.753229 40.385278, -92.754053 40.38111, -92.759025 40.37934, -92.766482 40.379367, -92.76703 40.372622))"
"29","64463","2964463","B5","G6350","S","357134212","2272253","+40.0625984","-094.4825854","N","POLYGON ((-94.350336 40.095684, -94.35142 40.093234, -94.357782 40.089305, -94.36275 40.082597, -94.36555 40.08259, -94.36989 40.090939, -94.369918 40.104007, -94.371548 40.105499, -94.371541 40.111733, -94.40566 40.111603, -94.407639 40.113508, -94.407643 40.12152, -94.410888 40.12145, -94.410945 40.125726, -94.431132 40.125727, -94.431206 40.120514, -94.434908 40.120522, -94.435079 40.125683, -94.483233 40.125684, -94.483003 40.140189, -94.501727 40.140391, -94.501756 40.143802, -94.507093 40.143185, -94.520478 40.144004, -94.539372 40.144165, -94.539393 40.140508, -94.560636 40.140742, -94.561591 40.142526, -94.567678 40.145572, -94.577019 40.144973, -94.577173 40.141052, -94.581848 40.139962, -94.582405 40.126294, -94.624407 40.126303, -94.638481 40.126321, -94.638829 40.111752, -94.65767 40.111854, -94.65773 40.100954, -94.638902 40.100927, -94.639115 40.082774, -94.644909 40.082749, -94.648027 40.07909, -94.654451 40.074665, -94.655384 40.066201, -94.657056 40.061035, -94.639304 40.060957, -94.639268 40.068223, -94.615841 40.068278, -94.616008 40.05373, -94.606486 40.053744, -94.606596 40.039203, -94.559606 40.039208, -94.555911 40.038825, -94.556061 40.009813, -94.546369 40.009872, -94.546413 39.989785, -94.533244 39.989841, -94.533369 39.987869, -94.538508 39.980747, -94.529033 39.980743, -94.529154 39.966203, -94.510251 39.966255, -94.510307 39.958796, -94.472312 39.959173, -94.472126 39.967375, -94.474727 39.977361, -94.479311 39.981017, -94.432763 39.981476, -94.414783 39.981171, -94.412855 39.982816, -94.412855 40.006726, -94.403298 40.006635, -94.403336 39.988419, -94.393792 39.988337, -94.393735 40.010192, -94.378452 40.010075, -94.378646 40.013555, -94.37464 40.014271, -94.374401 40.039178, -94.329967 40.039255, -94.294173 40.037938, -94.293717 40.066957, -94.317519 40.06811, -94.317406 40.081381, -94.318315 40.082279, -94.331834 40.082315, -94.33187 40.096912, -94.321959 40.096863, -94.322026 40.109787, -94.324873 40.107049, -94.331756 40.108379, -94.330388 40.102521, -94.344095 40.100305, -94.345467 40.097583, -94.350336 40.095684))"
"29","64496","2964496","B5","G6350","S","86987383","2475005","+40.4811586","-095.6459335","N","POLYGON ((-95.6591 40.51999, -95.661681 40.517312, -95.667982 40.51496, -95.691933 40.508173, -95.699969 40.505275, -95.695401 40.497605, -95.694707 40.489461, -95.696756 40.478849, -95.693133 40.469396, -95.684363 40.463366, -95.67214 40.457077, -95.666389 40.452238, -95.659734 40.444484, -95.655658 40.435727, -95.655964 40.429873, -95.66144 40.415917, -95.659081 40.40862, -95.651719 40.399171, -95.643194 40.403324, -95.635125 40.404327, -95.639254 40.408232, -95.638596 40.411696, -95.614993 40.411342, -95.614702 40.46233, -95.59549 40.462043, -95.590878 40.450339, -95.591025 40.440368, -95.576917 40.440033, -95.57688 40.445892, -95.585288 40.457063, -95.595785 40.485423, -95.603274 40.516435, -95.604201 40.518316, -95.635468 40.559942, -95.642028 40.569738, -95.644164 40.566936, -95.651831 40.56331, -95.652474 40.556439, -95.655241 40.547757, -95.646973 40.535806, -95.649294 40.527216, -95.652127 40.523031, -95.656331 40.513356, -95.659266 40.512734, -95.6591 40.51999))"
"29","64723","2964723","B5","G6350","S","116917298","974182","+38.3616391","-094.5595919","N","POLYGON ((-94.612724 38.31721, -94.60887 38.319493, -94.599714 38.315564, -94.58629 38.312844, -94.582887 38.311156, -94.577001 38.30509, -94.576777 38.301838, -94.571416 38.295198, -94.572509 38.292281, -94.569786 38.290646, -94.550565 38.290206, -94.549839 38.297446, -94.531519 38.296971, -94.531051 38.311559, -94.512699 38.311113, -94.511803 38.336891, -94.510955 38.340004, -94.498777 38.339709, -94.498449 38.354198, -94.509849 38.354481, -94.511278 38.355448, -94.509348 38.421694, -94.50932 38.426666, -94.547139 38.427616, -94.582544 38.42817, -94.582928 38.418349, -94.587464 38.416504, -94.587835 38.406713, -94.612812 38.40725, -94.61334 38.406892, -94.613235 38.359711, -94.612724 38.31721))"
"29","64776","2964776","B5","G6350","S","621438621","45570728","+38.0483854","-093.6634700","N","MULTIPOLYGON (((-93.687482 38.121577, -93.685651 38.128586, -93.686262 38.136042, -93.705162 38.136535, -93.705619 38.12198, -93.687482 38.121577)), ((-93.687482 38.121577, -93.68837 38.107008, -93.706761 38.107521, -93.705924 38.121996, -93.712024 38.122235, -93.71454 38.118922, -93.725064 38.110622, -93.726005 38.093426, -93.744752 38.093905, -93.748922 38.096279, -93.752768 38.101905, -93.75962 38.102579, -93.762287 38.104472, -93.761649 38.116386, -93.780016 38.116616, -93.781133 38.087861, -93.797824 38.088237, -93.79928 38.089676, -93.799521 38.095875, -93.822254 38.096733, -93.82213 38.099434, -93.835604 38.100693, -93.839228 38.101825, -93.846553 38.107484, -93.849554 38.111376, -93.853933 38.112024, -93.868816 38.112517, -93.865925 38.101919, -93.867743 38.094555, -93.865801 38.085509, -93.867269 38.081434, -93.864061 38.073401, -93.864954 38.054289, -93.875279 38.054359, -93.881983 38.055333, -93.888431 38.054767, -93.888197 38.058665, -93.89242 38.058856, -93.892536 38.056697, -93.9029 38.056949, -93.902982 38.050813, -93.894878 38.045805, -93.891841 38.042704, -93.887485 38.034975, -93.880675 38.034714, -93.880844 38.026634, -93.870957 38.025407, -93.870946 38.023141, -93.854144 38.022666, -93.849102 38.025849, -93.835428 38.023056, -93.832185 38.017265, -93.834644 38.013282, -93.834873 38.006095, -93.831082 37.998781, -93.822142 37.994301, -93.815042 37.988734, -93.80739 37.985659, -93.801482 37.987158, -93.804173 37.979565, -93.804443 37.972485, -93.812252 37.97271, -93.816731 37.970201, -93.818714 37.972491, -93.826266 37.975982, -93.830502 37.975242, -93.82789 37.967617, -93.830075 37.963002, -93.832628 37.961128, -93.843245 37.959944, -93.843493 37.956895, -93.848342 37.95507, -93.849437 37.951432, -93.852537 37.9498, -93.850884 37.941332, -93.861413 37.941662, -93.862357 37.923944, -93.861578 37.923147, -93.862296 37.908775, -93.855046 37.908619, -93.854424 37.912517, -93.849995 37.917128, -93.847131 37.918228, -93.837794 37.912418, -93.831676 37.904354, -93.832181 37.902486, -93.821918 37.893455, -93.819522 37.892804, -93.808648 37.892775, -93.808664 37.887961, -93.796548 37.890099, -93.792791 37.886709, -93.783452 37.887631, -93.783732 37.884445, -93.777391 37.883873, -93.77427 37.885241, -93.769918 37.890102, -93.767262 37.890753, -93.760301 37.887751, -93.754888 37.880879, -93.75157 37.879949, -93.744633 37.885174, -93.741884 37.890639, -93.744152 37.8943, -93.749851 37.894185, -93.75459 37.902149, -93.759417 37.903826, -93.774136 37.904281, -93.77502 37.91024, -93.768609 37.914025, -93.758357 37.913126, -93.753406 37.91722, -93.75401 37.927131, -93.75922 37.931238, -93.769352 37.933687, -93.787894 37.935007, -93.791785 37.939095, -93.784836 37.939734, -93.778066 37.944033, -93.775789 37.947605, -93.770553 37.949474, -93.766321 37.94631, -93.75936 37.948015, -93.754642 37.951024, -93.75347 37.95357, -93.755154 37.957593, -93.750057 37.958969, -93.750075 37.955245, -93.743005 37.954952, -93.735454 37.955773, -93.728585 37.955355, -93.728804 37.951675, -93.715443 37.951391, -93.714927 37.94787, -93.701407 37.947486, -93.698248 37.952443, -93.693453 37.947697, -93.691684 37.942982, -93.687361 37.942185, -93.687361 37.939763, -93.680973 37.939422, -93.681048 37.935918, -93.674537 37.934219, -93.674542 37.932385, -93.665795 37.932229, -93.665284 37.935645, -93.660607 37.935588, -93.660017 37.946449, -93.65544 37.946445, -93.654683 37.960915, -93.643383 37.960592, -93.649741 37.982597, -93.644137 37.98243, -93.639599 37.980567, -93.63987 37.976013, -93.630946 37.974809, -93.623709 37.968295, -93.620144 37.971621, -93.619287 37.975253, -93.615776 37.977458, -93.614037 37.980925, -93.606495 37.974813, -93.607436 37.971099, -93.606508 37.962941, -93.613708 37.960411, -93.613551 37.951165, -93.607625 37.95257, -93.601282 37.952492, -93.601282 37.954712, -93.583142 37.954731, -93.580543 37.951722, -93.574203 37.952878, -93.557015 37.948651, -93.557041 37.957857, -93.542162 37.957972, -93.54179 37.964942, -93.537498 37.964587, -93.532541 37.966356, -93.532349 37.969753, -93.52951 37.970415, -93.526205 37.968225, -93.520371 37.968047, -93.517103 37.964836, -93.514262 37.964441, -93.514518 37.960636, -93.509955 37.96048, -93.508355 37.993242, -93.506992 38.014274, -93.504025 38.071757, -93.497132 38.072573, -93.489332 38.072275, -93.486988 38.075811, -93.486451 38.082478, -93.479435 38.086859, -93.480736 38.093143, -93.476798 38.093052, -93.476374 38.097417, -93.471785 38.098366, -93.471601 38.10123, -93.471194 38.110828, -93.475674 38.114041, -93.474612 38.134082, -93.470588 38.134038, -93.469947 38.137612, -93.465092 38.138466, -93.464432 38.148728, -93.4668 38.154305, -93.46936 38.155457, -93.477358 38.163466, -93.484121 38.163626, -93.485704 38.16654, -93.479034 38.168352, -93.481208 38.172245, -93.475917 38.175276, -93.466572 38.169671, -93.460113 38.169188, -93.451708 38.16728, -93.449353 38.170115, -93.448572 38.17591, -93.452947 38.1807, -93.44991 38.192738, -93.447117 38.194311, -93.437909 38.19212, -93.42988 38.197145, -93.418501 38.196779, -93.426163 38.203991, -93.429405 38.20516, -93.436731 38.203556, -93.458238 38.202855, -93.468122 38.203825, -93.479182 38.210051, -93.485915 38.217556, -93.492445 38.219083, -93.495848 38.217565, -93.498083 38.207847, -93.499332 38.19914, -93.513309 38.199524, -93.51173 38.20648, -93.514061 38.207634, -93.523484 38.207216, -93.539553 38.206857, -93.545612 38.210834, -93.557027 38.219673, -93.562958 38.220825, -93.569525 38.218944, -93.570781 38.215409, -93.563432 38.206005, -93.559809 38.204238, -93.555036 38.198464, -93.544062 38.188635, -93.543136 38.184867, -93.549686 38.172627, -93.556088 38.16602, -93.550224 38.15831, -93.549321 38.154002, -93.551122 38.147319, -93.5549 38.146705, -93.555894 38.132302, -93.574301 38.132695, -93.57499 38.118387, -93.56227 38.11787, -93.56062 38.11363, -93.554764 38.110627, -93.548369 38.110309, -93.543697 38.108048, -93.544243 38.10311, -93.552023 38.097421, -93.551685 38.094145, -93.557677 38.092939, -93.562376 38.089147, -93.582282 38.089565, -93.584579 38.097746, -93.589114 38.100252, -93.599004 38.099963, -93.608062 38.098054, -93.621613 38.111515, -93.624437 38.118382, -93.623435 38.128046, -93.632068 38.128061, -93.631687 38.134402, -93.636283 38.134534, -93.636624 38.129347, -93.645091 38.129394, -93.645396 38.120656, -93.661302 38.120655, -93.687482 38.121577)))"
"29","65779","2965779","B5","G6350","S","194999316","7468640","+37.9775673","-093.3788634","N","POLYGON ((-93.444174 37.99857, -93.441903 37.992624, -93.437627 37.990706, -93.43967 37.983857, -93.450593 37.984186, -93.450591 37.969737, -93.432241 37.969145, -93.432384 37.963948, -93.428597 37.961746, -93.428845 37.95442, -93.456366 37.955315, -93.456926 37.940745, -93.438575 37.94013, -93.439179 37.925593, -93.411756 37.924734, -93.414325 37.874004, -93.409693 37.873812, -93.409832 37.870176, -93.383353 37.869308, -93.382548 37.865002, -93.378823 37.86528, -93.371829 37.868187, -93.362926 37.868107, -93.359741 37.865386, -93.360488 37.861946, -93.357083 37.865816, -93.359717 37.871292, -93.36405 37.875034, -93.350384 37.875034, -93.348814 37.872912, -93.344261 37.872992, -93.338095 37.869089, -93.334414 37.869257, -93.328509 37.874205, -93.327839 37.880544, -93.328869 37.884014, -93.327545 37.888719, -93.320685 37.8895, -93.313991 37.895021, -93.31676 37.897201, -93.317332 37.903032, -93.320215 37.904401, -93.332932 37.905972, -93.339067 37.901593, -93.343082 37.903026, -93.343205 37.90738, -93.340098 37.909922, -93.334467 37.910315, -93.331526 37.912111, -93.321081 37.910488, -93.321235 37.916083, -93.327487 37.919938, -93.329213 37.924621, -93.328095 37.9295, -93.32448 37.929402, -93.323527 37.932711, -93.319053 37.93388, -93.316286 37.937295, -93.319226 37.94085, -93.325252 37.942712, -93.328727 37.940891, -93.329603 37.935305, -93.331807 37.929109, -93.337293 37.925152, -93.337325 37.934797, -93.341627 37.934453, -93.339795 37.938537, -93.34126 37.944789, -93.345571 37.944748, -93.352265 37.948104, -93.351741 37.949669, -93.354998 37.955096, -93.355917 37.959365, -93.353261 37.962377, -93.349486 37.962202, -93.346022 37.959912, -93.335223 37.958162, -93.338554 37.963651, -93.342608 37.966572, -93.344476 37.972058, -93.343437 37.987898, -93.335762 37.9896, -93.324948 37.988447, -93.31855 37.989429, -93.315353 37.991109, -93.311037 37.990999, -93.311647 37.980809, -93.307501 37.981607, -93.301585 37.985143, -93.299544 37.987964, -93.301496 37.994581, -93.309513 37.999914, -93.315106 38.001048, -93.325388 38.000236, -93.331883 37.995956, -93.33829 37.993854, -93.341739 37.991467, -93.346863 37.991455, -93.345896 38.001719, -93.342616 38.001647, -93.336172 38.004721, -93.32267 38.00384, -93.316778 38.008398, -93.316663 38.013509, -93.312508 38.016689, -93.31124 38.021642, -93.298011 38.020429, -93.294607 38.022748, -93.293616 38.025591, -93.295801 38.029117, -93.300571 38.031914, -93.305899 38.030374, -93.311675 38.030172, -93.318304 38.031356, -93.325198 38.02878, -93.333264 38.024511, -93.338297 38.029049, -93.337294 38.03433, -93.335014 38.036837, -93.322954 38.040006, -93.322465 38.043807, -93.324052 38.046423, -93.324463 38.056196, -93.323448 38.064768, -93.324684 38.066928, -93.333784 38.0672, -93.334339 38.062681, -93.33629 38.059539, -93.332797 38.058393, -93.334042 38.054681, -93.340842 38.052161, -93.346096 38.053492, -93.343921 38.06407, -93.354537 38.065458, -93.356913 38.068064, -93.395096 38.069182, -93.403887 38.075149, -93.410294 38.075985, -93.415099 38.079597, -93.424351 38.07988, -93.422671 38.075291, -93.422682 38.070298, -93.436582 38.070563, -93.436869 38.06592, -93.434604 38.064453, -93.437805 38.056104, -93.437975 38.0492, -93.447319 38.049151, -93.447317 38.052442, -93.454025 38.052488, -93.454033 38.042114, -93.433256 38.041539, -93.435957 37.998191, -93.444174 37.99857))"
"29","63781","2963781","B5","G6350","S","166297325","312747","+37.5384525","-089.9283566","N","POLYGON ((-89.935796 37.458903, -89.929003 37.456019, -89.923493 37.450924, -89.924156 37.447869, -89.919199 37.447884, -89.9171 37.442229, -89.909311 37.438348, -89.907694 37.432459, -89.901988 37.428711, -89.891219 37.430986, -89.895494 37.434619, -89.895548 37.439362, -89.90075 37.443778, -89.905495 37.445474, -89.908125 37.455592, -89.908431 37.463929, -89.903494 37.47157, -89.897551 37.466736, -89.89612 37.462684, -89.882342 37.46251, -89.878415 37.465996, -89.879746 37.470872, -89.879044 37.482146, -89.875715 37.494868, -89.867234 37.498758, -89.870641 37.502348, -89.861749 37.50613, -89.861391 37.531548, -89.861326 37.557082, -89.861123 37.599286, -89.890478 37.599103, -89.925329 37.598602, -89.960272 37.59852, -90.000208 37.598006, -90.028666 37.598114, -90.029795 37.592558, -90.035475 37.586279, -90.035736 37.579883, -90.029452 37.579526, -90.03042 37.571244, -90.022392 37.56515, -90.016759 37.565342, -90.011191 37.570691, -90.002773 37.577095, -89.998752 37.563899, -89.991502 37.557481, -89.990016 37.547193, -89.993858 37.541399, -89.993837 37.532205, -89.987621 37.532664, -89.984981 37.516137, -89.974599 37.510353, -89.966584 37.502982, -89.962224 37.49806, -89.957407 37.495839, -89.95452 37.492812, -89.954086 37.485829, -89.956015 37.483599, -89.958144 37.477378, -89.949858 37.475109, -89.948544 37.471288, -89.934063 37.462035, -89.935796 37.458903))"
"29","63655","2963655","B5","G6350","S","380293520","1146670","+37.3905591","-090.1891057","N","POLYGON ((-90.140115 37.517588, -90.141925 37.496552, -90.143924 37.496478, -90.143989 37.480923, -90.214667 37.479332, -90.214585 37.480354, -90.23954 37.479713, -90.250102 37.48013, -90.250092 37.478989, -90.269839 37.479574, -90.271122 37.436162, -90.289526 37.435926, -90.289593 37.430861, -90.298108 37.432067, -90.300672 37.427355, -90.308537 37.415976, -90.308488 37.40572, -90.306852 37.405715, -90.308036 37.38967, -90.323532 37.389572, -90.323574 37.37507, -90.324986 37.375068, -90.324824 37.359035, -90.325799 37.335389, -90.325971 37.315418, -90.346243 37.314577, -90.345909 37.297916, -90.335588 37.298008, -90.327449 37.297287, -90.320381 37.295814, -90.323381 37.291788, -90.323709 37.288856, -90.319694 37.284865, -90.275609 37.283526, -90.2609 37.283056, -90.255462 37.275068, -90.255393 37.267483, -90.250021 37.26759, -90.244997 37.264626, -90.238228 37.262811, -90.22817 37.261316, -90.222086 37.261653, -90.218782 37.25701, -90.218553 37.286245, -90.217657 37.314967, -90.201264 37.313795, -90.180134 37.3133, -90.145699 37.312091, -90.145395 37.342003, -90.145958 37.374995, -90.145646 37.395203, -90.141145 37.393379, -90.131582 37.392124, -90.129992 37.389404, -90.123528 37.38588, -90.119113 37.381744, -90.108038 37.377084, -90.103432 37.378563, -90.100241 37.381837, -90.106151 37.385661, -90.110156 37.38958, -90.111357 37.397142, -90.107253 37.401367, -90.110083 37.405906, -90.107499 37.410817, -90.107491 37.416899, -90.105869 37.421176, -90.092933 37.423228, -90.087145 37.422634, -90.085525 37.429361, -90.081584 37.434246, -90.08285 37.439607, -90.079764 37.439252, -90.076667 37.435755, -90.071826 37.433458, -90.068992 37.430196, -90.065199 37.432057, -90.060431 37.443103, -90.057841 37.455981, -90.068742 37.457905, -90.069264 37.465286, -90.069017 37.478486, -90.065752 37.480013, -90.065484 37.483803, -90.06928 37.48819, -90.0692 37.495998, -90.080998 37.495772, -90.101401 37.504319, -90.099653 37.508248, -90.103329 37.511701, -90.102107 37.515424, -90.102912 37.522241, -90.110326 37.521349, -90.112916 37.519898, -90.121362 37.523424, -90.126665 37.518563, -90.134208 37.517398, -90.140115 37.517588))"
"29","63750","2963750","B5","G6350","S","23279064","130538","+37.1521260","-090.2027373","N","POLYGON ((-90.220164 37.190999, -90.220509 37.167849, -90.221553 37.12892, -90.213201 37.12922, -90.202593 37.135761, -90.19651 37.136876, -90.193804 37.13415, -90.172395 37.141335, -90.16534 37.129913, -90.166588 37.12757, -90.16453 37.124751, -90.153966 37.125755, -90.147337 37.12361, -90.141504 37.124984, -90.140006 37.130923, -90.145704 37.133438, -90.151018 37.138328, -90.149404 37.144595, -90.146109 37.148257, -90.14609 37.156383, -90.150514 37.158361, -90.153386 37.164792, -90.159375 37.165524, -90.165236 37.160326, -90.173757 37.157197, -90.185612 37.158335, -90.189851 37.157226, -90.190599 37.160998, -90.201597 37.163287, -90.202662 37.167998, -90.200789 37.170541, -90.207219 37.173654, -90.21358 37.174372, -90.216923 37.177874, -90.21503 37.179906, -90.218991 37.184222, -90.216848 37.187025, -90.220164 37.190999))"
"29","65202","2965202","B5","G6350","S","385568391","1886661","+39.0203703","-092.2965349","N","POLYGON ((-92.39051 39.13048, -92.39303 39.12928, -92.39476 39.12237, -92.39404 39.1197, -92.39791 39.11658, -92.397639 39.114037, -92.391779 39.09865, -92.39977 39.09847, -92.398133 39.081174, -92.407286 39.081871, -92.410015 39.076625, -92.401849 39.076072, -92.398395 39.073705, -92.41455 39.07482, -92.416304 39.071483, -92.413434 39.067639, -92.413682 39.058811, -92.43484 39.06061, -92.44375 39.06092, -92.44348 39.06808, -92.44568 39.06841, -92.4457 39.07329, -92.45157 39.07285, -92.448594 39.066384, -92.444659 39.063721, -92.446396 39.060899, -92.4645 39.06122, -92.46408 39.06876, -92.45526 39.06928, -92.454859 39.07582, -92.474074 39.076194, -92.474223 39.069138, -92.474264 39.061884, -92.468325 39.061706, -92.468702 39.050802, -92.474629 39.050989, -92.475101 39.032619, -92.476111 39.030372, -92.470397 39.028767, -92.461322 39.019478, -92.456556 39.020357, -92.467251 39.009589, -92.47334 39.013244, -92.482289 39.003748, -92.4758 39.00146, -92.47614 38.99, -92.47978 38.98882, -92.47684 38.98541, -92.47693 38.97912, -92.481949 38.977625, -92.477265 38.97314, -92.461241 38.972519, -92.40061 38.9707, -92.38421 38.96965, -92.37267 38.96848, -92.36216 38.96496, -92.35518 38.96484, -92.34374 38.96912, -92.33363 38.96901, -92.315 38.96817, -92.30597 38.96641, -92.29875 38.96296, -92.29198 38.96166, -92.25313 38.96004, -92.22914 38.96009, -92.21255 38.95846, -92.19642 38.95869, -92.17621 38.95838, -92.154958 38.954669, -92.128115 38.953641, -92.095297 38.953349, -92.079132 38.95302, -92.078828 38.964048, -92.074132 38.964325, -92.07308 38.982619, -92.094352 38.98337, -92.092942 39.020244, -92.120544 39.021194, -92.120052 39.043167, -92.133226 39.043468, -92.134804 39.036229, -92.15771 39.03647, -92.157905 39.0395, -92.16075 39.04372, -92.16784 39.04409, -92.17203 39.04234, -92.17267 39.02332, -92.17559 39.021594, -92.19343 39.02132, -92.207731 39.021545, -92.20669 39.04366, -92.21548 39.04355, -92.22074 39.04119, -92.22449 39.04125, -92.23237 39.04739, -92.23452 39.04716, -92.2341 39.05819, -92.2605 39.05856, -92.26193 39.05972, -92.257993 39.068665, -92.264903 39.068395, -92.264875 39.073073, -92.254948 39.07291, -92.25565 39.07466, -92.281187 39.075356, -92.280878 39.082493, -92.271496 39.082283, -92.271164 39.089527, -92.320461 39.090931, -92.32111 39.07524, -92.32983 39.07689, -92.32881 39.11102, -92.33075 39.10857, -92.3338 39.09663, -92.33349 39.09431, -92.338917 39.090619, -92.33841 39.12055, -92.332589 39.125116, -92.332373 39.135976, -92.33543 39.13338, -92.34244 39.13252, -92.3473 39.13383, -92.35335 39.13318, -92.360366 39.134198, -92.3745 39.13077, -92.38801 39.13142, -92.39051 39.13048))"
