STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10,WKT
"31","68955","3168955","B5","G6350","S","246125364","684748","+40.5954972","-098.5396864","N","POLYGON ((-98.492563 40.698604, -98.525292 40.698638, -98.525412 40.684073, -98.553948 40.684161, -98.554005 40.669586, -98.602364 40.669386, -98.610113 40.671662, -98.610097 40.68382, -98.629202 40.683806, -98.629197 40.677162, -98.610112 40.671393, -98.610123 40.654792, -98.592134 40.655037, -98.592228 40.625916, -98.610109 40.625776, -98.610088 40.567765, -98.648083 40.567608, -98.64815 40.524142, -98.629101 40.524188, -98.629066 40.520293, -98.619419 40.524212, -98.591682 40.524283, -98.591723 40.509613, -98.572567 40.509775, -98.572709 40.524359, -98.553763 40.524413, -98.55358 40.495326, -98.496738 40.495464, -98.496797 40.509964, -98.478017 40.509894, -98.480747 40.524459, -98.49686 40.524491, -98.496834 40.539021, -98.478004 40.539039, -98.477965 40.553582, -98.48749 40.553568, -98.487539 40.568079, -98.45894 40.568103, -98.458815 40.597171, -98.440312 40.597686, -98.439616 40.611421, -98.458708 40.611536, -98.458773 40.625736, -98.439577 40.620045, -98.439477 40.640484, -98.497061 40.64063, -98.497019 40.655176, -98.458305 40.655163, -98.458236 40.676918, -98.477333 40.677067, -98.477252 40.698566, -98.492563 40.698604))"
"31","69145","3169145","B5","G6350","S","1074299149","606865","+41.2460223","-103.6676964","N","POLYGON ((-103.83101 41.422333, -103.832079 41.393248, -103.816398 41.39282, -103.815968 41.379012, -103.835247 41.378899, -103.835052 41.292237, -103.831855 41.282176, -103.825591 41.276896, -103.823647 41.267, -103.816771 41.263477, -103.816677 41.255491, -103.797266 41.249004, -103.79744 41.205187, -103.796631 41.191196, -103.740443 41.191921, -103.741024 41.161241, -103.739793 41.148884, -103.739697 41.091142, -103.701489 41.091211, -103.70147 41.062008, -103.79692 41.061664, -103.796861 41.047339, -103.82062 41.047323, -103.820658 41.00478, -103.824292 41.003509, -103.857933 41.003727, -103.859039 41.001751, -103.76334 41.001468, -103.687745 41.001781, -103.669054 41.001442, -103.576572 41.001735, -103.544295 41.001492, -103.554257 41.009639, -103.55428 41.047318, -103.548227 41.047258, -103.548423 41.076292, -103.509905 41.076532, -103.510068 41.091377, -103.567133 41.090661, -103.567242 41.076171, -103.586502 41.076308, -103.586351 41.090578, -103.605664 41.090687, -103.605342 41.119801, -103.567087 41.11971, -103.567102 41.134628, -103.529719 41.134922, -103.528931 41.178315, -103.529234 41.202787, -103.526238 41.278077, -103.526191 41.292275, -103.529282 41.306774, -103.549016 41.306461, -103.548812 41.33506, -103.538618 41.335348, -103.538618 41.342339, -103.530357 41.342387, -103.530381 41.364723, -103.505033 41.364871, -103.49213 41.374453, -103.492019 41.393851, -103.500493 41.394596, -103.572232 41.393844, -103.571519 41.402387, -103.566134 41.407368, -103.558142 41.408464, -103.542219 41.429081, -103.522962 41.431908, -103.520363 41.450038, -103.526513 41.450898, -103.534003 41.444191, -103.565724 41.443998, -103.581128 41.451481, -103.62069 41.451515, -103.62071 41.422246, -103.659555 41.422155, -103.65927 41.466665, -103.658316 41.480225, -103.766717 41.480278, -103.774157 41.474337, -103.773789 41.466742, -103.75467 41.46645, -103.754648 41.452078, -103.79318 41.451816, -103.793196 41.42253, -103.83101 41.422333))"
"31","69128","3169128","B5","G6350","S","1115425434","841581","+41.2266704","-103.9288189","N","POLYGON ((-104.052529 41.46537, -104.052245 41.398065, -104.052686 41.330562, -104.052453 41.278197, -104.053084 41.24998, -104.053514 41.157257, -104.053063 41.050213, -104.053249 41.001406, -104.023383 41.001887, -103.971252 41.001533, -103.859039 41.001751, -103.857933 41.003727, -103.824292 41.003509, -103.820658 41.00478, -103.82062 41.047323, -103.796861 41.047339, -103.79692 41.061664, -103.70147 41.062008, -103.701489 41.091211, -103.739697 41.091142, -103.739793 41.148884, -103.741024 41.161241, -103.740443 41.191921, -103.796631 41.191196, -103.79744 41.205187, -103.797266 41.249004, -103.816677 41.255491, -103.816771 41.263477, -103.823647 41.267, -103.825591 41.276896, -103.831855 41.282176, -103.835052 41.292237, -103.835247 41.378899, -103.815968 41.379012, -103.816398 41.39282, -103.832079 41.393248, -103.83101 41.422333, -103.840893 41.42238, -103.840836 41.429179, -103.850621 41.429755, -103.850585 41.480425, -103.946986 41.481117, -103.985585 41.480744, -103.985137 41.46582, -104.004436 41.465778, -104.004069 41.451092, -104.023539 41.450895, -104.023817 41.465505, -104.052529 41.46537))"
"31","69157","3169157","B5","G6350","S","69850193","498206","+42.0601573","-100.1442449","N","POLYGON ((-100.267622 42.086147, -100.267694 42.04423, -100.258247 42.051729, -100.258607 42.064873, -100.237493 42.064106, -100.234527 42.06233, -100.203811 42.059044, -100.1951 42.060147, -100.18624 42.04762, -100.180676 42.035874, -100.172357 42.032267, -100.163026 42.033327, -100.151524 42.026805, -100.120687 42.020339, -100.120721 42.028479, -100.104492 42.028429, -100.09205 42.024821, -100.091389 42.075835, -100.082837 42.075612, -100.074954 42.085532, -100.167605 42.085848, -100.267622 42.086147))"
"31","68746","3168746","B5","G6350","S","604416562","11937882","+42.8096359","-098.4374415","N","POLYGON ((-98.309771 42.882605, -98.325864 42.8865, -98.342408 42.900847, -98.375358 42.913132, -98.386445 42.918407, -98.407824 42.92575, -98.42074 42.931924, -98.430934 42.931504, -98.439743 42.928195, -98.458515 42.943374, -98.467356 42.947556, -98.490483 42.977948, -98.49855 42.998559, -98.531944 42.998456, -98.517981 42.980103, -98.525359 42.979187, -98.525333 42.955304, -98.530209 42.951477, -98.545151 42.951506, -98.545461 42.799443, -98.545614 42.780456, -98.558302 42.781428, -98.570189 42.770887, -98.56837 42.766247, -98.560387 42.762769, -98.560262 42.755541, -98.540479 42.755734, -98.540165 42.654245, -98.549895 42.654262, -98.555502 42.649271, -98.555513 42.641942, -98.549195 42.639379, -98.521131 42.639513, -98.521103 42.682958, -98.501794 42.68309, -98.50147 42.596, -98.442473 42.596484, -98.442565 42.625459, -98.422877 42.625604, -98.422939 42.68354, -98.344621 42.683336, -98.344563 42.668797, -98.333878 42.671938, -98.329613 42.669027, -98.314881 42.668791, -98.305069 42.665806, -98.305148 42.760384, -98.305051 42.784643, -98.310239 42.784618, -98.310314 42.869865, -98.309771 42.882605))"
"31","68849","3168849","B5","G6350","S","431572","0","+40.7007025","-099.1094155","N","POLYGON ((-99.105525 40.699424, -99.105405 40.702835, -99.112759 40.701428, -99.113273 40.699444, -99.105525 40.699424))"
"31","68844","3168844","B5","G6350","S","115844865","39958","+41.0540983","-099.0594097","N","POLYGON ((-99.014202 41.104954, -99.052479 41.105069, -99.052288 41.112275, -99.061921 41.112271, -99.061921 41.11963, -99.071163 41.11963, -99.071984 41.09619, -99.082682 41.092768, -99.091821 41.105313, -99.109331 41.105628, -99.14019 41.104461, -99.140486 41.082865, -99.149946 41.082851, -99.145109 41.068237, -99.131578 41.068312, -99.131161 41.06126, -99.139951 41.053414, -99.135659 41.046894, -99.102795 41.04712, -99.102307 41.018591, -99.083212 41.018164, -99.08346 41.03263, -99.064373 41.032445, -99.063875 41.00357, -99.007818 41.002814, -99.007772 41.01733, -98.988819 41.01743, -98.988742 41.031919, -98.978652 41.035015, -98.983863 41.043352, -98.977962 41.047374, -98.977922 41.075883, -99.015094 41.076131, -99.014202 41.104954))"
"31","68038","3168038","B5","G6350","S","254930498","1677547","+41.9471131","-096.4527559","N","POLYGON ((-96.392946 41.886978, -96.375626 41.886932, -96.370869 41.894168, -96.370868 41.901439, -96.34733 41.901291, -96.347197 41.930246, -96.322639 41.930376, -96.334967 41.973738, -96.328662 41.973786, -96.328932 42.015512, -96.385807 42.016292, -96.460371 42.017053, -96.482861 42.016152, -96.554866 42.015875, -96.555255 42.001715, -96.555159 41.927622, -96.5552 41.90138, -96.555225 41.886915, -96.488338 41.886893, -96.487682 41.894724, -96.472998 41.894718, -96.473094 41.886854, -96.44434 41.886953, -96.440188 41.894444, -96.424933 41.894452, -96.424898 41.886981, -96.392946 41.886978))"
"31","68632","3168632","B5","G6350","S","401306470","2390329","+41.2461540","-097.1311975","N","POLYGON ((-97.281405 41.293939, -97.282466 41.283346, -97.291658 41.279474, -97.310634 41.279385, -97.310177 41.25816, -97.291152 41.258065, -97.291147 41.242753, -97.310277 41.242715, -97.310421 41.228352, -97.278589 41.228126, -97.278589 41.235998, -97.262581 41.235996, -97.262701 41.228737, -97.252757 41.228696, -97.252662 41.235953, -97.214855 41.235634, -97.214493 41.221127, -97.19526 41.220967, -97.196024 41.148425, -97.176911 41.148293, -97.177068 41.118994, -97.157601 41.118962, -97.157614 41.112352, -97.147931 41.112376, -97.147978 41.104535, -97.138406 41.104618, -97.138526 41.119121, -97.100537 41.118814, -97.100537 41.133499, -97.062174 41.133311, -97.062197 41.162581, -97.042626 41.162519, -97.042992 41.177032, -97.062348 41.177215, -97.061306 41.220254, -97.042129 41.220107, -97.042403 41.234624, -97.023165 41.234547, -97.012139 41.227437, -96.985299 41.227297, -96.986392 41.267066, -97.005452 41.267297, -97.005572 41.285601, -97.009688 41.292915, -97.04286 41.292551, -97.042701 41.321272, -97.033563 41.321537, -97.023531 41.314263, -97.023228 41.33599, -97.023029 41.364929, -97.061609 41.365285, -97.110673 41.365352, -97.110672 41.350773, -97.100397 41.350546, -97.100373 41.336013, -97.119539 41.336398, -97.119625 41.350948, -97.137931 41.351227, -97.138168 41.329631, -97.157543 41.329924, -97.15768 41.322649, -97.205675 41.323311, -97.205735 41.308953, -97.234667 41.308821, -97.234592 41.293676, -97.253655 41.293943, -97.253191 41.27945, -97.262993 41.279529, -97.263512 41.305234, -97.273381 41.30804, -97.272896 41.293956, -97.281405 41.293939))"
"31","68624","3168624","B5","G6350","S","179374707","5926491","+41.3456129","-097.2293584","N","POLYGON ((-97.349559 41.307515, -97.285994 41.308015, -97.281405 41.293939, -97.272896 41.293956, -97.273381 41.30804, -97.263512 41.305234, -97.262993 41.279529, -97.253191 41.27945, -97.253655 41.293943, -97.234592 41.293676, -97.234667 41.308821, -97.205735 41.308953, -97.205675 41.323311, -97.15768 41.322649, -97.157543 41.329924, -97.138168 41.329631, -97.137931 41.351227, -97.119625 41.350948, -97.119539 41.336398, -97.100373 41.336013, -97.100397 41.350546, -97.110672 41.350773, -97.110673 41.365352, -97.061609 41.365285, -97.061677 41.387081, -97.051882 41.387131, -97.051943 41.394475, -97.060113 41.394461, -97.059704 41.410986, -97.081799 41.399992, -97.091208 41.39289, -97.106434 41.387889, -97.120653 41.387889, -97.142457 41.382308, -97.154288 41.382562, -97.175613 41.377083, -97.185726 41.37909, -97.197579 41.385069, -97.203331 41.385966, -97.226184 41.383608, -97.253519 41.384212, -97.262638 41.386994, -97.273639 41.395081, -97.287761 41.400638, -97.30429 41.401012, -97.324166 41.39607, -97.337635 41.388324, -97.349598 41.389054, -97.350146 41.35113, -97.368223 41.35166, -97.368273 41.337153, -97.350234 41.336661, -97.350052 41.322106, -97.368158 41.322627, -97.368118 41.308309, -97.349559 41.307515))"
