STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10,WKT
"39","45830","3945830","B5","G6350","S","245664720","465444","+40.9084596","-084.0959329","N","MULTIPOLYGON (((-84.051797 40.846578, -84.051798 40.861042, -84.071146 40.861041, -84.071053 40.846575, -84.051797 40.846578)), ((-84.051797 40.846578, -84.051798 40.824953, -84.027905 40.824554, -84.027885 40.817783, -84.013483 40.817861, -84.013612 40.824844, -83.988423 40.824992, -83.975798 40.833672, -83.975823 40.836472, -83.976706 40.904843, -83.976065 40.914953, -83.976273 40.938097, -83.981041 40.934503, -83.99535 40.934216, -83.995506 40.956853, -84.000421 40.956838, -84.000296 40.948785, -84.055787 40.948425, -84.054129 40.962967, -84.081964 40.962944, -84.0819 40.948382, -84.096364 40.948308, -84.0963 40.955328, -84.101119 40.955305, -84.101246 40.962839, -84.106015 40.966049, -84.119359 40.969856, -84.120563 40.968447, -84.130066 40.97221, -84.130147 40.979427, -84.13978 40.985931, -84.144864 40.985925, -84.145023 40.995754, -84.135313 40.999674, -84.135387 41.006463, -84.154597 41.006351, -84.154576 40.991718, -84.152961 40.984001, -84.160789 40.987182, -84.170849 40.98466, -84.177416 40.988244, -84.183509 40.987353, -84.183458 40.981112, -84.191028 40.981212, -84.196132 40.979814, -84.193566 40.975334, -84.195432 40.971945, -84.18588 40.9643, -84.182902 40.959013, -84.187819 40.953987, -84.187604 40.950693, -84.19075 40.945173, -84.190353 40.941113, -84.186373 40.939688, -84.187571 40.932906, -84.199502 40.93288, -84.200863 40.927479, -84.206415 40.918512, -84.225521 40.918294, -84.225666 40.903963, -84.223847 40.903979, -84.222475 40.893734, -84.219019 40.888861, -84.209247 40.880243, -84.207398 40.874908, -84.191706 40.867116, -84.194651 40.862841, -84.192843 40.859665, -84.130459 40.860182, -84.109586 40.860994, -84.109519 40.853955, -84.103986 40.846369, -84.090298 40.84644, -84.090393 40.860994, -84.073605 40.861059, -84.067095 40.868305, -84.051848 40.8683, -84.051798 40.861042, -84.027987 40.861174, -84.027925 40.846696, -84.051797 40.846578), (-84.027925 40.846696, -84.02312 40.844242, -84.017346 40.836051, -84.021832 40.832292, -84.027914 40.832245, -84.027925 40.846696)))"
"39","45877","3945877","B5","G6350","S","71903359","339959","+40.9591214","-083.9335780","N","POLYGON ((-83.976065 40.914953, -83.95902 40.91493, -83.956848 40.908715, -83.951854 40.910427, -83.947953 40.907782, -83.929462 40.909314, -83.921817 40.916413, -83.88175 40.949493, -83.880487 40.951271, -83.870346 40.951232, -83.875275 40.958399, -83.876308 40.964849, -83.880578 40.96833, -83.880603 40.993155, -83.976737 40.992787, -83.97672 40.978099, -83.990577 40.978751, -83.989233 40.970823, -83.989438 40.963438, -83.995639 40.963393, -83.995506 40.956853, -83.99535 40.934216, -83.981041 40.934503, -83.976273 40.938097, -83.976065 40.914953))"
"39","44859","3944859","B5","G6350","S","78526283","529089","+41.0219631","-082.3307243","N","POLYGON ((-82.407647 40.967725, -82.380289 40.967477, -82.369409 40.961498, -82.369642 40.968039, -82.377069 40.968008, -82.377097 40.971038, -82.369733 40.971049, -82.369814 40.973735, -82.360175 40.973683, -82.360081 40.969717, -82.35785 40.972204, -82.350385 40.974925, -82.350213 40.967704, -82.340237 40.968417, -82.330098 40.970445, -82.330172 40.959694, -82.322191 40.959526, -82.320036 40.970456, -82.310852 40.982746, -82.311028 40.992898, -82.305483 40.992877, -82.305363 40.999085, -82.280766 40.998919, -82.280564 41.014132, -82.271543 41.014002, -82.27053 41.057558, -82.279772 41.057689, -82.2797 41.065343, -82.28994 41.065531, -82.28967 41.07369, -82.293631 41.073728, -82.327183 41.073997, -82.326822 41.065768, -82.358162 41.065718, -82.357473 41.049435, -82.345993 41.049386, -82.34576 41.042404, -82.356653 41.045014, -82.362277 41.040601, -82.367428 41.029632, -82.374419 41.029367, -82.374108 41.016533, -82.373688 40.992618, -82.367881 40.979248, -82.36771 40.97545, -82.381856 40.975445, -82.407849 40.974979, -82.407647 40.967725))"
"39","44851","3944851","B5","G6350","S","192283889","1938699","+41.1091751","-082.3915706","N","MULTIPOLYGON (((-82.2797 41.065343, -82.239647 41.064467, -82.23946 41.070707, -82.220368 41.070431, -82.220789 41.084773, -82.258801 41.085564, -82.258509 41.092413, -82.266784 41.093611, -82.270093 41.089308, -82.270154 41.085138, -82.279298 41.085699, -82.279529 41.073359, -82.28967 41.07369, -82.28994 41.065531, -82.2797 41.065343)), ((-82.537444 41.102994, -82.524488 41.101196, -82.513522 41.102682, -82.513194 41.093818, -82.489784 41.093807, -82.484658 41.090521, -82.484814 41.086055, -82.479572 41.0847, -82.474173 41.073511, -82.469756 41.067633, -82.46271 41.068086, -82.460422 41.06545, -82.446798 41.065397, -82.446781 41.062333, -82.431582 41.062866, -82.4201 41.05192, -82.420284 41.049099, -82.393564 41.049214, -82.392616 41.029551, -82.387878 41.024562, -82.374108 41.016533, -82.374419 41.029367, -82.367428 41.029632, -82.362277 41.040601, -82.356653 41.045014, -82.34576 41.042404, -82.345993 41.049386, -82.357473 41.049435, -82.358162 41.065718, -82.326822 41.065768, -82.327183 41.073997, -82.293631 41.073728, -82.291609 41.080484, -82.287014 41.086177, -82.296903 41.086787, -82.297103 41.114424, -82.306016 41.110219, -82.309409 41.10328, -82.32891 41.103467, -82.329686 41.1158, -82.317786 41.120212, -82.317686 41.129501, -82.330596 41.129627, -82.333299 41.172057, -82.34109 41.173834, -82.349779 41.176776, -82.348916 41.137879, -82.389252 41.137977, -82.389519 41.150589, -82.410024 41.150348, -82.409534 41.138038, -82.423268 41.141957, -82.431701 41.146802, -82.430168 41.151704, -82.439296 41.151586, -82.447049 41.14809, -82.45513 41.148093, -82.456756 41.152732, -82.452748 41.156036, -82.445593 41.154425, -82.451495 41.173352, -82.458054 41.174756, -82.459825 41.169862, -82.471717 41.169551, -82.477982 41.166021, -82.477726 41.155148, -82.496981 41.155329, -82.536584 41.155838, -82.538748 41.155173, -82.538473 41.145861, -82.537444 41.102994)))"
"39","44843","3944843","B5","G6350","S","70792358","259578","+40.6894968","-082.4076022","N","POLYGON ((-82.362674 40.74153, -82.371649 40.745448, -82.376111 40.745178, -82.3809 40.752119, -82.387596 40.748947, -82.387417 40.74173, -82.385014 40.738159, -82.393574 40.734593, -82.391809 40.727256, -82.445239 40.726821, -82.445852 40.724132, -82.443061 40.715001, -82.446305 40.713106, -82.446268 40.724497, -82.44927 40.726828, -82.455585 40.726712, -82.455217 40.716547, -82.447249 40.709827, -82.454699 40.704958, -82.454714 40.696856, -82.464306 40.696459, -82.464765 40.684732, -82.454327 40.680377, -82.453695 40.652744, -82.453325 40.638039, -82.443813 40.638202, -82.444178 40.65043, -82.43823 40.651407, -82.426707 40.646255, -82.424814 40.643025, -82.412133 40.638398, -82.389094 40.638588, -82.384556 40.638504, -82.385501 40.653039, -82.376997 40.649716, -82.378138 40.68277, -82.363493 40.682835, -82.363563 40.695931, -82.365717 40.697725, -82.366431 40.704934, -82.354082 40.704859, -82.354001 40.70868, -82.358654 40.711984, -82.367005 40.714074, -82.373263 40.720895, -82.366038 40.732198, -82.366307 40.742197, -82.362674 40.74153))"
"39","44057","3944057","B5","G6350","S","129494061","818935","+41.7601165","-081.0603050","N","POLYGON ((-81.108143 41.817567, -81.105219 41.810909, -81.108219 41.806744, -81.104717 41.805286, -81.104285 41.782149, -81.110393 41.765473, -81.103267 41.76377, -81.10307 41.759209, -81.112123 41.757359, -81.113652 41.75444, -81.119925 41.752231, -81.119866 41.741333, -81.112827 41.741863, -81.112211 41.737878, -81.122733 41.737556, -81.124893 41.734664, -81.121502 41.730457, -81.128299 41.72807, -81.13391 41.731851, -81.137141 41.727902, -81.138644 41.720748, -81.143464 41.720221, -81.142904 41.715938, -81.13659 41.713275, -81.133887 41.707216, -81.127798 41.707052, -81.118254 41.701911, -81.113039 41.696396, -81.113505 41.705619, -81.119172 41.709938, -81.119219 41.714227, -81.109442 41.714274, -81.090466 41.707179, -81.084276 41.70148, -81.073379 41.693494, -81.06739 41.693222, -81.062931 41.70475, -81.058444 41.704233, -81.055878 41.711839, -81.05093 41.714488, -81.038527 41.714514, -81.038503 41.706602, -81.022503 41.706508, -81.022699 41.714614, -81.003631 41.715137, -81.004325 41.724066, -81.003823 41.74464, -81.002946 41.749826, -81.00259 41.786736, -80.9908 41.789194, -81.002468 41.799366, -81.002283 41.826136, -81.014252 41.825508, -81.011736 41.833253, -81.008298 41.836568, -81.006147 41.843897, -81.006104 41.851535, -81.012665 41.847941, -81.029366 41.842824, -81.034969 41.842259, -81.049838 41.838006, -81.058532 41.833032, -81.0703 41.831214, -81.091652 41.822803, -81.096746 41.822044, -81.108143 41.817567))"
"39","44082","3944082","B5","G6350","S","87749846","51867","+41.7618732","-080.5675355","N","POLYGON ((-80.617823 41.781714, -80.617278 41.774764, -80.61052 41.768111, -80.610335 41.765159, -80.618734 41.763119, -80.619489 41.753327, -80.622537 41.748514, -80.621851 41.716246, -80.614757 41.714141, -80.570443 41.71449, -80.563241 41.711706, -80.541412 41.713414, -80.538494 41.714659, -80.519412 41.714731, -80.519378 41.81915, -80.558724 41.818902, -80.558291 41.804461, -80.561866 41.804434, -80.57217 41.818905, -80.597592 41.81869, -80.59789 41.808059, -80.593572 41.797853, -80.59211 41.790283, -80.595032 41.790259, -80.594914 41.781778, -80.617823 41.781714))"
"39","44062","3944062","B5","G6350","S","198299815","835410","+41.4518100","-081.0366974","N","POLYGON ((-80.904565 41.493522, -80.904237 41.500959, -80.942622 41.501318, -80.939114 41.508526, -80.953625 41.50857, -80.953503 41.521602, -80.959311 41.522729, -80.968727 41.510588, -80.968978 41.508628, -80.982508 41.508678, -80.982427 41.517903, -80.991759 41.520591, -80.999347 41.520075, -81.003135 41.521353, -81.029262 41.521381, -81.032238 41.528836, -81.04782 41.534908, -81.072998 41.534796, -81.079619 41.520395, -81.074787 41.503895, -81.072874 41.500991, -81.091217 41.497928, -81.094407 41.501172, -81.099929 41.501136, -81.09983 41.495401, -81.10354 41.491413, -81.109211 41.478935, -81.109351 41.476562, -81.117664 41.470911, -81.123869 41.468032, -81.126851 41.459683, -81.133047 41.457104, -81.129111 41.454083, -81.118686 41.450269, -81.099579 41.432134, -81.09946 41.386992, -81.096711 41.386388, -81.073926 41.386314, -81.074389 41.381092, -81.068085 41.373543, -81.06413 41.374546, -81.051594 41.374553, -81.051594 41.377425, -81.035781 41.377423, -81.016436 41.380204, -81.013533 41.388822, -81.004436 41.388734, -80.998021 41.390367, -80.990044 41.390392, -80.990037 41.405384, -80.988258 41.408665, -80.973891 41.423455, -80.972537 41.430033, -80.963745 41.428795, -80.955538 41.429597, -80.948978 41.428776, -80.935243 41.433389, -80.935034 41.435183, -80.935896 41.442218, -80.954661 41.458333, -80.954975 41.448009, -80.959624 41.456207, -80.954241 41.464022, -80.953189 41.467345, -80.934652 41.467192, -80.926724 41.470871, -80.922369 41.47651, -80.904696 41.47545, -80.904565 41.493522))"
"39","45761","3945761","B5","G6350","S","85992153","452794","+39.4257599","-082.0752549","N","POLYGON ((-82.027751 39.453559, -82.03765 39.451683, -82.043611 39.448904, -82.049006 39.450117, -82.048026 39.442012, -82.052767 39.438473, -82.059818 39.442085, -82.061227 39.451695, -82.056631 39.453697, -82.055779 39.460053, -82.089482 39.46188, -82.103647 39.458558, -82.111954 39.463106, -82.124818 39.463905, -82.136888 39.462036, -82.139338 39.464503, -82.151094 39.464099, -82.157404 39.460347, -82.160486 39.463794, -82.167647 39.463124, -82.170671 39.431533, -82.160363 39.429745, -82.147029 39.419205, -82.141333 39.418946, -82.130062 39.405031, -82.125981 39.408078, -82.116292 39.406277, -82.119167 39.398451, -82.123282 39.396038, -82.122907 39.392598, -82.131073 39.393558, -82.125542 39.388397, -82.116707 39.383837, -82.117402 39.378154, -82.115587 39.374591, -82.09333 39.373462, -82.089689 39.377592, -82.076035 39.38381, -82.068224 39.398794, -82.06792 39.401712, -82.075636 39.411931, -82.067425 39.410105, -82.060494 39.411205, -82.062035 39.394482, -82.056911 39.397605, -82.045157 39.399783, -82.038129 39.403473, -82.031425 39.403983, -82.024773 39.401537, -82.016025 39.405669, -82.013398 39.413571, -82.010133 39.41646, -82.009837 39.421864, -82.006041 39.424245, -82.006331 39.431378, -82.013066 39.434902, -82.01832 39.440703, -82.021918 39.441753, -82.021848 39.446583, -82.027751 39.453559))"
"39","45766","3945766","B5","G6350","S","76433273","291099","+39.3252493","-082.2576691","N","POLYGON ((-82.212268 39.370038, -82.218287 39.373645, -82.227128 39.375489, -82.232797 39.374672, -82.242657 39.376397, -82.246814 39.38174, -82.252285 39.380028, -82.253857 39.37574, -82.265461 39.375601, -82.267861 39.371246, -82.27494 39.370146, -82.290233 39.378412, -82.295486 39.325259, -82.297656 39.3033, -82.301061 39.304697, -82.30752 39.302746, -82.311312 39.30336, -82.320523 39.300966, -82.319017 39.295381, -82.323059 39.290855, -82.316542 39.289438, -82.308182 39.281074, -82.302762 39.278668, -82.3046 39.274868, -82.3032 39.275837, -82.296101 39.288642, -82.291593 39.282692, -82.294161 39.276115, -82.29143 39.274011, -82.288347 39.264643, -82.276633 39.271882, -82.272674 39.277009, -82.266231 39.279806, -82.261629 39.278085, -82.260626 39.288834, -82.25368 39.285746, -82.245515 39.287213, -82.238579 39.276988, -82.226424 39.276364, -82.226451 39.27394, -82.217635 39.27132, -82.211877 39.280206, -82.220284 39.287448, -82.225281 39.295893, -82.21427 39.301815, -82.214349 39.307054, -82.209645 39.308522, -82.205358 39.315653, -82.216295 39.323964, -82.21557 39.329752, -82.219465 39.329698, -82.219349 39.339083, -82.221463 39.343657, -82.224896 39.345089, -82.226264 39.352022, -82.224048 39.355857, -82.224171 39.365781, -82.215601 39.364102, -82.215935 39.36793, -82.212268 39.370038))"
