STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10,WKT
"40","73726","4073726","B5","G6350","S","275332411","223394","+36.5877809","-098.4971118","N","POLYGON ((-98.360489 36.65208, -98.366712 36.652106, -98.377634 36.637599, -98.450597 36.637496, -98.450648 36.623005, -98.486626 36.623184, -98.486613 36.608653, -98.505754 36.608668, -98.526455 36.625111, -98.529131 36.623155, -98.540502 36.623168, -98.5405 36.59421, -98.576453 36.594263, -98.576444 36.608635, -98.594395 36.608756, -98.594411 36.594315, -98.61241 36.594307, -98.612386 36.608813, -98.66627 36.6089, -98.684176 36.608845, -98.684185 36.594452, -98.693479 36.594481, -98.69352 36.549959, -98.657675 36.549947, -98.657658 36.564424, -98.639699 36.564425, -98.639723 36.549991, -98.605167 36.550023, -98.605208 36.535514, -98.623219 36.535485, -98.62319 36.521039, -98.596306 36.520901, -98.59631 36.528083, -98.55148 36.528287, -98.551491 36.535609, -98.533506 36.535614, -98.533537 36.521145, -98.498291 36.521103, -98.498265 36.52839, -98.489494 36.528424, -98.489497 36.535593, -98.471205 36.535572, -98.471032 36.542745, -98.458918 36.542827, -98.45434 36.537405, -98.446818 36.538646, -98.437119 36.544645, -98.43559 36.549959, -98.4085 36.550143, -98.408558 36.557032, -98.390726 36.550183, -98.342113 36.550113, -98.345708 36.554728, -98.346118 36.579152, -98.301624 36.578969, -98.301657 36.593822, -98.31575 36.594352, -98.315884 36.601235, -98.324772 36.601268, -98.324675 36.608447, -98.333948 36.608481, -98.334 36.615831, -98.34263 36.615777, -98.342577 36.622985, -98.36067 36.623014, -98.360489 36.65208))"
"40","73432","4073432","B5","G6350","S","153113223","1288377","+34.2512365","-096.4138726","N","POLYGON ((-96.407099 34.334094, -96.418663 34.333511, -96.419497 34.327646, -96.424676 34.320661, -96.424763 34.2952, -96.441746 34.295145, -96.442279 34.298782, -96.45357 34.299047, -96.453899 34.303179, -96.469697 34.303136, -96.469689 34.295744, -96.460989 34.295723, -96.460905 34.274087, -96.482619 34.274345, -96.484331 34.278038, -96.489489 34.281622, -96.494345 34.298085, -96.496169 34.296147, -96.496733 34.288141, -96.496188 34.274124, -96.513758 34.274119, -96.513758 34.245048, -96.509526 34.24089, -96.514504 34.227506, -96.508008 34.223466, -96.500584 34.22468, -96.489184 34.220952, -96.490623 34.216567, -96.481298 34.211017, -96.475131 34.213608, -96.469573 34.208696, -96.464722 34.208857, -96.46262 34.203015, -96.464017 34.200678, -96.447078 34.196971, -96.443239 34.199092, -96.437491 34.18951, -96.437909 34.185219, -96.432639 34.182012, -96.433288 34.178745, -96.425761 34.173952, -96.41995 34.171855, -96.414442 34.166426, -96.413552 34.160459, -96.411281 34.165639, -96.411663 34.172627, -96.416251 34.179065, -96.416361 34.186247, -96.407705 34.186219, -96.407267 34.258761, -96.404408 34.257594, -96.398041 34.249338, -96.39648 34.244221, -96.390282 34.244233, -96.390188 34.232647, -96.37988 34.220387, -96.372795 34.216311, -96.372859 34.243086, -96.372383 34.244183, -96.337937 34.244185, -96.33626 34.25977, -96.326529 34.261514, -96.326171 34.268908, -96.324264 34.2732, -96.329171 34.276752, -96.317451 34.277039, -96.312855 34.273441, -96.302975 34.273252, -96.302907 34.302149, -96.337827 34.302201, -96.33789 34.287698, -96.372888 34.287701, -96.372844 34.301726, -96.35522 34.302229, -96.354803 34.309643, -96.397721 34.309597, -96.40418 34.318519, -96.407155 34.317232, -96.407099 34.334094))"
"40","73844","4073844","B5","G6350","S","880282180","5802980","+36.8716870","-100.1421511","N","POLYGON ((-100.366694 36.860167, -100.364632 36.848632, -100.334069 36.848377, -100.271885 36.848612, -100.26668 36.84246, -100.26306 36.84547, -100.254208 36.847422, -100.25427 36.83066, -100.25812 36.83146, -100.26069 36.82381, -100.25573 36.81739, -100.25817 36.81076, -100.2728 36.80991, -100.273346 36.79965, -100.265976 36.796305, -100.262764 36.789183, -100.2545 36.786843, -100.254575 36.781268, -100.248929 36.78013, -100.241505 36.781663, -100.225709 36.775898, -100.219691 36.770434, -100.206246 36.766849, -100.192295 36.76535, -100.179853 36.76817, -100.172314 36.768809, -100.171718 36.764856, -100.165677 36.764806, -100.154015 36.767077, -100.152233 36.762898, -100.14748 36.762884, -100.141452 36.766277, -100.136707 36.772826, -100.12959 36.772328, -100.126851 36.767922, -100.121179 36.763909, -100.113569 36.765416, -100.106303 36.768718, -100.09223 36.770652, -100.088901 36.774355, -100.089099 36.783351, -100.078347 36.787655, -100.069423 36.78803, -100.065375 36.786257, -100.048899 36.794028, -100.036735 36.793174, -100.033756 36.790392, -100.020369 36.789252, -100.019033 36.792533, -100.022516 36.797936, -100.019475 36.800198, -100.011124 36.794514, -100.003798 36.796952, -100.00386 36.77542, -99.994629 36.775471, -99.994605 36.768108, -99.981117 36.767976, -99.980815 36.734963, -99.976206 36.735785, -99.945323 36.735565, -99.945283 36.739061, -99.891168 36.738907, -99.891262 36.769099, -99.890696 36.795691, -99.890793 36.812118, -99.919215 36.812158, -99.927128 36.812681, -99.927126 36.808823, -99.934568 36.80903, -99.944105 36.82019, -99.950281 36.82399, -99.953697 36.817982, -99.957129 36.816813, -99.966483 36.81818, -99.9722 36.816816, -99.98091 36.818812, -99.985012 36.824949, -99.985 36.829899, -99.980847 36.832698, -99.963042 36.828187, -99.962778 36.870172, -99.944908 36.870452, -99.944927 36.884937, -99.927012 36.885198, -99.927008 36.899854, -99.96257 36.899182, -99.96227 36.919546, -99.963168 36.92488, -99.973076 36.958821, -100.002695 36.958697, -100.002563 37.001706, -100.107891 37.002312, -100.249931 37.001882, -100.307346 37.001813, -100.423361 37.001104, -100.40921 36.99783, -100.40767 36.99578, -100.412766 36.987761, -100.40841 36.98003, -100.39505 36.9867, -100.37221 36.98529, -100.37132 36.98434, -100.37383 36.97022, -100.37253 36.96318, -100.37213 36.94694, -100.36927 36.9445, -100.36775 36.92138, -100.37267 36.91142, -100.37173 36.90281, -100.37245 36.88942, -100.37515 36.88778, -100.37606 36.8817, -100.37265 36.87908, -100.36979 36.87235, -100.366694 36.860167))"
"40","73627","4073627","B5","G6350","S","262460058","1306141","+35.1970136","-099.4527044","N","POLYGON ((-99.553623 35.16395, -99.548646 35.160198, -99.542862 35.161954, -99.538695 35.161018, -99.534235 35.163199, -99.529027 35.162389, -99.524061 35.158712, -99.519465 35.15855, -99.510471 35.163246, -99.506624 35.167505, -99.501324 35.165675, -99.494271 35.147278, -99.487375 35.13975, -99.481053 35.136829, -99.47467 35.142122, -99.474613 35.1493, -99.478609 35.15225, -99.479179 35.155939, -99.462957 35.151588, -99.460906 35.148799, -99.448289 35.142474, -99.445009 35.139418, -99.451518 35.133413, -99.451485 35.129096, -99.445036 35.126028, -99.439768 35.118449, -99.440657 35.116538, -99.443827 35.112848, -99.439998 35.109104, -99.428173 35.109294, -99.423945 35.114057, -99.415874 35.111766, -99.409291 35.114509, -99.409268 35.116493, -99.360226 35.116738, -99.360219 35.204464, -99.364289 35.204466, -99.364392 35.212837, -99.368621 35.213093, -99.371526 35.217192, -99.372481 35.224451, -99.375861 35.229672, -99.382204 35.233461, -99.3822 35.247885, -99.399459 35.247895, -99.399628 35.291323, -99.427751 35.291319, -99.441014 35.290646, -99.449495 35.291338, -99.47037 35.291348, -99.47041 35.276865, -99.523697 35.276939, -99.523259 35.27508, -99.523298 35.247974, -99.548143 35.247814, -99.552368 35.243154, -99.559409 35.24139, -99.556087 35.236352, -99.556674 35.233283, -99.564517 35.230488, -99.562536 35.22687, -99.557344 35.225014, -99.556786 35.220113, -99.55994 35.21725, -99.554387 35.209281, -99.560861 35.208777, -99.558908 35.198264, -99.557011 35.194623, -99.563149 35.193615, -99.563623 35.186309, -99.568449 35.185163, -99.570764 35.180331, -99.565185 35.176712, -99.568141 35.169703, -99.558324 35.163749, -99.553623 35.16395))"
"40","73772","4073772","B5","G6350","S","632870088","627873","+35.8632464","-098.4302957","N","POLYGON ((-98.547589 35.913271, -98.547218 35.898779, -98.525614 35.898765, -98.525498 35.884694, -98.508293 35.884738, -98.508343 35.855748, -98.490646 35.855729, -98.490638 35.841497, -98.543312 35.84113, -98.543279 35.812252, -98.561079 35.812278, -98.561138 35.797595, -98.543362 35.797724, -98.543377 35.790463, -98.531701 35.790444, -98.525548 35.793339, -98.525505 35.797679, -98.508185 35.797596, -98.508141 35.754152, -98.543394 35.754227, -98.543364 35.725193, -98.490457 35.725149, -98.490438 35.710819, -98.508243 35.710711, -98.508068 35.681787, -98.472643 35.681736, -98.472796 35.710741, -98.472759 35.725199, -98.437151 35.72526, -98.437181 35.739752, -98.419386 35.739774, -98.419314 35.775938, -98.39126 35.77591, -98.393299 35.771419, -98.373718 35.765328, -98.366208 35.757731, -98.365724 35.75, -98.359607 35.7376, -98.359757 35.72885, -98.355624 35.726548, -98.355653 35.719222, -98.347303 35.718153, -98.340659 35.722194, -98.336042 35.721618, -98.335778 35.717754, -98.326097 35.723063, -98.321358 35.718349, -98.316295 35.722778, -98.313252 35.718047, -98.31337 35.725204, -98.26037 35.725227, -98.260488 35.754247, -98.241433 35.754336, -98.238579 35.758345, -98.234141 35.759056, -98.23212 35.762744, -98.224467 35.760255, -98.224512 35.763982, -98.22466 35.775947, -98.242697 35.789908, -98.242636 35.797851, -98.252304 35.797828, -98.289081 35.82892, -98.310101 35.835554, -98.316521 35.841063, -98.316355 35.86017, -98.328162 35.882323, -98.331137 35.879389, -98.342292 35.879003, -98.351659 35.909648, -98.355895 35.916648, -98.365359 35.935459, -98.3778 35.961961, -98.383528 35.970812, -98.431698 35.970783, -98.449501 35.971066, -98.440543 35.97796, -98.440612 35.999473, -98.422615 35.999391, -98.422876 36.014163, -98.425013 36.014193, -98.431695 36.014228, -98.431786 36.019335, -98.423653 36.028289, -98.43183 36.033728, -98.431878 36.057112, -98.452894 36.05713, -98.460611 36.056567, -98.479839 36.057387, -98.479341 36.052791, -98.482365 36.049948, -98.483178 36.044944, -98.487754 36.038459, -98.50092 36.028703, -98.51206 36.028839, -98.511983 36.043261, -98.52995 36.043313, -98.529945 36.029006, -98.547758 36.028896, -98.547695 36.014398, -98.555008 36.013775, -98.552077 36.009519, -98.55753 36.007541, -98.558119 36.001522, -98.565375 35.999862, -98.560706 35.995064, -98.561588 35.985451, -98.56538 35.985463, -98.565223 35.970965, -98.552432 35.971275, -98.547564 35.968348, -98.547589 35.913271))"
"40","73763","4073763","B5","G6350","S","516206477","795746","+36.0928710","-098.3263866","N","POLYGON ((-98.425013 36.014193, -98.423128 36.014629, -98.418095 36.012644, -98.4093 36.016292, -98.400666 36.013084, -98.409103 36.028277, -98.370326 36.028618, -98.370272 35.99971, -98.334162 35.999956, -98.227937 35.999961, -98.210134 35.999476, -98.210141 36.014469, -98.192496 36.01436, -98.192907 36.086964, -98.174925 36.086888, -98.174856 36.057671, -98.157083 36.057759, -98.157037 36.050401, -98.111584 36.050523, -98.123684 36.05279, -98.134926 36.057574, -98.14161 36.066742, -98.148156 36.070768, -98.152264 36.076238, -98.151813 36.086934, -98.156074 36.092937, -98.15228 36.107077, -98.15687 36.114046, -98.172998 36.122467, -98.171473 36.129727, -98.191557 36.137352, -98.199951 36.143989, -98.210341 36.147559, -98.210544 36.16489, -98.23032 36.164951, -98.235966 36.174841, -98.239776 36.193082, -98.242521 36.196592, -98.251809 36.188508, -98.281922 36.188489, -98.281951 36.202925, -98.317362 36.202809, -98.317306 36.188358, -98.335194 36.18834, -98.335111 36.164891, -98.353019 36.164909, -98.35317 36.188138, -98.371091 36.18799, -98.371011 36.202454, -98.406657 36.202252, -98.40665 36.216779, -98.423808 36.216525, -98.423749 36.173124, -98.441567 36.173057, -98.441585 36.164927, -98.501111 36.165067, -98.508569 36.165125, -98.512677 36.162677, -98.512553 36.148018, -98.476769 36.116838, -98.475531 36.099554, -98.476681 36.090887, -98.47665 36.078462, -98.482518 36.066115, -98.479839 36.057387, -98.460611 36.056567, -98.452894 36.05713, -98.431878 36.057112, -98.43183 36.033728, -98.423653 36.028289, -98.431786 36.019335, -98.431695 36.014228, -98.425013 36.014193))"
"40","74747","4074747","B5","G6350","S","1107285","9355","+33.7765839","-096.3573167","N","POLYGON ((-96.357589 33.76944, -96.350702 33.765831, -96.353053 33.773215, -96.353 33.780318, -96.361244 33.780196, -96.361696 33.77302, -96.357589 33.76944))"
"40","73005","4073005","B5","G6350","S","399764803","1602248","+35.0513083","-098.2401410","N","POLYGON ((-98.391945 35.014775, -98.355277 35.014691, -98.356716 35.011015, -98.35671 35.000261, -98.33912 35.000249, -98.339144 34.985701, -98.330342 34.985727, -98.334879 34.999453, -98.335686 35.009125, -98.332395 35.01465, -98.303967 35.014572, -98.303974 35.007378, -98.309851 35.007826, -98.306992 35.000104, -98.303993 35.000096, -98.303984 34.989217, -98.295271 34.981548, -98.30397 34.973836, -98.303928 34.956633, -98.286468 34.956575, -98.286522 34.985595, -98.268931 34.985532, -98.268811 34.934816, -98.260143 34.934872, -98.260164 34.942076, -98.251336 34.942066, -98.251314 34.959166, -98.243369 34.95911, -98.234146 34.963529, -98.233767 34.97102, -98.180807 34.970849, -98.18068 34.985317, -98.128145 34.985234, -98.128208 35.014133, -98.093005 35.014147, -98.092989 35.064887, -98.110694 35.064887, -98.110511 35.076824, -98.106094 35.078863, -98.106196 35.083523, -98.110586 35.086882, -98.128189 35.086958, -98.128235 35.081862, -98.135268 35.081122, -98.14576 35.078034, -98.149435 35.081169, -98.152613 35.078124, -98.162104 35.079324, -98.169564 35.07878, -98.170699 35.083551, -98.169165 35.087885, -98.146601 35.087824, -98.144048 35.102311, -98.161671 35.102428, -98.161689 35.116906, -98.144066 35.116804, -98.144065 35.124667, -98.161695 35.125109, -98.161835 35.158611, -98.170398 35.160316, -98.170581 35.174805, -98.179401 35.174843, -98.211094 35.174836, -98.213992 35.173543, -98.214168 35.160415, -98.231785 35.160499, -98.231803 35.146035, -98.249689 35.146102, -98.25013 35.137576, -98.253842 35.122675, -98.253128 35.117213, -98.284628 35.117275, -98.284634 35.131676, -98.293413 35.131733, -98.293413 35.146107, -98.302055 35.146123, -98.302047 35.153313, -98.319616 35.153399, -98.31956 35.117285, -98.328874 35.117308, -98.332714 35.120444, -98.336916 35.117348, -98.354763 35.117304, -98.351081 35.112014, -98.350982 35.106624, -98.35669 35.106011, -98.356772 35.102847, -98.36121 35.099305, -98.358223 35.093053, -98.354861 35.090224, -98.363149 35.087155, -98.355486 35.082482, -98.356043 35.079427, -98.36493 35.077637, -98.364008 35.07324, -98.372316 35.074094, -98.374493 35.072386, -98.383316 35.072399, -98.383303 35.068597, -98.374693 35.068733, -98.378164 35.063568, -98.376083 35.058008, -98.383327 35.058115, -98.383416 35.031582, -98.392141 35.031035, -98.391945 35.014775))"
"40","73042","4073042","B5","G6350","S","275681463","686880","+35.2228720","-098.2469439","N","POLYGON ((-98.332714 35.120444, -98.328874 35.117308, -98.31956 35.117285, -98.319616 35.153399, -98.302047 35.153313, -98.302055 35.146123, -98.293413 35.146107, -98.293413 35.131733, -98.284634 35.131676, -98.284628 35.117275, -98.253128 35.117213, -98.253842 35.122675, -98.25013 35.137576, -98.249689 35.146102, -98.231803 35.146035, -98.231785 35.160499, -98.214168 35.160415, -98.213992 35.173543, -98.211094 35.174836, -98.179401 35.174843, -98.179421 35.189262, -98.1532 35.189345, -98.155792 35.203782, -98.14784 35.203737, -98.147895 35.218212, -98.156271 35.218198, -98.156321 35.24723, -98.165698 35.247211, -98.165962 35.276212, -98.183592 35.27638, -98.183126 35.290705, -98.190643 35.290704, -98.190345 35.297279, -98.192216 35.304034, -98.196494 35.309025, -98.1963 35.320566, -98.192251 35.325121, -98.192462 35.338091, -98.201177 35.336564, -98.201171 35.347458, -98.218784 35.348153, -98.218829 35.36234, -98.239596 35.362635, -98.242238 35.365039, -98.249157 35.362633, -98.254047 35.36272, -98.253908 35.354316, -98.254051 35.338953, -98.252199 35.334071, -98.253988 35.328567, -98.253752 35.300787, -98.264945 35.294866, -98.276407 35.294441, -98.287116 35.279997, -98.288961 35.279998, -98.288957 35.26241, -98.272116 35.261809, -98.271298 35.269131, -98.262601 35.268911, -98.262309 35.232744, -98.271386 35.232907, -98.271378 35.247274, -98.277524 35.250792, -98.275438 35.254474, -98.306409 35.254455, -98.306411 35.247304, -98.324027 35.247185, -98.324006 35.261752, -98.34165 35.261715, -98.341578 35.232747, -98.359166 35.232759, -98.359224 35.218648, -98.341545 35.218408, -98.341614 35.204028, -98.340529 35.201705, -98.354616 35.188341, -98.354675 35.175088, -98.345869 35.175096, -98.345857 35.153341, -98.336955 35.153379, -98.33692 35.146234, -98.328286 35.146188, -98.328195 35.131856, -98.330531 35.128673, -98.329736 35.123578, -98.332714 35.120444))"
"40","73047","4073047","B5","G6350","S","391348174","1839536","+35.4568162","-098.3151150","N","POLYGON ((-98.465212 35.406243, -98.41206 35.406338, -98.412033 35.413883, -98.401142 35.413889, -98.398621 35.406829, -98.372567 35.406357, -98.362544 35.420909, -98.30628 35.420484, -98.306326 35.377239, -98.271672 35.377091, -98.271748 35.370197, -98.275237 35.36622, -98.283495 35.363311, -98.284088 35.359467, -98.277579 35.357776, -98.272859 35.362845, -98.262802 35.362819, -98.262775 35.353128, -98.253908 35.354316, -98.254047 35.36272, -98.249157 35.362633, -98.242238 35.365039, -98.239596 35.362635, -98.218829 35.36234, -98.21891 35.376813, -98.201253 35.376862, -98.201396 35.391322, -98.166639 35.391745, -98.166832 35.406148, -98.159916 35.406178, -98.156616 35.398979, -98.143103 35.398917, -98.137013 35.394976, -98.131681 35.405748, -98.131756 35.420603, -98.114056 35.420917, -98.12074 35.425735, -98.12981 35.435251, -98.134395 35.44258, -98.134446 35.446018, -98.139595 35.451131, -98.149226 35.455037, -98.160479 35.460559, -98.169307 35.456845, -98.177374 35.44942, -98.186186 35.452187, -98.200399 35.455332, -98.211813 35.463191, -98.227835 35.468192, -98.232068 35.472883, -98.239006 35.483963, -98.241632 35.494418, -98.248749 35.496706, -98.248995 35.503335, -98.253753 35.516519, -98.279684 35.528271, -98.286141 35.528485, -98.294933 35.530305, -98.301478 35.537729, -98.308218 35.541047, -98.308297 35.551312, -98.313489 35.551504, -98.429619 35.55147, -98.425039 35.546067, -98.424493 35.536531, -98.438438 35.536578, -98.43844 35.529036, -98.46489 35.529298, -98.464956 35.485796, -98.447428 35.485796, -98.447334 35.449523, -98.473913 35.44964, -98.473935 35.420904, -98.465285 35.420674, -98.465212 35.406243))"
