STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10,WKT
"42","17301","4217301","B5","G6350","S","34007289","108807","+39.8952403","-076.9789710","N","POLYGON ((-76.965788 39.918266, -76.969993 39.923703, -76.98479 39.933149, -76.986731 39.923751, -76.990538 39.917375, -76.998803 39.91704, -77.010499 39.910059, -77.018969 39.909372, -77.020797 39.904669, -77.016882 39.894456, -77.015121 39.885371, -77.007167 39.878653, -77.015368 39.874557, -77.010543 39.865733, -77.006255 39.865366, -77.006258 39.858226, -77.00078 39.858225, -77.00078 39.864365, -76.98761 39.864351, -76.978583 39.867672, -76.970705 39.873161, -76.963509 39.874182, -76.962105 39.865023, -76.95727 39.859307, -76.94354 39.865521, -76.935683 39.870396, -76.931142 39.868438, -76.936259 39.884564, -76.941232 39.880978, -76.945858 39.886711, -76.948531 39.894179, -76.95082 39.892151, -76.960056 39.901919, -76.96156 39.911071, -76.965788 39.918266))"
"42","17353","4217353","B5","G6350","S","105676905","152545","+39.8831803","-077.3718454","N","POLYGON ((-77.338264 39.877507, -77.345556 39.881155, -77.348707 39.887911, -77.356282 39.891619, -77.36653 39.891607, -77.370216 39.889736, -77.377524 39.89273, -77.387409 39.891742, -77.391246 39.895277, -77.391253 39.902225, -77.361584 39.902285, -77.353456 39.900032, -77.342653 39.902339, -77.334659 39.912234, -77.323828 39.921237, -77.314333 39.926539, -77.319075 39.933073, -77.330159 39.937402, -77.335897 39.943345, -77.34503 39.946522, -77.354761 39.942811, -77.376451 39.956487, -77.387657 39.958971, -77.390909 39.96187, -77.400474 39.952261, -77.410912 39.944121, -77.416784 39.93394, -77.421948 39.928563, -77.432875 39.923716, -77.451776 39.911191, -77.450914 39.90609, -77.431225 39.903835, -77.434582 39.896225, -77.430098 39.888052, -77.432204 39.881134, -77.428444 39.874977, -77.434657 39.863012, -77.433507 39.857775, -77.428651 39.855578, -77.435123 39.839264, -77.441466 39.839319, -77.441545 39.833405, -77.427803 39.824313, -77.422974 39.818175, -77.413953 39.818231, -77.411431 39.825522, -77.402091 39.823218, -77.396758 39.836371, -77.388015 39.836764, -77.378523 39.841361, -77.370217 39.84223, -77.36815 39.839389, -77.370978 39.830214, -77.359384 39.830319, -77.342393 39.82596, -77.33637 39.83113, -77.338977 39.838567, -77.336942 39.846131, -77.330358 39.84574, -77.334731 39.855957, -77.32991 39.856542, -77.329855 39.863051, -77.33899 39.867445, -77.347392 39.873233, -77.347111 39.879114, -77.338264 39.877507))"
"42","17325","4217325","B5","G6350","S","332807406","1705737","+39.8262536","-077.2276351","N","POLYGON ((-77.370978 39.830214, -77.375023 39.820476, -77.36707 39.819897, -77.366637 39.809001, -77.355201 39.799934, -77.347615 39.798306, -77.342436 39.792969, -77.340425 39.787532, -77.322365 39.787084, -77.31092 39.785004, -77.301386 39.779354, -77.313791 39.769071, -77.306913 39.764975, -77.298862 39.756149, -77.292035 39.752139, -77.285813 39.742357, -77.299198 39.726613, -77.29301 39.719904, -77.200217 39.719844, -77.187389 39.729307, -77.195526 39.739376, -77.206625 39.741767, -77.202945 39.753901, -77.195871 39.752081, -77.195318 39.761399, -77.192965 39.762656, -77.17709 39.757146, -77.162812 39.749965, -77.158734 39.761901, -77.163787 39.77051, -77.165856 39.778588, -77.16067 39.795177, -77.145515 39.791501, -77.139081 39.799932, -77.130635 39.806237, -77.116624 39.798814, -77.109173 39.806226, -77.104863 39.80939, -77.096407 39.806579, -77.093112 39.811908, -77.082361 39.824052, -77.090774 39.828397, -77.10217 39.839072, -77.113523 39.84816, -77.122598 39.85228, -77.116381 39.857054, -77.113777 39.862273, -77.121633 39.862054, -77.115515 39.870041, -77.126505 39.872674, -77.124843 39.877969, -77.12891 39.881218, -77.129991 39.887206, -77.137108 39.88296, -77.149223 39.883458, -77.158054 39.893209, -77.153181 39.909315, -77.142369 39.917429, -77.140641 39.921083, -77.145193 39.924892, -77.146806 39.930363, -77.134084 39.936745, -77.131713 39.949312, -77.1462 39.949235, -77.144622 39.952299, -77.151801 39.962415, -77.161901 39.956968, -77.16297 39.94747, -77.172721 39.946914, -77.165764 39.938822, -77.165819 39.932159, -77.178219 39.936686, -77.184644 39.933264, -77.189871 39.927896, -77.178838 39.920637, -77.208022 39.910877, -77.21547 39.905387, -77.2219 39.910678, -77.227618 39.902755, -77.237537 39.895168, -77.239818 39.896888, -77.232305 39.905404, -77.238189 39.911862, -77.250232 39.911734, -77.256183 39.907227, -77.270558 39.902966, -77.27857 39.907342, -77.283579 39.913722, -77.291509 39.910793, -77.287123 39.904863, -77.290752 39.901047, -77.298759 39.905871, -77.304843 39.901196, -77.305998 39.893905, -77.310355 39.889145, -77.315346 39.879195, -77.320185 39.877394, -77.322315 39.869924, -77.318108 39.866913, -77.308919 39.863004, -77.308956 39.857371, -77.32991 39.856542, -77.334731 39.855957, -77.330358 39.84574, -77.336942 39.846131, -77.338977 39.838567, -77.33637 39.83113, -77.342393 39.82596, -77.359384 39.830319, -77.370978 39.830214))"
"42","15018","4215018","B5","G6350","S","4878525","414063","+40.2658848","-079.7970672","N","POLYGON ((-79.808422 40.280292, -79.798189 40.272513, -79.802381 40.268013, -79.796549 40.262591, -79.797419 40.255505, -79.808461 40.254703, -79.806057 40.241958, -79.805015 40.241106, -79.798463 40.247715, -79.796099 40.253365, -79.788015 40.2613, -79.788779 40.265312, -79.794853 40.271784, -79.794715 40.281683, -79.781199 40.281966, -79.775139 40.287888, -79.779522 40.292665, -79.787853 40.297693, -79.787007 40.296061, -79.804695 40.280833, -79.808422 40.280292))"
"42","15215","4215215","B5","G6350","S","15933677","765794","+40.5036930","-079.9132202","N","POLYGON ((-79.90168 40.486218, -79.901626 40.488985, -79.88907 40.486645, -79.884608 40.48775, -79.881847 40.494698, -79.883479 40.500005, -79.892972 40.512343, -79.89409 40.517044, -79.905991 40.524175, -79.914676 40.519693, -79.914978 40.526184, -79.922224 40.524485, -79.933307 40.523479, -79.938219 40.519269, -79.94107 40.511555, -79.945599 40.510061, -79.944788 40.504172, -79.940547 40.501483, -79.938355 40.490983, -79.934338 40.49157, -79.927922 40.491538, -79.90168 40.486218))"
"42","15238","4215238","B5","G6350","S","42425826","2074022","+40.5372012","-079.8794436","N","POLYGON ((-79.879336 40.5872, -79.885659 40.588742, -79.895014 40.586472, -79.915383 40.57793, -79.915228 40.567494, -79.915083 40.554947, -79.91296 40.546863, -79.913097 40.536165, -79.920627 40.535972, -79.923212 40.530518, -79.922224 40.524485, -79.914978 40.526184, -79.914676 40.519693, -79.905991 40.524175, -79.89409 40.517044, -79.892972 40.512343, -79.883479 40.500005, -79.881847 40.494698, -79.884608 40.48775, -79.88907 40.486645, -79.901626 40.488985, -79.90168 40.486218, -79.883772 40.483406, -79.874238 40.48355, -79.859138 40.487227, -79.851113 40.493601, -79.849451 40.507425, -79.850625 40.519843, -79.847433 40.526198, -79.840311 40.530761, -79.821799 40.536257, -79.824639 40.548233, -79.836808 40.543716, -79.844479 40.536211, -79.853023 40.540096, -79.861015 40.541356, -79.868351 40.547269, -79.868798 40.556014, -79.881554 40.551289, -79.883693 40.555568, -79.869114 40.562531, -79.866907 40.565925, -79.875255 40.570885, -79.888148 40.568447, -79.893637 40.569137, -79.890558 40.575397, -79.88248 40.574941, -79.875851 40.577808, -79.879336 40.5872))"
"42","15017","4215017","B5","G6350","S","33756097","125432","+40.3396144","-080.1282165","N","MULTIPOLYGON (((-80.112766 40.301825, -80.110008 40.296593, -80.10281 40.29364, -80.094945 40.305907, -80.116156 40.312324, -80.116341 40.306929, -80.112766 40.301825)), ((-80.116156 40.312324, -80.115891 40.322156, -80.113457 40.324409, -80.103916 40.32509, -80.10227 40.332848, -80.114062 40.33181, -80.114903 40.335357, -80.107898 40.34725, -80.098071 40.350006, -80.097762 40.357526, -80.095184 40.363368, -80.095697 40.371679, -80.088297 40.375677, -80.090413 40.381981, -80.099852 40.385176, -80.099347 40.389711, -80.105592 40.393184, -80.111711 40.389695, -80.115157 40.390119, -80.115133 40.374769, -80.120495 40.372373, -80.127415 40.360947, -80.131911 40.356701, -80.138159 40.35486, -80.140437 40.35289, -80.147034 40.351475, -80.15103 40.347171, -80.164469 40.345679, -80.17729 40.339742, -80.183462 40.332774, -80.170238 40.328624, -80.155982 40.324311, -80.164256 40.319179, -80.171933 40.318162, -80.15577 40.310192, -80.153478 40.312711, -80.132114 40.30627, -80.130258 40.310156, -80.123665 40.313302, -80.116156 40.312324)))"
"42","15030","4215030","B5","G6350","S","4868191","654829","+40.5916554","-079.7825030","N","POLYGON ((-79.764001 40.592735, -79.776973 40.59728, -79.781289 40.606054, -79.789116 40.605965, -79.788472 40.59014, -79.796437 40.590122, -79.796102 40.583532, -79.788122 40.583363, -79.787915 40.575139, -79.780676 40.573508, -79.775699 40.562828, -79.77187 40.562967, -79.77437 40.569767, -79.773331 40.580758, -79.764001 40.592735))"
"42","15218","4215218","B5","G6350","S","6141943","265929","+40.4236101","-079.8898030","N","POLYGON ((-79.89899 40.436443, -79.901368 40.42723, -79.906868 40.425699, -79.915574 40.417531, -79.911536 40.414896, -79.899542 40.415871, -79.890529 40.410548, -79.887327 40.416888, -79.869512 40.414043, -79.873995 40.420692, -79.875826 40.428079, -79.872194 40.43375, -79.879135 40.434028, -79.886038 40.436831, -79.893337 40.433623, -79.89899 40.436443))"
"42","15204","4215204","B5","G6350","S","4830272","225010","+40.4568668","-080.0606302","N","POLYGON ((-80.083913 40.459466, -80.072936 40.449607, -80.064703 40.449275, -80.056646 40.444562, -80.05103 40.44922, -80.037568 40.454049, -80.051178 40.465599, -80.060988 40.464078, -80.068156 40.460911, -80.076498 40.464657, -80.083913 40.459466))"
"42","15213","4215213","B5","G6350","S","5519395","0","+40.4440426","-079.9552472","N","POLYGON ((-79.965944 40.459178, -79.961922 40.454923, -79.955636 40.453696, -79.959435 40.44772, -79.964543 40.44888, -79.968461 40.444649, -79.975045 40.44366, -79.972981 40.436007, -79.959935 40.432218, -79.950431 40.427598, -79.949865 40.439517, -79.947009 40.441483, -79.934033 40.437707, -79.940236 40.44154, -79.937986 40.446943, -79.943082 40.454566, -79.960349 40.460466, -79.965944 40.459178), (-79.952502 40.440445, -79.956438 40.441949, -79.953545 40.443175, -79.952502 40.440445))"
"42","15225","4215225","B5","G6350","S","3965382","2109158","+40.5066734","-080.1138415","N","POLYGON ((-80.067526 40.492271, -80.076255 40.499335, -80.087668 40.502611, -80.108363 40.510521, -80.120288 40.51314, -80.137723 40.516329, -80.147264 40.520404, -80.16148 40.523803, -80.149637 40.514918, -80.138102 40.511297, -80.126923 40.506281, -80.099135 40.49943, -80.081037 40.491511, -80.067526 40.492271))"
"42","15049","4215049","B5","G6350","S","1116546","0","+40.5561125","-079.8055741","N","POLYGON ((-79.811297 40.561932, -79.811163 40.553967, -79.807907 40.549532, -79.798976 40.549119, -79.802714 40.557603, -79.79883 40.562275, -79.811297 40.561932))"
"42","15145","4215145","B5","G6350","S","5104044","0","+40.4152773","-079.8240848","N","POLYGON ((-79.814993 40.401185, -79.815177 40.405781, -79.809555 40.412278, -79.811126 40.418162, -79.816057 40.41981, -79.807406 40.425386, -79.81335 40.421884, -79.819214 40.42756, -79.828114 40.425376, -79.831806 40.430437, -79.837541 40.428476, -79.835485 40.419773, -79.833315 40.418539, -79.833585 40.400376, -79.83068 40.39952, -79.826675 40.404231, -79.818568 40.40058, -79.814993 40.401185))"
"42","15076","4215076","B5","G6350","S","1891849","0","+40.6073463","-079.8346684","N","POLYGON ((-79.837776 40.622753, -79.833733 40.617158, -79.835417 40.612384, -79.841142 40.606482, -79.84233 40.598512, -79.826493 40.598898, -79.831934 40.613973, -79.831471 40.618215, -79.837776 40.622753))"
"42","15668","4215668","B5","G6350","S","61036704","17005","+40.4605640","-079.6700090","N","POLYGON ((-79.599181 40.488912, -79.61672 40.483924, -79.620714 40.487594, -79.630915 40.481805, -79.636127 40.487989, -79.648037 40.491505, -79.65596 40.49703, -79.659701 40.502432, -79.652018 40.507741, -79.653093 40.510922, -79.666164 40.515363, -79.679284 40.506113, -79.695043 40.519616, -79.69842 40.51766, -79.699277 40.509317, -79.7022 40.503331, -79.702131 40.489635, -79.703834 40.443526, -79.704739 40.427231, -79.707042 40.422426, -79.715987 40.417319, -79.722151 40.409098, -79.7104 40.405565, -79.694174 40.396962, -79.68947 40.399773, -79.689278 40.409536, -79.693917 40.419178, -79.679135 40.421207, -79.677209 40.414843, -79.67329 40.411319, -79.668158 40.413513, -79.669322 40.42095, -79.6512 40.430725, -79.644227 40.438385, -79.652044 40.449547, -79.641552 40.454908, -79.638366 40.459236, -79.623236 40.459951, -79.61119 40.465603, -79.614747 40.475938, -79.603201 40.4761, -79.599181 40.488912))"
