STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10,WKT
"45","29841","4529841","B5","G6350","S","82449039","1954392","+33.5264071","-081.9393367","N","POLYGON ((-82.012423 33.532096, -82.00983 33.530313, -82.007138 33.522835, -82.001338 33.520135, -81.990382 33.500759, -81.990938 33.494235, -81.985938 33.486536, -81.957437 33.476936, -81.946437 33.471737, -81.934136 33.468337, -81.925732 33.461835, -81.924477 33.469114, -81.938368 33.494006, -81.919163 33.491196, -81.904517 33.502552, -81.89452 33.50522, -81.896765 33.509012, -81.891945 33.520196, -81.893744 33.525616, -81.887971 33.534281, -81.886941 33.543726, -81.883918 33.550368, -81.877794 33.554742, -81.873801 33.560971, -81.875015 33.564965, -81.879796 33.567574, -81.877654 33.571827, -81.883442 33.57399, -81.891094 33.58261, -81.917917 33.569613, -81.935252 33.565386, -81.939642 33.562902, -81.950174 33.552737, -81.956156 33.549276, -81.971533 33.544606, -81.984327 33.542003, -81.993512 33.541576, -81.996617 33.54411, -82.012423 33.532096))"
"45","29831","4529831","B5","G6350","S","298282939","5362069","+33.2974511","-081.7995780","N","POLYGON ((-81.914282 33.435296, -81.917324 33.432346, -81.93139 33.428474, -81.931134 33.423978, -81.920776 33.417306, -81.910221 33.414571, -81.912098 33.40826, -81.920417 33.408102, -81.926142 33.411372, -81.933454 33.4067, -81.941694 33.4091, -81.944476 33.403674, -81.935085 33.397243, -81.931549 33.382156, -81.924979 33.37514, -81.925737 33.37114, -81.930634 33.368165, -81.939637 33.37254, -81.946137 33.37094, -81.944737 33.364041, -81.934889 33.356122, -81.936437 33.351041, -81.939837 33.347741, -81.938037 33.343841, -81.923163 33.34464, -81.9188 33.340209, -81.918337 33.332842, -81.906037 33.326042, -81.900953 33.335443, -81.896937 33.330542, -81.899037 33.323342, -81.889137 33.321043, -81.890037 33.315043, -81.883737 33.317643, -81.882037 33.312643, -81.884537 33.309843, -81.880737 33.302243, -81.869336 33.313743, -81.864936 33.311843, -81.864736 33.304043, -81.86206 33.302482, -81.855682 33.310236, -81.847736 33.307243, -81.846524 33.302849, -81.849336 33.300444, -81.860036 33.299144, -81.863336 33.289844, -81.857636 33.284644, -81.846536 33.284444, -81.844036 33.278644, -81.835738 33.271045, -81.835736 33.262645, -81.843862 33.266621, -81.848136 33.263945, -81.846136 33.258145, -81.840136 33.256545, -81.845136 33.252545, -81.849036 33.253045, -81.852822 33.248542, -81.846536 33.241746, -81.837936 33.238346, -81.827936 33.228746, -81.822536 33.227646, -81.809236 33.222147, -81.808136 33.214847, -81.805238 33.211441, -81.797036 33.211347, -81.789236 33.208247, -81.778935 33.209847, -81.777335 33.214947, -81.781035 33.219847, -81.773735 33.221047, -81.767935 33.216347, -81.763535 33.203648, -81.757035 33.198148, -81.751869 33.201583, -81.686613 33.251962, -81.663031 33.27003, -81.671386 33.276435, -81.693026 33.283462, -81.699634 33.288908, -81.70514 33.291296, -81.719806 33.293781, -81.715309 33.300174, -81.720922 33.305732, -81.71794 33.311918, -81.710359 33.320898, -81.711942 33.327146, -81.715064 33.331769, -81.720067 33.332453, -81.726895 33.335955, -81.729421 33.340128, -81.717029 33.340446, -81.71688 33.344217, -81.724946 33.34671, -81.731898 33.355373, -81.719598 33.351052, -81.717142 33.352632, -81.71351 33.370171, -81.716551 33.373576, -81.706993 33.379804, -81.715086 33.383338, -81.723814 33.389077, -81.72484 33.383889, -81.729135 33.37939, -81.735669 33.385375, -81.745347 33.390428, -81.749915 33.386581, -81.752144 33.379627, -81.757639 33.380263, -81.760483 33.377446, -81.766037 33.378552, -81.785986 33.357747, -81.793717 33.365012, -81.798539 33.362865, -81.800221 33.35658, -81.808615 33.347814, -81.819591 33.341485, -81.820638 33.346711, -81.835111 33.359141, -81.841898 33.369631, -81.840236 33.377156, -81.832125 33.382176, -81.842322 33.391841, -81.844763 33.387532, -81.848858 33.390161, -81.851409 33.397104, -81.856357 33.398987, -81.859705 33.393559, -81.866819 33.395688, -81.874435 33.392341, -81.881661 33.396713, -81.881276 33.407047, -81.874836 33.410179, -81.879568 33.412519, -81.890297 33.412779, -81.890822 33.419974, -81.896847 33.420402, -81.900755 33.417679, -81.910712 33.417948, -81.91363 33.424415, -81.912676 33.43244, -81.914282 33.435296))"
"45","29146","4529146","B5","G6350","S","164577137","368778","+33.5082492","-081.2954117","N","POLYGON ((-81.413257 33.522454, -81.420705 33.507517, -81.395899 33.501503, -81.39202 33.503099, -81.385785 33.497632, -81.378185 33.494535, -81.37451 33.490868, -81.361375 33.485148, -81.349755 33.484487, -81.342482 33.48151, -81.330234 33.48023, -81.322525 33.482957, -81.31246 33.478466, -81.304972 33.48037, -81.298602 33.480255, -81.288954 33.470379, -81.2807 33.468316, -81.277476 33.463251, -81.271191 33.459791, -81.253735 33.446198, -81.240203 33.44155, -81.233699 33.442149, -81.22011 33.439493, -81.218517 33.443856, -81.220626 33.450413, -81.215637 33.453403, -81.213042 33.461769, -81.209967 33.46497, -81.209094 33.47373, -81.203946 33.479295, -81.195471 33.481747, -81.186476 33.488391, -81.184424 33.500604, -81.18928 33.509608, -81.19195 33.518282, -81.19893 33.529044, -81.201999 33.541755, -81.222011 33.556671, -81.221922 33.551553, -81.219328 33.548587, -81.223889 33.543386, -81.225077 33.537614, -81.216123 33.537594, -81.214645 33.531331, -81.232502 33.534554, -81.236566 33.533343, -81.24017 33.533059, -81.258116 33.537515, -81.2748 33.53718, -81.273541 33.530727, -81.292387 33.526462, -81.297058 33.540139, -81.30667 33.537818, -81.307904 33.542836, -81.303869 33.549732, -81.33227 33.524744, -81.338195 33.534672, -81.335493 33.545464, -81.337275 33.56113, -81.33466 33.563632, -81.343716 33.564408, -81.346984 33.568476, -81.351821 33.56925, -81.368727 33.567666, -81.371015 33.565453, -81.367978 33.558318, -81.372897 33.55616, -81.388741 33.552282, -81.405211 33.553039, -81.409251 33.551834, -81.429094 33.557843, -81.439039 33.558771, -81.43907 33.545848, -81.413567 33.535027, -81.410839 33.534453, -81.410519 33.526432, -81.413257 33.522454))"
"45","29856","4529856","B5","G6350","S","150025560","361216","+33.4841371","-081.5099420","N","POLYGON ((-81.573563 33.513765, -81.568479 33.499947, -81.568989 33.488565, -81.558084 33.485641, -81.554934 33.479047, -81.556281 33.470298, -81.564243 33.457191, -81.559111 33.454555, -81.566728 33.450437, -81.569839 33.450392, -81.582794 33.443409, -81.591039 33.444305, -81.596768 33.442583, -81.602902 33.44301, -81.606843 33.429634, -81.60532 33.425398, -81.608301 33.418982, -81.605551 33.414999, -81.604526 33.407238, -81.607145 33.399003, -81.597654 33.399541, -81.586697 33.397337, -81.575984 33.398501, -81.566544 33.403658, -81.562764 33.401375, -81.553636 33.40375, -81.551551 33.397875, -81.544494 33.399662, -81.533887 33.392198, -81.527221 33.393499, -81.531144 33.396037, -81.530301 33.404835, -81.53081 33.414384, -81.528707 33.426465, -81.525798 33.431784, -81.529954 33.438267, -81.528866 33.443413, -81.496022 33.457057, -81.502504 33.465632, -81.496039 33.468986, -81.492715 33.473824, -81.486215 33.473788, -81.474081 33.475622, -81.47022 33.472901, -81.458572 33.472814, -81.446434 33.482622, -81.441517 33.488629, -81.431821 33.481977, -81.426942 33.479923, -81.425036 33.486699, -81.421316 33.491873, -81.413567 33.493789, -81.410449 33.498601, -81.395899 33.501503, -81.420705 33.507517, -81.413257 33.522454, -81.43254 33.531321, -81.437327 33.537391, -81.448735 33.539316, -81.452537 33.536979, -81.458063 33.538719, -81.470622 33.545932, -81.474674 33.550491, -81.480936 33.550533, -81.483506 33.555641, -81.491124 33.560978, -81.495064 33.561594, -81.502507 33.566543, -81.520466 33.56415, -81.526447 33.564656, -81.526411 33.56044, -81.521288 33.55837, -81.518382 33.552514, -81.516766 33.54141, -81.531447 33.5385, -81.534263 33.530445, -81.532349 33.528177, -81.53577 33.522703, -81.530274 33.512939, -81.544144 33.514939, -81.554638 33.513978, -81.559735 33.510618, -81.573563 33.513765), (-81.554931 33.471466, -81.549938 33.47605, -81.548354 33.470954, -81.554931 33.471466))"
"45","29673","4529673","B5","G6350","S","181168763","1916193","+34.7138640","-082.4558984","N","POLYGON ((-82.425833 34.788707, -82.429999 34.782213, -82.43169 34.775678, -82.438142 34.777255, -82.442392 34.776176, -82.451466 34.769324, -82.452015 34.776428, -82.458096 34.779034, -82.459677 34.781839, -82.458905 34.788595, -82.462248 34.792964, -82.46131 34.796772, -82.467991 34.79717, -82.471094 34.789611, -82.482366 34.788536, -82.487714 34.776478, -82.483606 34.772639, -82.481796 34.764563, -82.484217 34.759959, -82.495921 34.752744, -82.503013 34.754901, -82.516487 34.761402, -82.528598 34.762024, -82.528808 34.757003, -82.525213 34.747639, -82.531655 34.747405, -82.535478 34.745085, -82.544949 34.73569, -82.542493 34.732216, -82.551951 34.722257, -82.55454 34.716799, -82.563146 34.718911, -82.57371 34.718435, -82.584771 34.713795, -82.587778 34.709029, -82.592894 34.705174, -82.597835 34.705075, -82.597806 34.699365, -82.594965 34.694756, -82.589807 34.694726, -82.581463 34.687595, -82.570033 34.692978, -82.560924 34.688111, -82.555644 34.680382, -82.550833 34.68121, -82.546874 34.677526, -82.542376 34.678288, -82.536659 34.674675, -82.516852 34.684198, -82.511784 34.678896, -82.508074 34.67999, -82.503269 34.685618, -82.495008 34.685882, -82.486252 34.688492, -82.479911 34.687725, -82.474427 34.680563, -82.474059 34.677342, -82.463627 34.670312, -82.46658 34.665219, -82.463084 34.660683, -82.462592 34.655397, -82.457278 34.657511, -82.455842 34.665765, -82.449654 34.662903, -82.436728 34.663965, -82.435314 34.666668, -82.428367 34.667659, -82.42955 34.674287, -82.418732 34.679548, -82.415303 34.675924, -82.402858 34.68382, -82.399994 34.681453, -82.390068 34.680908, -82.391528 34.686862, -82.388234 34.688171, -82.376829 34.687986, -82.359364 34.683761, -82.350966 34.684973, -82.347449 34.67175, -82.339527 34.669074, -82.337125 34.672218, -82.338485 34.676943, -82.335557 34.684427, -82.338949 34.690765, -82.332501 34.692348, -82.328003 34.695367, -82.332376 34.707366, -82.327202 34.705616, -82.325692 34.718112, -82.328378 34.732779, -82.350272 34.719806, -82.35481 34.713244, -82.357194 34.718107, -82.363724 34.719008, -82.37487 34.722728, -82.380527 34.729367, -82.388775 34.726975, -82.392943 34.746167, -82.39213 34.75464, -82.405131 34.756593, -82.404755 34.762861, -82.409054 34.766057, -82.408366 34.770179, -82.412282 34.783563, -82.415249 34.787893, -82.425833 34.788707))"
"45","29657","4529657","B5","G6350","S","164676088","853884","+34.7670882","-082.6865713","N","POLYGON ((-82.764446 34.805819, -82.761821 34.799261, -82.755531 34.796074, -82.756337 34.791424, -82.753758 34.778926, -82.74994 34.780304, -82.74828 34.766637, -82.751198 34.765853, -82.747539 34.761674, -82.750979 34.757049, -82.74389 34.753565, -82.73499 34.746975, -82.735532 34.741317, -82.728943 34.730132, -82.729836 34.725625, -82.736463 34.720435, -82.724019 34.715464, -82.71347 34.719238, -82.704362 34.716661, -82.701542 34.714082, -82.706775 34.710405, -82.707147 34.705623, -82.696884 34.706346, -82.696271 34.695112, -82.693646 34.688484, -82.698613 34.678795, -82.682986 34.672786, -82.678264 34.674776, -82.679361 34.685225, -82.672505 34.685117, -82.666752 34.681179, -82.662603 34.68476, -82.654527 34.687766, -82.65022 34.686733, -82.637426 34.696787, -82.636915 34.704795, -82.625 34.705356, -82.619606 34.707025, -82.612514 34.704932, -82.601254 34.706463, -82.597835 34.705075, -82.59883 34.711643, -82.594673 34.712537, -82.594803 34.721626, -82.60593 34.726072, -82.622103 34.722337, -82.624258 34.728316, -82.634547 34.739364, -82.632315 34.742446, -82.635196 34.745602, -82.63598 34.752144, -82.638874 34.755181, -82.632215 34.763363, -82.635199 34.76945, -82.632038 34.783256, -82.634242 34.792901, -82.637879 34.793881, -82.652517 34.791928, -82.645348 34.798759, -82.646637 34.8033, -82.652901 34.806628, -82.650686 34.813697, -82.657714 34.811738, -82.660098 34.819435, -82.65905 34.824594, -82.660987 34.830624, -82.669422 34.844841, -82.679946 34.843023, -82.683619 34.840845, -82.693271 34.840626, -82.697914 34.847953, -82.70558 34.849145, -82.718979 34.836328, -82.723584 34.836569, -82.721561 34.84223, -82.726715 34.848046, -82.73135 34.842794, -82.748477 34.829052, -82.744603 34.821847, -82.750478 34.81926, -82.753984 34.820696, -82.757076 34.826324, -82.761712 34.830658, -82.764431 34.827066, -82.773471 34.828381, -82.776335 34.82443, -82.781155 34.822989, -82.779557 34.819988, -82.770922 34.817429, -82.764446 34.805819))"
"45","29817","4529817","B5","G6350","S","278670512","1600946","+33.3705343","-081.2731716","N","POLYGON ((-81.133282 33.393722, -81.135327 33.393824, -81.149908 33.401336, -81.157046 33.406236, -81.160376 33.405745, -81.166801 33.409245, -81.172097 33.408051, -81.178301 33.410511, -81.185949 33.410105, -81.189531 33.411683, -81.192976 33.418446, -81.19832 33.421226, -81.199793 33.430067, -81.206606 33.437812, -81.22011 33.439493, -81.233699 33.442149, -81.240203 33.44155, -81.253735 33.446198, -81.271191 33.459791, -81.277476 33.463251, -81.2807 33.468316, -81.288954 33.470379, -81.290376 33.467973, -81.303799 33.467174, -81.310468 33.464951, -81.31383 33.461216, -81.324408 33.45705, -81.332496 33.452669, -81.338835 33.447766, -81.347085 33.439171, -81.355136 33.423201, -81.354288 33.416122, -81.356415 33.409798, -81.360351 33.4042, -81.357958 33.39509, -81.35329 33.396388, -81.347262 33.392192, -81.350268 33.388519, -81.353946 33.374938, -81.357817 33.3714, -81.352597 33.360495, -81.352159 33.357059, -81.357208 33.354377, -81.357423 33.34874, -81.351265 33.338963, -81.345279 33.344737, -81.341607 33.339207, -81.345939 33.336559, -81.352063 33.326406, -81.351841 33.320037, -81.357651 33.315201, -81.357129 33.31165, -81.348506 33.312694, -81.347369 33.30437, -81.350879 33.285289, -81.359637 33.284408, -81.360958 33.274509, -81.350732 33.273099, -81.341663 33.282874, -81.331729 33.2807, -81.329028 33.276404, -81.315066 33.27933, -81.315333 33.291925, -81.30406 33.29092, -81.301631 33.295409, -81.29691 33.296605, -81.295172 33.290131, -81.285083 33.272063, -81.279745 33.273169, -81.277047 33.264716, -81.262517 33.26809, -81.263346 33.277079, -81.257785 33.279178, -81.249827 33.288173, -81.242685 33.288108, -81.237443 33.286358, -81.231299 33.280822, -81.229442 33.275045, -81.224894 33.271529, -81.220093 33.273972, -81.216226 33.348667, -81.193333 33.343861, -81.193524 33.350205, -81.198946 33.358102, -81.199166 33.361397, -81.19443 33.367908, -81.186208 33.369291, -81.172386 33.37656, -81.16519 33.378934, -81.14419 33.381489, -81.137311 33.379294, -81.134117 33.387485, -81.133282 33.393722))"
"45","29843","4529843","B5","G6350","S","165328236","726176","+33.1820686","-081.1797722","N","POLYGON ((-81.227804 33.160697, -81.225787 33.156849, -81.221619 33.155727, -81.215924 33.14748, -81.211456 33.143541, -81.210092 33.133712, -81.206442 33.129635, -81.198327 33.126588, -81.195931 33.121257, -81.181148 33.108725, -81.174151 33.101967, -81.170777 33.095688, -81.161878 33.091425, -81.146467 33.077838, -81.138198 33.089916, -81.136676 33.094307, -81.132482 33.096404, -81.128924 33.101427, -81.126986 33.115813, -81.121606 33.127761, -81.149006 33.131183, -81.146919 33.136834, -81.137425 33.135742, -81.123004 33.138384, -81.117791 33.144991, -81.134565 33.156997, -81.139563 33.163681, -81.137846 33.168794, -81.124318 33.176707, -81.119812 33.182053, -81.114963 33.191134, -81.11182 33.200532, -81.105081 33.211896, -81.103929 33.219224, -81.109071 33.223153, -81.131845 33.236301, -81.154988 33.24435, -81.160411 33.250548, -81.166833 33.243581, -81.173222 33.244574, -81.196097 33.241282, -81.200406 33.244031, -81.210088 33.257312, -81.22082 33.259258, -81.21994 33.250154, -81.226771 33.245517, -81.226527 33.241267, -81.230342 33.239718, -81.23865 33.240615, -81.239528 33.249285, -81.257289 33.251345, -81.258052 33.239168, -81.249537 33.238217, -81.248645 33.235709, -81.258487 33.235522, -81.263965 33.228595, -81.269006 33.233302, -81.273078 33.229273, -81.272848 33.220146, -81.269649 33.211717, -81.266742 33.20828, -81.260659 33.213557, -81.254278 33.213116, -81.249774 33.210859, -81.250963 33.202085, -81.24612 33.202308, -81.243159 33.195624, -81.242228 33.188937, -81.24866 33.184913, -81.249736 33.179385, -81.225711 33.167757, -81.227804 33.160697))"
"45","29432","4529432","B5","G6350","S","303280315","508033","+33.2314498","-080.8088331","N","POLYGON ((-80.712283 33.300756, -80.723116 33.297295, -80.729377 33.304706, -80.737172 33.316865, -80.745868 33.309725, -80.757062 33.310686, -80.762967 33.318598, -80.772665 33.311925, -80.778206 33.313103, -80.778428 33.320757, -80.776149 33.324148, -80.789844 33.329541, -80.797767 33.335474, -80.801395 33.330307, -80.817886 33.331611, -80.821084 33.329338, -80.827049 33.330829, -80.832717 33.335124, -80.844002 33.335698, -80.847044 33.32638, -80.847409 33.317765, -80.852971 33.320069, -80.858814 33.314291, -80.860666 33.309365, -80.858834 33.301004, -80.860385 33.291449, -80.859018 33.286363, -80.860899 33.279228, -80.855533 33.270825, -80.855955 33.267066, -80.861724 33.257948, -80.875402 33.259891, -80.887879 33.260539, -80.887906 33.258044, -80.893699 33.254374, -80.890003 33.251221, -80.878746 33.245102, -80.868832 33.237248, -80.88702 33.231375, -80.887816 33.2262, -80.895117 33.21798, -80.895959 33.21387, -80.888456 33.201262, -80.915789 33.190509, -80.923214 33.185275, -80.931774 33.185378, -80.929788 33.175372, -80.942332 33.17355, -80.949853 33.167575, -80.956824 33.159331, -80.953773 33.157201, -80.95192 33.151198, -80.943966 33.147488, -80.93957 33.152276, -80.928928 33.148089, -80.922424 33.133995, -80.914719 33.143543, -80.914303 33.151194, -80.911598 33.155281, -80.900581 33.148125, -80.900286 33.137333, -80.897347 33.132223, -80.887679 33.133709, -80.884543 33.130792, -80.849252 33.149271, -80.797912 33.176944, -80.787609 33.175508, -80.779081 33.176766, -80.776495 33.173054, -80.767015 33.172386, -80.762548 33.170139, -80.758923 33.173208, -80.753474 33.174236, -80.747498 33.172221, -80.743736 33.16819, -80.737417 33.17037, -80.717636 33.159608, -80.712568 33.153812, -80.706658 33.154821, -80.706166 33.149895, -80.703006 33.144396, -80.69451 33.140755, -80.690458 33.143171, -80.694592 33.161444, -80.688287 33.171348, -80.698617 33.176752, -80.700693 33.179904, -80.701829 33.188163, -80.714533 33.183192, -80.728899 33.181384, -80.734781 33.182398, -80.741945 33.186114, -80.753319 33.200744, -80.67933 33.24034, -80.694676 33.247191, -80.696076 33.256492, -80.699223 33.259217, -80.697518 33.267639, -80.697389 33.275749, -80.701848 33.287652, -80.712629 33.284353, -80.718518 33.291584, -80.711625 33.29337, -80.712283 33.300756))"
"45","29481","4529481","B5","G6350","S","231214884","243392","+33.1085293","-080.8004810","N","POLYGON ((-80.906025 33.060228, -80.896074 33.06141, -80.891958 33.073287, -80.885743 33.071084, -80.861895 33.07603, -80.854048 33.068195, -80.850976 33.058894, -80.844331 33.064549, -80.835056 33.057643, -80.830662 33.066503, -80.824329 33.069563, -80.809298 33.0573, -80.81023 33.051339, -80.788183 33.051718, -80.786477 33.055506, -80.780064 33.058358, -80.775301 33.064279, -80.775944 33.072088, -80.7716 33.074963, -80.768737 33.080319, -80.759418 33.078051, -80.734367 33.070393, -80.726686 33.067225, -80.690134 33.082341, -80.686374 33.086095, -80.666874 33.092851, -80.661909 33.089012, -80.652821 33.084649, -80.65004 33.090195, -80.653217 33.09317, -80.657979 33.092256, -80.65961 33.097595, -80.665081 33.099451, -80.673572 33.108021, -80.673272 33.112237, -80.678254 33.115651, -80.681901 33.124403, -80.689362 33.127122, -80.69165 33.137524, -80.69451 33.140755, -80.703006 33.144396, -80.706166 33.149895, -80.706658 33.154821, -80.712568 33.153812, -80.717636 33.159608, -80.737417 33.17037, -80.743736 33.16819, -80.747498 33.172221, -80.753474 33.174236, -80.758923 33.173208, -80.762548 33.170139, -80.767015 33.172386, -80.776495 33.173054, -80.779081 33.176766, -80.787609 33.175508, -80.797912 33.176944, -80.849252 33.149271, -80.884543 33.130792, -80.887679 33.133709, -80.897347 33.132223, -80.900286 33.137333, -80.900581 33.148125, -80.911598 33.155281, -80.914303 33.151194, -80.914719 33.143543, -80.922424 33.133995, -80.928928 33.148089, -80.93957 33.152276, -80.943966 33.147488, -80.943585 33.141692, -80.940094 33.132724, -80.935467 33.126113, -80.9395 33.124241, -80.941106 33.117321, -80.93656 33.106576, -80.937157 33.102584, -80.931633 33.098258, -80.930091 33.090851, -80.927055 33.085755, -80.919317 33.081266, -80.916075 33.071705, -80.907451 33.066003, -80.906025 33.060228))"
