STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10,WKT
"46","57381","4657381","B5","G6350","S","790572299","3200608","+44.3910410","-098.7374541","N","POLYGON ((-98.578996 44.312702, -98.579272 44.356225, -98.68028 44.356316, -98.680045 44.327292, -98.701214 44.327305, -98.701299 44.369199, -98.695163 44.370722, -98.660255 44.370741, -98.660365 44.399714, -98.61982 44.3997, -98.619968 44.439521, -98.599649 44.435634, -98.599632 44.457704, -98.640185 44.457651, -98.640323 44.486657, -98.57962 44.486693, -98.579858 44.515736, -98.573465 44.515763, -98.579904 44.521524, -98.579868 44.530261, -98.590989 44.530233, -98.59708 44.536953, -98.600072 44.536952, -98.600122 44.546352, -98.584389 44.546742, -98.584435 44.561205, -98.584438 44.575686, -98.604766 44.575863, -98.604784 44.582261, -98.62511 44.582292, -98.625288 44.6049, -98.645637 44.605054, -98.645882 44.633888, -98.723793 44.634274, -98.735045 44.641762, -98.745816 44.641968, -98.738244 44.634344, -98.726027 44.634288, -98.726127 44.619825, -98.746346 44.619968, -98.746311 44.59098, -98.765205 44.591057, -98.766601 44.589752, -98.766601 44.54746, -98.802609 44.547584, -98.802627 44.494979, -98.822927 44.502043, -98.823432 44.461443, -98.823501 44.40623, -98.823822 44.384722, -98.823555 44.370255, -98.802308 44.370327, -98.802197 44.341373, -98.8235 44.341282, -98.823413 44.312273, -98.802125 44.312386, -98.802109 44.29785, -98.823378 44.297772, -98.82334 44.283318, -98.864118 44.283565, -98.883872 44.283391, -98.883913 44.297882, -98.89554 44.297944, -98.900358 44.299541, -98.904149 44.297972, -98.904122 44.283421, -98.943616 44.283734, -98.943323 44.269091, -98.943712 44.206138, -98.943206 44.196495, -98.925953 44.196575, -98.885097 44.196388, -98.868603 44.196994, -98.827924 44.196587, -98.660401 44.196783, -98.66031 44.225741, -98.660201 44.239404, -98.661385 44.240277, -98.680434 44.240211, -98.679852 44.283812, -98.578958 44.283702, -98.578996 44.312702))"
"46","57353","4657353","B5","G6350","S","804919219","546305","+44.3584207","-097.8420358","N","POLYGON ((-97.972455 44.426803, -97.972892 44.368816, -97.99309 44.369025, -97.99319 44.354301, -98.00144 44.354392, -98.001419 44.346841, -98.013518 44.346865, -98.013895 44.289531, -98.003463 44.289517, -98.003421 44.282059, -98.013911 44.282167, -98.014039 44.195113, -97.96338 44.194607, -97.849492 44.195235, -97.815814 44.195464, -97.71419 44.194918, -97.713285 44.201709, -97.72355 44.201718, -97.723705 44.212464, -97.733331 44.212575, -97.733276 44.216197, -97.743199 44.216183, -97.743287 44.223969, -97.733252 44.223876, -97.732758 44.296264, -97.72358 44.295587, -97.713095 44.296283, -97.713036 44.310739, -97.692827 44.31052, -97.692869 44.33949, -97.702854 44.33961, -97.704205 44.336935, -97.712783 44.336843, -97.712768 44.339726, -97.732484 44.339697, -97.732389 44.383093, -97.712793 44.383113, -97.713053 44.401286, -97.713089 44.441081, -97.692992 44.441108, -97.693523 44.498982, -97.673293 44.498969, -97.673125 44.513444, -97.668068 44.513432, -97.668263 44.520328, -97.65898 44.520302, -97.658984 44.527967, -97.652891 44.527983, -97.652675 44.544183, -97.740315 44.544359, -97.853028 44.544398, -97.85321 44.543897, -97.853212 44.484173, -97.873356 44.48432, -97.873367 44.498805, -97.954182 44.499083, -97.954118 44.484615, -97.933851 44.484523, -97.933824 44.440993, -97.949812 44.441063, -97.97238 44.435977, -97.972455 44.426803))"
"46","57312","4657312","B5","G6350","S","274834419","1371022","+44.2072366","-098.3792490","N","POLYGON ((-98.457817 44.2474, -98.457801 44.240176, -98.478164 44.240138, -98.480047 44.247285, -98.488076 44.247296, -98.488175 44.240134, -98.498472 44.240128, -98.498015 44.196696, -98.492741 44.196698, -98.492667 44.183696, -98.472578 44.183741, -98.472211 44.154796, -98.452146 44.154852, -98.451888 44.111287, -98.47177 44.111253, -98.471882 44.096487, -98.412433 44.096742, -98.392316 44.09698, -98.392349 44.111651, -98.331855 44.111909, -98.332176 44.133959, -98.332042 44.19662, -98.233992 44.196638, -98.234247 44.240157, -98.213562 44.240137, -98.213902 44.25999, -98.219883 44.259526, -98.228595 44.261959, -98.234301 44.258703, -98.234292 44.254641, -98.27494 44.254669, -98.274969 44.269141, -98.304644 44.269335, -98.33588 44.26916, -98.335948 44.28368, -98.397178 44.283675, -98.417578 44.283659, -98.41754 44.273766, -98.415331 44.269293, -98.437735 44.269276, -98.437546 44.247777, -98.457817 44.2474))"
"46","57315","4657315","B5","G6350","S","312659583","1071837","+42.9883881","-098.0402936","N","POLYGON ((-98.107628 43.096613, -98.106822 43.093219, -98.109534 43.087477, -98.108123 43.078466, -98.110333 43.073433, -98.108429 43.071993, -98.108674 43.065132, -98.105459 43.06216, -98.106705 43.059278, -98.103272 43.056535, -98.104921 43.051091, -98.101613 43.047021, -98.102792 43.037117, -98.098394 43.034603, -98.094868 43.029846, -98.110606 43.022041, -98.108264 43.016233, -98.111721 43.013121, -98.113145 43.001228, -98.106531 42.992351, -98.101326 42.988213, -98.100886 42.982267, -98.093937 42.978655, -98.092782 42.973921, -98.098853 42.968498, -98.095021 42.965756, -98.098537 42.961546, -98.097695 42.959351, -98.104107 42.95299, -98.107653 42.947637, -98.108677 42.942857, -98.103724 42.937918, -98.113402 42.935993, -98.113273 42.928788, -98.106642 42.926252, -98.106795 42.922821, -98.111834 42.920235, -98.112327 42.913122, -98.11659 42.913874, -98.123463 42.910372, -98.122028 42.90589, -98.116332 42.903606, -98.112469 42.896128, -98.112185 42.891119, -98.114329 42.88922, -98.113606 42.879202, -98.118051 42.876524, -98.120065 42.871351, -98.123701 42.868605, -98.130855 42.869704, -98.134403 42.866137, -98.139472 42.864744, -98.140445 42.860884, -98.138951 42.856281, -98.149991 42.851781, -98.160746 42.851966, -98.160809 42.849404, -98.154159 42.84691, -98.153107 42.838986, -98.147109 42.839631, -98.138103 42.832543, -98.130229 42.82234, -98.095611 42.822645, -98.095555 42.816124, -98.088952 42.815303, -98.069985 42.815181, -98.069712 42.822094, -98.062996 42.822357, -98.062817 42.826448, -98.069723 42.827418, -98.06985 42.851216, -98.050166 42.851121, -98.050017 42.908827, -98.010616 42.908847, -98.010672 42.923255, -98.030315 42.923343, -98.03031 42.937766, -98.010617 42.937678, -98.010582 42.96663, -97.991026 42.966531, -97.990972 42.978588, -97.981338 42.978429, -97.981359 42.981042, -97.970966 42.981163, -97.971144 42.988631, -97.959273 42.988676, -97.959389 42.995675, -97.95147 42.995688, -97.950212 43.00903, -97.958468 43.008615, -97.95938 43.024787, -97.956203 43.023893, -97.944664 43.024837, -97.930327 43.024876, -97.931295 43.038563, -97.93103 43.053401, -97.95069 43.053381, -97.950089 43.079718, -97.950417 43.095998, -97.9506 43.110533, -97.960286 43.111308, -98.019974 43.111125, -98.019989 43.11807, -98.029636 43.11797, -98.029501 43.111119, -98.049132 43.111136, -98.04939 43.125434, -98.092563 43.125443, -98.093009 43.11957, -98.095756 43.115017, -98.10069 43.113095, -98.105241 43.109251, -98.103303 43.105456, -98.107764 43.101978, -98.107628 43.096613))"
"46","57063","4657063","B5","G6350","S","235626501","38772010","+42.9302684","-097.6845653","N","POLYGON ((-97.567355 42.952115, -97.576033 42.952115, -97.57605 42.970631, -97.634924 42.971616, -97.635849 43.024703, -97.675403 43.024941, -97.675226 43.010497, -97.694718 43.010431, -97.734193 43.010545, -97.73413 42.99601, -97.753845 42.996021, -97.753693 42.973482, -97.757703 42.970482, -97.773386 42.971127, -97.773405 42.974438, -97.793295 42.979441, -97.79317 42.96628, -97.812951 42.966269, -97.812985 42.951788, -97.793174 42.951799, -97.793262 42.937296, -97.768665 42.937274, -97.768542 42.922963, -97.763508 42.922802, -97.763494 42.908276, -97.773385 42.908237, -97.773311 42.879373, -97.780243 42.879562, -97.792026 42.88174, -97.804373 42.880592, -97.80484 42.858732, -97.788414 42.853359, -97.774381 42.84974, -97.764645 42.849046, -97.750242 42.84941, -97.720335 42.84728, -97.700964 42.843591, -97.686477 42.842212, -97.668319 42.842807, -97.657903 42.8444, -97.646806 42.847376, -97.620323 42.856522, -97.611811 42.858367, -97.603762 42.858329, -97.591916 42.853837, -97.578474 42.850544, -97.561928 42.847552, -97.54474 42.848275, -97.526571 42.85115, -97.530105 42.861566, -97.545122 42.857362, -97.55025 42.858506, -97.5528 42.85583, -97.564176 42.85837, -97.587165 42.865398, -97.585587 42.869624, -97.590612 42.874978, -97.595242 42.887361, -97.595621 42.937597, -97.55605 42.937614, -97.556194 42.952115, -97.567355 42.952115))"
"46","57401","4657401","B5","G6350","S","752483831","3936319","+45.4823353","-098.5325400","N","POLYGON ((-98.414709 45.618443, -98.42361 45.618476, -98.423729 45.632966, -98.435237 45.632943, -98.435299 45.618531, -98.467937 45.618703, -98.472301 45.610306, -98.476995 45.607968, -98.47808 45.604453, -98.497589 45.604506, -98.497591 45.590019, -98.559857 45.590521, -98.55968 45.61949, -98.538902 45.619342, -98.538819 45.633784, -98.580309 45.634075, -98.580377 45.6196, -98.600359 45.619566, -98.600476 45.590763, -98.606042 45.590782, -98.602353 45.596807, -98.605211 45.605256, -98.683828 45.605611, -98.683879 45.619344, -98.687175 45.62008, -98.725341 45.620269, -98.725147 45.591493, -98.722174 45.591242, -98.7223 45.533601, -98.722319 45.504581, -98.680869 45.504357, -98.680879 45.489757, -98.701464 45.489904, -98.70136 45.436319, -98.698401 45.431914, -98.639721 45.431477, -98.639467 45.373565, -98.649795 45.373664, -98.651334 45.359168, -98.63939 45.359094, -98.639364 45.344597, -98.618825 45.344419, -98.618776 45.329942, -98.577209 45.329588, -98.57723 45.315222, -98.556754 45.31503, -98.556677 45.329433, -98.536102 45.329283, -98.528651 45.32927, -98.524802 45.327237, -98.515776 45.326329, -98.505525 45.329452, -98.495369 45.328995, -98.495314 45.343472, -98.515309 45.343607, -98.51531 45.387054, -98.495308 45.386959, -98.495286 45.372452, -98.453892 45.372247, -98.453862 45.365223, -98.443484 45.365194, -98.44399 45.343245, -98.412689 45.343139, -98.412651 45.335486, -98.392136 45.335318, -98.392123 45.328565, -98.343233 45.328358, -98.341361 45.332527, -98.342623 45.336176, -98.334952 45.339723, -98.329761 45.339908, -98.329612 45.357338, -98.306943 45.357242, -98.306821 45.365954, -98.302015 45.372918, -98.297804 45.37543, -98.296482 45.379791, -98.303909 45.379462, -98.303506 45.382239, -98.297715 45.386392, -98.277969 45.386032, -98.277343 45.390384, -98.267998 45.390347, -98.267834 45.400475, -98.290665 45.400564, -98.298748 45.400596, -98.298907 45.393404, -98.309154 45.393482, -98.309143 45.386214, -98.351163 45.386317, -98.351162 45.415331, -98.371654 45.41538, -98.371613 45.473425, -98.392229 45.473429, -98.392177 45.487874, -98.371674 45.487889, -98.3716 45.531284, -98.360854 45.531314, -98.360617 45.538084, -98.351189 45.53807, -98.351074 45.545763, -98.371575 45.545816, -98.371557 45.55997, -98.386446 45.560432, -98.406627 45.56038, -98.41278 45.563494, -98.412748 45.574901, -98.392218 45.574839, -98.392228 45.589383, -98.412687 45.589458, -98.412713 45.578379, -98.414076 45.574919, -98.428486 45.574985, -98.433421 45.573447, -98.433477 45.589517, -98.414828 45.589462, -98.414709 45.618443))"
"46","57451","4657451","B5","G6350","S","1136795375","7960514","+45.4374010","-098.9566019","N","POLYGON ((-99.214783 45.592593, -99.214984 45.578709, -99.195032 45.578713, -99.195295 45.506164, -99.174715 45.506151, -99.174717 45.444607, -99.152913 45.441973, -99.152822 45.433637, -99.174707 45.433616, -99.174955 45.404524, -99.195282 45.404522, -99.195259 45.390042, -99.174963 45.390093, -99.175018 45.368098, -99.195216 45.368123, -99.195283 45.346576, -99.154173 45.346591, -99.154123 45.361056, -99.092453 45.361104, -99.092646 45.332287, -99.113073 45.332162, -99.113258 45.244996, -99.082609 45.245105, -99.01049 45.244949, -99.010501 45.27539, -99.010144 45.302866, -98.958914 45.302955, -98.866063 45.302723, -98.865774 45.331568, -98.845191 45.331589, -98.845779 45.295494, -98.845608 45.288144, -98.82537 45.287998, -98.825325 45.3025, -98.784073 45.302186, -98.78382 45.331118, -98.722186 45.330654, -98.722217 45.345095, -98.680452 45.344879, -98.680536 45.35935, -98.651334 45.359168, -98.649795 45.373664, -98.639467 45.373565, -98.639721 45.431477, -98.698401 45.431914, -98.70136 45.436319, -98.701464 45.489904, -98.680879 45.489757, -98.680869 45.504357, -98.722319 45.504581, -98.7223 45.533601, -98.8427 45.534586, -98.863197 45.534619, -98.862269 45.549108, -98.842494 45.549096, -98.841661 45.592263, -98.924988 45.592308, -98.924358 45.58797, -98.924649 45.56364, -98.966535 45.563504, -99.028392 45.563788, -99.028349 45.592384, -99.077673 45.592322, -99.127022 45.592545, -99.214783 45.592593))"
"46","57783","4657783","B5","G6350","S","608379788","417052","+44.4675991","-103.9153612","N","POLYGON ((-104.05604 44.581663, -104.055823 44.546704, -104.055926 44.517359, -104.055634 44.394772, -104.055408 44.258329, -104.051506 44.258266, -104.048195 44.254356, -104.049721 44.252392, -104.043533 44.242611, -104.038086 44.239586, -104.035057 44.233383, -104.031448 44.229835, -104.022141 44.225456, -104.020309 44.221642, -104.021713 44.213299, -104.027412 44.204655, -104.027229 44.202099, -104.019196 44.199665, -104.00811 44.200935, -104.000717 44.203842, -103.995644 44.210724, -103.987038 44.211239, -103.977997 44.215542, -103.982841 44.221306, -103.98819 44.224087, -103.988449 44.229416, -103.983261 44.232738, -103.987427 44.236107, -103.991028 44.244202, -103.990097 44.253967, -103.997177 44.258697, -104.006874 44.263359, -104.00441 44.272339, -104.006836 44.284626, -104.005546 44.289352, -104.001678 44.29232, -103.994827 44.310657, -103.996224 44.315434, -104.004898 44.322044, -104.003174 44.324707, -104.005867 44.330864, -103.99649 44.332737, -103.990944 44.331299, -103.987591 44.327965, -103.982208 44.331131, -103.979318 44.328646, -103.971794 44.330395, -103.969704 44.333355, -103.960053 44.337505, -103.959938 44.340508, -103.949394 44.346291, -103.947472 44.349461, -103.94046 44.352867, -103.934898 44.349941, -103.930391 44.352542, -103.930179 44.373805, -103.923092 44.372939, -103.913063 44.374542, -103.914856 44.379261, -103.912048 44.383492, -103.915199 44.388039, -103.909897 44.388927, -103.911934 44.392498, -103.902901 44.397156, -103.898125 44.39748, -103.893492 44.401466, -103.88926 44.398022, -103.884202 44.39812, -103.876864 44.400941, -103.860328 44.399971, -103.85752 44.395, -103.849577 44.391339, -103.84994 44.430854, -103.750736 44.430507, -103.7509 44.415974, -103.712536 44.415857, -103.710281 44.415826, -103.714859 44.42115, -103.715065 44.430775, -103.718178 44.44722, -103.723373 44.459633, -103.729649 44.46775, -103.729462 44.47958, -103.723007 44.484795, -103.715515 44.487808, -103.700233 44.486645, -103.686379 44.481224, -103.679018 44.479528, -103.672592 44.488628, -103.661484 44.488495, -103.668816 44.495113, -103.676208 44.506554, -103.688797 44.517654, -103.714309 44.517354, -103.721899 44.518199, -103.759169 44.517371, -103.809396 44.517834, -103.809264 44.537018, -103.829182 44.537021, -103.829323 44.546852, -103.85955 44.546959, -103.859917 44.582253, -103.867516 44.587908, -103.871466 44.595062, -103.877821 44.597262, -103.886459 44.598272, -103.890013 44.596948, -103.896845 44.597369, -103.903114 44.594816, -103.907912 44.588223, -103.914977 44.589205, -103.919936 44.585662, -103.924002 44.586828, -103.928193 44.583148, -103.931166 44.585286, -103.93125 44.604512, -104.011846 44.604268, -104.011963 44.583606, -104.021727 44.582976, -104.044816 44.582717, -104.0515 44.580652, -104.05604 44.581663), (-103.870825 44.503038, -103.868805 44.49543, -103.876457 44.495808, -103.876419 44.499393, -103.870825 44.503038))"
"46","57329","4657329","B5","G6350","S","165516548","378893","+42.9740298","-098.1473364","N","POLYGON ((-98.107628 43.096613, -98.127936 43.096986, -98.127919 43.075254, -98.147575 43.075198, -98.147614 43.068189, -98.152786 43.068242, -98.152718 43.064682, -98.157562 43.064661, -98.157534 43.057836, -98.187303 43.057815, -98.187365 43.046613, -98.192387 43.046719, -98.192342 43.03952, -98.211456 43.03926, -98.21122 43.027195, -98.206391 43.026993, -98.206204 43.023318, -98.226046 43.023054, -98.225701 43.008591, -98.230719 43.00855, -98.230519 42.994018, -98.185896 42.994443, -98.1856 42.975128, -98.1882 42.967211, -98.207831 42.967286, -98.207942 42.956606, -98.20937 42.956096, -98.208731 42.913946, -98.210045 42.907772, -98.209812 42.895887, -98.210686 42.892584, -98.186127 42.892548, -98.183748 42.890742, -98.170243 42.890916, -98.170549 42.908661, -98.150896 42.908879, -98.150756 42.894337, -98.14527 42.886115, -98.145569 42.877528, -98.144385 42.875495, -98.146714 42.859799, -98.140445 42.860884, -98.139472 42.864744, -98.134403 42.866137, -98.130855 42.869704, -98.123701 42.868605, -98.120065 42.871351, -98.118051 42.876524, -98.113606 42.879202, -98.114329 42.88922, -98.112185 42.891119, -98.112469 42.896128, -98.116332 42.903606, -98.122028 42.90589, -98.123463 42.910372, -98.11659 42.913874, -98.112327 42.913122, -98.111834 42.920235, -98.106795 42.922821, -98.106642 42.926252, -98.113273 42.928788, -98.113402 42.935993, -98.103724 42.937918, -98.108677 42.942857, -98.107653 42.947637, -98.104107 42.95299, -98.097695 42.959351, -98.098537 42.961546, -98.095021 42.965756, -98.098853 42.968498, -98.092782 42.973921, -98.093937 42.978655, -98.100886 42.982267, -98.101326 42.988213, -98.106531 42.992351, -98.113145 43.001228, -98.111721 43.013121, -98.108264 43.016233, -98.110606 43.022041, -98.094868 43.029846, -98.098394 43.034603, -98.102792 43.037117, -98.101613 43.047021, -98.104921 43.051091, -98.103272 43.056535, -98.106705 43.059278, -98.105459 43.06216, -98.108674 43.065132, -98.108429 43.071993, -98.110333 43.073433, -98.108123 43.078466, -98.109534 43.087477, -98.106822 43.093219, -98.107628 43.096613))"
"46","57272","4657272","B5","G6350","S","86707373","2875375","+45.1012250","-097.4628710","N","POLYGON ((-97.473726 45.035897, -97.473494 45.050715, -97.411916 45.050156, -97.4118 45.065087, -97.432268 45.065113, -97.432305 45.093824, -97.409565 45.093938, -97.412182 45.096689, -97.412246 45.108444, -97.402119 45.108422, -97.402086 45.122896, -97.412272 45.122896, -97.412309 45.137394, -97.422614 45.137314, -97.42244 45.1517, -97.514684 45.151667, -97.514639 45.137287, -97.53503 45.137297, -97.534941 45.108399, -97.519386 45.108396, -97.519394 45.098057, -97.51462 45.098053, -97.514579 45.079394, -97.504254 45.07932, -97.504189 45.071649, -97.499375 45.071641, -97.499383 45.067993, -97.494053 45.067986, -97.494048 45.035857, -97.473726 45.035897))"
