STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10,WKT
"48","75801","4875801","B5","G6350","S","555807428","6484251","+31.7345202","-095.5313809","N","POLYGON ((-95.497146 31.860214, -95.521259 31.848441, -95.617496 31.777302, -95.643698 31.769517, -95.660982 31.739217, -95.704278 31.714484, -95.740979 31.683471, -95.762016 31.656079, -95.789679 31.648776, -95.795636 31.62893, -95.767234 31.597581, -95.748669 31.617709, -95.757268 31.643548, -95.735681 31.653822, -95.723079 31.63726, -95.704695 31.627324, -95.683056 31.649632, -95.633601 31.631482, -95.622831 31.647418, -95.634687 31.685154, -95.614043 31.712057, -95.586007 31.705115, -95.585221 31.671225, -95.529344 31.64865, -95.512312 31.655414, -95.493045 31.648836, -95.471798 31.681741, -95.45829 31.688729, -95.402871 31.688011, -95.405951 31.667374, -95.389659 31.654172, -95.357466 31.663327, -95.331395 31.695521, -95.342483 31.718032, -95.366187 31.726753, -95.395608 31.763387, -95.395353 31.792764, -95.404014 31.802859, -95.414725 31.83563, -95.446024 31.847987, -95.431268 31.883419, -95.437678 31.897983, -95.44939 31.884094, -95.477668 31.870317, -95.479515 31.857315, -95.497146 31.860214))"
"48","75839","4875839","B5","G6350","S","381863557","3928555","+31.6066930","-095.5833403","N","POLYGON ((-95.389659 31.654172, -95.405951 31.667374, -95.402871 31.688011, -95.45829 31.688729, -95.471798 31.681741, -95.493045 31.648836, -95.512312 31.655414, -95.529344 31.64865, -95.585221 31.671225, -95.586007 31.705115, -95.614043 31.712057, -95.634687 31.685154, -95.622831 31.647418, -95.633601 31.631482, -95.683056 31.649632, -95.704695 31.627324, -95.723079 31.63726, -95.710112 31.615587, -95.721855 31.586281, -95.718512 31.553659, -95.751072 31.551964, -95.756495 31.531052, -95.737034 31.518534, -95.739279 31.504056, -95.647171 31.527014, -95.628912 31.53737, -95.584938 31.52277, -95.564093 31.554195, -95.512061 31.574252, -95.482666 31.566262, -95.47505 31.600005, -95.459334 31.614789, -95.434176 31.61931, -95.423231 31.59594, -95.382 31.596549, -95.375578 31.612509, -95.399272 31.631962, -95.389659 31.654172))"
"48","78336","4878336","B5","G6350","S","126923194","31624523","+27.9269126","-097.1777757","N","POLYGON ((-97.233476 27.89176, -97.232103 27.908176, -97.20666 27.919866, -97.197275 27.89754, -97.153777 27.876182, -97.188173 27.824249, -97.129519 27.831683, -97.125244 27.892707, -97.135134 27.897216, -97.089666 27.966313, -97.10562 27.956867, -97.168713 27.996343, -97.187227 27.974459, -97.217976 28.006301, -97.246465 28.020607, -97.249612 27.99118, -97.227487 27.984577, -97.231476 27.927514, -97.268895 27.926462, -97.280673 27.916797, -97.233476 27.89176))"
"48","76389","4876389","B5","G6350","S","515265783","10157866","+33.5126278","-098.4576268","N","MULTIPOLYGON (((-98.401242 33.451138, -98.37035 33.441764, -98.361642 33.382106, -98.34732 33.393774, -98.349621 33.409419, -98.32867 33.41476, -98.328893 33.446272, -98.371687 33.444994, -98.401242 33.451138)), ((-98.423089 33.647355, -98.456924 33.641852, -98.47799 33.629661, -98.475954 33.593231, -98.502758 33.593522, -98.523439 33.578359, -98.553777 33.578614, -98.554814 33.554177, -98.543664 33.538378, -98.544478 33.508329, -98.602243 33.510486, -98.607531 33.466983, -98.611756 33.395474, -98.538684 33.395846, -98.420666 33.396195, -98.421241 33.450961, -98.421419 33.466797, -98.397649 33.466755, -98.397475 33.490257, -98.375639 33.508561, -98.342114 33.50656, -98.324105 33.496207, -98.323787 33.53127, -98.309472 33.551132, -98.353393 33.561519, -98.335557 33.585411, -98.335329 33.603832, -98.346466 33.643276, -98.334208 33.669565, -98.358687 33.678485, -98.381697 33.671749, -98.423089 33.647355)))"
"48","76310","4876310","B5","G6350","S","465637930","24888388","+33.7990847","-098.5098400","N","POLYGON ((-98.424432 33.882732, -98.456823 33.882263, -98.475611 33.867565, -98.477019 33.844064, -98.518808 33.844264, -98.51917 33.835649, -98.550382 33.812771, -98.56183 33.8204, -98.560961 33.873924, -98.568831 33.883281, -98.565961 33.917769, -98.597063 33.907084, -98.632757 33.891759, -98.645287 33.911813, -98.697153 33.897978, -98.696732 33.855697, -98.707449 33.834691, -98.694328 33.824834, -98.668704 33.83487, -98.637646 33.835037, -98.637729 33.823283, -98.669054 33.81627, -98.656484 33.795057, -98.60752 33.80885, -98.602767 33.750039, -98.605881 33.710707, -98.549815 33.687388, -98.551538 33.675024, -98.522636 33.666837, -98.501075 33.72204, -98.481062 33.726483, -98.48086 33.746441, -98.423369 33.745513, -98.42311 33.681166, -98.380911 33.698023, -98.349638 33.725027, -98.348058 33.741306, -98.37011 33.763951, -98.361333 33.780141, -98.365579 33.820821, -98.347572 33.831934, -98.347112 33.868765, -98.424432 33.882732))"
"48","78011","4878011","B5","G6350","S","493710052","579968","+28.7909153","-098.7176338","N","POLYGON ((-98.771835 28.991364, -98.7473 28.967842, -98.758606 28.950309, -98.740706 28.941556, -98.758577 28.920333, -98.803955 28.948156, -98.802109 28.780896, -98.800841 28.647487, -98.656899 28.648364, -98.620859 28.648352, -98.637783 28.666745, -98.639344 28.713276, -98.611003 28.702596, -98.591531 28.687741, -98.592084 28.752089, -98.610352 28.760784, -98.634502 28.741238, -98.657814 28.735633, -98.680695 28.812505, -98.744778 28.796896, -98.7493 28.811197, -98.734378 28.829759, -98.710224 28.821964, -98.693324 28.841262, -98.666321 28.848878, -98.633433 28.873837, -98.644626 28.892323, -98.644614 28.919707, -98.681884 28.921372, -98.719335 28.913416, -98.733856 28.953124, -98.72324 28.970649, -98.698785 28.958067, -98.681985 28.983175, -98.710232 28.991337, -98.757147 29.00939, -98.771835 28.991364))"
"48","78114","4878114","B5","G6350","S","950244404","4879176","+29.1147177","-098.2086610","N","POLYGON ((-98.062381 29.084542, -98.03045 29.097027, -98.000097 29.137641, -97.969705 29.126482, -97.980269 29.156227, -97.99657 29.166113, -97.992572 29.192357, -98.004248 29.203654, -98.021348 29.245609, -98.042402 29.25144, -98.054676 29.234097, -98.070253 29.250179, -98.068436 29.265336, -98.094442 29.252193, -98.116713 29.242159, -98.152559 29.26567, -98.195094 29.271278, -98.225777 29.275247, -98.257982 29.259162, -98.281905 29.255018, -98.29246 29.251235, -98.381446 29.144832, -98.366861 29.140259, -98.383509 29.102976, -98.383715 29.089384, -98.330822 29.033529, -98.372465 29.017491, -98.364582 28.982421, -98.376218 28.96946, -98.376077 28.928874, -98.344828 28.927498, -98.344542 28.940798, -98.314247 28.947745, -98.299106 28.958725, -98.271685 28.978477, -98.258994 28.97537, -98.191151 29.01086, -98.140355 28.936531, -98.106441 28.958877, -98.10139 28.983142, -98.139048 29.03278, -98.090461 29.063759, -98.101643 29.076163, -98.077167 29.091817, -98.062381 29.084542))"
"48","78052","4878052","B5","G6350","S","98193838","285316","+29.2036790","-098.7766943","N","POLYGON ((-98.804771 29.266128, -98.834917 29.266241, -98.83809 29.211499, -98.826146 29.197842, -98.804733 29.213917, -98.804788 29.151788, -98.765887 29.151858, -98.74232 29.159356, -98.726975 29.139463, -98.711041 29.137331, -98.727679 29.159103, -98.72772 29.203558, -98.699976 29.214763, -98.734966 29.22671, -98.760499 29.235339, -98.76389 29.250794, -98.804762 29.251148, -98.804771 29.266128))"
"48","79371","4879371","B5","G6350","S","728089826","139271","+33.9526210","-102.9662131","N","MULTIPOLYGON (((-102.436338 33.964866, -102.462897 33.972663, -102.462121 34.017177, -102.481644 34.017352, -102.481426 34.055546, -102.434459 34.073009, -102.420306 34.072973, -102.424501 34.102639, -102.419485 34.128458, -102.455621 34.143737, -102.471789 34.159552, -102.515189 34.161478, -102.515788 34.109227, -102.571365 34.109648, -102.615394 34.125338, -102.615309 34.094754, -102.589847 34.094511, -102.592149 34.048818, -102.615363 34.048965, -102.615478 33.972505, -102.615472 33.842113, -102.576416 33.84942, -102.576091 33.8728, -102.595059 33.873123, -102.59479 33.89589, -102.57662 33.895938, -102.53692 33.923182, -102.527596 33.956645, -102.527784 34.000089, -102.499913 34.017497, -102.500058 33.994546, -102.518471 33.971818, -102.496291 33.956388, -102.491192 33.941081, -102.454957 33.941573, -102.44571 33.949534, -102.436338 33.964866)), ((-102.790841 33.873586, -102.792157 33.888307, -102.776033 33.915627, -102.784811 33.929587, -102.77988 33.950683, -102.792919 33.969202, -102.830082 33.973352, -102.830637 33.943586, -102.812259 33.943099, -102.81276 33.915921, -102.831374 33.904351, -102.877383 33.904808, -102.906076 33.893902, -102.904065 34.016406, -102.8808 34.021485, -102.882751 34.06161, -102.990481 34.062558, -103.008111 34.047819, -103.008989 34.003611, -103.043617 34.00364, -103.047346 33.824675, -102.974339 33.824675, -102.974077 33.872742, -102.941293 33.879651, -102.933659 33.854037, -102.873006 33.853853, -102.873018 33.824802, -102.80968 33.824896, -102.809367 33.85556, -102.790841 33.873586)))"
"48","78650","4878650","B5","G6350","S","172543341","488366","+30.3038849","-097.2188991","N","POLYGON ((-97.267289 30.282712, -97.24918 30.270182, -97.27432 30.232193, -97.230921 30.196661, -97.205857 30.192176, -97.1908 30.207573, -97.207178 30.2245, -97.16994 30.237768, -97.194557 30.268937, -97.173658 30.279018, -97.161881 30.296496, -97.169728 30.317988, -97.181554 30.357365, -97.179851 30.377218, -97.191509 30.403176, -97.222095 30.41369, -97.236819 30.405419, -97.225076 30.372997, -97.262882 30.357273, -97.270226 30.329294, -97.283202 30.309072, -97.261467 30.295071, -97.267289 30.282712))"
