STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10,WKT
"50","05733","5005733","B5","G6350","S","295939588","4270532","+43.8106193","-073.0903328","N","POLYGON ((-73.058211 43.962829, -73.045779 43.964339, -73.045797 43.960833, -73.046265 43.956533, -73.046379 43.949675, -73.047784 43.940348, -73.049217 43.93299, -73.049555 43.922216, -73.038836 43.923147, -73.038738 43.921246, -73.039359 43.913875, -73.041518 43.912638, -73.044447 43.913008, -73.046284 43.912414, -73.04825 43.90917, -73.051461 43.909963, -73.05442 43.908609, -73.057867 43.90819, -73.05877 43.907323, -73.061023 43.907231, -73.062291 43.905663, -73.065625 43.904761, -73.066439 43.902858, -73.068268 43.902427, -73.068155 43.901087, -73.069755 43.897478, -73.071579 43.894967, -73.070424 43.890653, -73.070895 43.888981, -73.068649 43.88857, -73.067533 43.887615, -73.069263 43.885794, -73.066994 43.884909, -73.066827 43.883403, -73.06396 43.883783, -73.063583 43.881205, -73.066054 43.88067, -73.068005 43.880915, -73.067426 43.878497, -73.064387 43.879007, -73.063648 43.876188, -73.064495 43.872725, -73.068762 43.873437, -73.067449 43.877403, -73.069611 43.876805, -73.07037 43.879645, -73.072532 43.880775, -73.076386 43.881525, -73.076143 43.88324, -73.078799 43.885743, -73.080703 43.886202, -73.078588 43.888575, -73.078239 43.890302, -73.078945 43.891876, -73.07925 43.894767, -73.078587 43.896514, -73.082664 43.895654, -73.097487 43.894517, -73.106074 43.893368, -73.104931 43.891141, -73.11059 43.889901, -73.113587 43.888928, -73.11435 43.885758, -73.116755 43.886135, -73.119992 43.882925, -73.122366 43.881915, -73.129992 43.879705, -73.131698 43.880201, -73.133891 43.878941, -73.137722 43.879381, -73.140135 43.878393, -73.143699 43.873679, -73.143275 43.872358, -73.144202 43.870302, -73.146312 43.868464, -73.147893 43.866169, -73.148025 43.86293, -73.147635 43.856644, -73.148185 43.855396, -73.143023 43.855267, -73.12816 43.856429, -73.126054 43.850906, -73.125076 43.846722, -73.126242 43.84346, -73.151246 43.842559, -73.156173 43.842314, -73.15558 43.839666, -73.171303 43.839087, -73.172342 43.832667, -73.178803 43.824769, -73.179928 43.822299, -73.181699 43.821979, -73.186297 43.823668, -73.187227 43.822114, -73.190616 43.819607, -73.19364 43.818872, -73.193374 43.825767, -73.197131 43.827806, -73.203272 43.828862, -73.204267 43.828749, -73.212333 43.825282, -73.216556 43.823265, -73.22119 43.820592, -73.232059 43.815542, -73.233868 43.813382, -73.233826 43.808105, -73.234824 43.806068, -73.235466 43.802458, -73.23492 43.80163, -73.235735 43.797951, -73.242759 43.798905, -73.243591 43.797325, -73.242297 43.794195, -73.241486 43.788205, -73.241919 43.78566, -73.241021 43.778035, -73.238873 43.774898, -73.238966 43.772617, -73.237986 43.768363, -73.234318 43.764192, -73.231377 43.764469, -73.232556 43.751366, -73.23297 43.748664, -73.211107 43.749453, -73.212473 43.748258, -73.212321 43.746319, -73.210719 43.74617, -73.208916 43.744923, -73.204812 43.74712, -73.203238 43.749514, -73.202951 43.744537, -73.206932 43.740522, -73.209003 43.738902, -73.211027 43.738142, -73.212433 43.734419, -73.212696 43.732295, -73.214942 43.732198, -73.215455 43.733865, -73.21446 43.736112, -73.215006 43.73754, -73.217861 43.738366, -73.219629 43.735408, -73.218908 43.732869, -73.219772 43.731359, -73.221923 43.720362, -73.217578 43.718524, -73.215343 43.71803, -73.213112 43.716549, -73.211307 43.717253, -73.207719 43.716461, -73.206084 43.717154, -73.201938 43.716994, -73.200224 43.716544, -73.195824 43.718444, -73.193667 43.718213, -73.192042 43.718639, -73.190619 43.721605, -73.190589 43.723487, -73.187154 43.729555, -73.187752 43.732472, -73.185958 43.734821, -73.185564 43.737633, -73.184383 43.737956, -73.183408 43.74131, -73.186687 43.745228, -73.182378 43.750196, -73.136257 43.751937, -73.137492 43.745666, -73.137177 43.742851, -73.136217 43.741098, -73.133724 43.738749, -73.132379 43.735547, -73.13813 43.732137, -73.14137 43.731166, -73.141917 43.729773, -73.140654 43.728222, -73.140419 43.725698, -73.137415 43.725815, -73.134395 43.724983, -73.129603 43.720466, -73.124961 43.714731, -73.124435 43.712439, -73.123414 43.711842, -73.122725 43.709656, -73.120461 43.70892, -73.118141 43.709194, -73.124555 43.729463, -73.129084 43.744291, -73.131342 43.752074, -73.124462 43.752286, -73.100894 43.753457, -73.088755 43.753912, -73.08725 43.749079, -73.082923 43.749531, -73.081373 43.74897, -73.076401 43.745186, -73.073275 43.743675, -73.070565 43.743652, -73.069675 43.740509, -73.069253 43.736783, -73.070495 43.734452, -73.068168 43.72188, -73.068232 43.719856, -73.067209 43.715166, -73.064634 43.715103, -73.060656 43.71655, -73.059809 43.720295, -73.05864 43.719764, -73.054936 43.720883, -73.053399 43.720158, -73.050828 43.719742, -73.039835 43.719861, -73.039329 43.723456, -73.038047 43.729094, -73.03923 43.732885, -73.042494 43.737506, -73.046588 43.744166, -73.046985 43.745248, -73.048342 43.755561, -73.036415 43.755868, -73.004994 43.756828, -73.003034 43.757393, -73.004447 43.762936, -73.014268 43.796596, -73.016831 43.804953, -72.993584 43.813189, -72.98819 43.815147, -72.966948 43.823525, -72.958853 43.826542, -72.964083 43.83988, -72.972896 43.866692, -72.980165 43.863928, -72.980158 43.882587, -73.001639 43.88861, -72.993252 43.901838, -72.979716 43.922414, -72.990095 43.922433, -72.999437 43.922225, -73.019017 43.922642, -73.019841 43.924584, -73.020459 43.929819, -73.019921 43.933456, -73.020412 43.936613, -73.021121 43.937868, -73.022261 43.943108, -73.026005 43.94683, -73.026203 43.948293, -73.024423 43.949763, -73.025764 43.953805, -73.026355 43.958404, -73.027622 43.959773, -73.028707 43.962555, -73.030821 43.965906, -73.031202 43.968124, -73.035833 43.971606, -73.042534 43.970971, -73.043901 43.969967, -73.052777 43.967768, -73.053923 43.969001, -73.057332 43.969752, -73.059174 43.970614, -73.058211 43.962829))"
"50","05778","5005778","B5","G6350","S","64436792","507526","+43.8764214","-073.2125366","N","POLYGON ((-73.17929 43.908372, -73.181439 43.908532, -73.198668 43.90886, -73.21929 43.906953, -73.233164 43.905416, -73.233278 43.911134, -73.231925 43.914513, -73.231014 43.918304, -73.231416 43.921084, -73.234143 43.921084, -73.243228 43.920208, -73.247873 43.920459, -73.253998 43.920642, -73.261368 43.920147, -73.261951 43.919182, -73.265351 43.917064, -73.266409 43.915078, -73.267898 43.914843, -73.26894 43.913503, -73.270539 43.913783, -73.274778 43.912024, -73.275642 43.909057, -73.279025 43.90511, -73.281023 43.898785, -73.28231 43.896534, -73.282538 43.894328, -73.281775 43.892049, -73.277903 43.886838, -73.27745 43.88136, -73.273206 43.875858, -73.271577 43.876342, -73.270764 43.87199, -73.26325 43.871647, -73.257865 43.869044, -73.248926 43.870267, -73.239414 43.869548, -73.238136 43.869186, -73.231066 43.865708, -73.225296 43.86408, -73.225384 43.863615, -73.222688 43.858072, -73.22056 43.846136, -73.220235 43.843496, -73.218774 43.838843, -73.218956 43.837291, -73.216556 43.823265, -73.212333 43.825282, -73.204267 43.828749, -73.203272 43.828862, -73.197131 43.827806, -73.193374 43.825767, -73.19364 43.818872, -73.190616 43.819607, -73.187227 43.822114, -73.186297 43.823668, -73.181699 43.821979, -73.179928 43.822299, -73.178803 43.824769, -73.172342 43.832667, -73.171303 43.839087, -73.15558 43.839666, -73.156173 43.842314, -73.151246 43.842559, -73.126242 43.84346, -73.125076 43.846722, -73.126054 43.850906, -73.12816 43.856429, -73.143023 43.855267, -73.148185 43.855396, -73.147635 43.856644, -73.148025 43.86293, -73.147893 43.866169, -73.152055 43.86855, -73.157266 43.869769, -73.159906 43.86896, -73.161629 43.864968, -73.164641 43.862873, -73.167508 43.862541, -73.170973 43.863069, -73.172634 43.864086, -73.173407 43.866494, -73.176774 43.868137, -73.1771 43.868934, -73.176128 43.872862, -73.176158 43.87451, -73.173835 43.881993, -73.175093 43.884705, -73.176793 43.886569, -73.180283 43.889055, -73.186474 43.890342, -73.188545 43.893256, -73.18856 43.895129, -73.186519 43.897284, -73.183779 43.898078, -73.183051 43.900579, -73.1805 43.904275, -73.17929 43.908372))"
"50","05491","5005491","B5","G6350","S","223217171","9004062","+44.1119610","-073.3107961","N","POLYGON ((-73.263024 44.034756, -73.263842 44.037755, -73.267051 44.039092, -73.270763 44.042538, -73.273036 44.05348, -73.2768 44.053071, -73.279992 44.07062, -73.274562 44.071464, -73.274892 44.073971, -73.262625 44.075672, -73.262829 44.08002, -73.250943 44.080491, -73.250529 44.084451, -73.245764 44.086365, -73.243181 44.086379, -73.237881 44.087414, -73.236846 44.087929, -73.232682 44.092503, -73.229369 44.096129, -73.228483 44.098172, -73.225956 44.099655, -73.221646 44.104321, -73.21863 44.108715, -73.216373 44.109168, -73.20416 44.110001, -73.20576 44.116469, -73.207234 44.124998, -73.211736 44.148815, -73.213578 44.159923, -73.201913 44.158083, -73.20137 44.15688, -73.199068 44.155831, -73.198665 44.154002, -73.197089 44.152085, -73.192266 44.150349, -73.19312 44.148108, -73.18864 44.143846, -73.185611 44.146077, -73.186145 44.155693, -73.186817 44.15753, -73.173803 44.158027, -73.176004 44.169078, -73.179623 44.18445, -73.180288 44.187351, -73.183505 44.186716, -73.191785 44.179286, -73.195123 44.176645, -73.198692 44.176053, -73.205466 44.17576, -73.214859 44.174724, -73.213082 44.184664, -73.210874 44.189486, -73.210082 44.192594, -73.210469 44.196193, -73.212065 44.199, -73.214266 44.199783, -73.215712 44.198307, -73.217006 44.198894, -73.221677 44.195969, -73.221454 44.193809, -73.222084 44.191767, -73.22736 44.193937, -73.228778 44.193536, -73.234182 44.193615, -73.23636 44.192366, -73.23845 44.194028, -73.239989 44.194051, -73.244964 44.18939, -73.247232 44.188704, -73.24644 44.185531, -73.244494 44.183163, -73.247901 44.180609, -73.256707 44.179831, -73.25965 44.179112, -73.272812 44.177193, -73.270238 44.169683, -73.270663 44.165333, -73.287418 44.163706, -73.28671 44.166864, -73.287345 44.16854, -73.289871 44.169491, -73.295545 44.169266, -73.298363 44.171658, -73.298934 44.175137, -73.300843 44.175915, -73.305636 44.176657, -73.307022 44.17817, -73.309643 44.184673, -73.312734 44.187813, -73.312856 44.189506, -73.31156 44.193118, -73.311881 44.194881, -73.314156 44.19767, -73.319985 44.199835, -73.321372 44.201335, -73.321451 44.204168, -73.320569 44.206239, -73.321588 44.208339, -73.324354 44.209841, -73.321541 44.211375, -73.320525 44.212684, -73.320724 44.215932, -73.319833 44.216882, -73.316901 44.218064, -73.315987 44.220049, -73.317331 44.22285, -73.31981 44.224471, -73.324405 44.225579, -73.325152 44.224145, -73.320685 44.223957, -73.317998 44.221735, -73.317799 44.218828, -73.320557 44.217726, -73.322711 44.218086, -73.324968 44.216877, -73.326788 44.217776, -73.332581 44.217325, -73.333083 44.21962, -73.335602 44.219238, -73.337485 44.217149, -73.339718 44.216659, -73.346034 44.213695, -73.345915 44.21259, -73.350158 44.211868, -73.35154 44.210556, -73.35277 44.208025, -73.353094 44.205356, -73.35601 44.20362, -73.357809 44.198807, -73.362396 44.199751, -73.363922 44.197653, -73.362648 44.196473, -73.364454 44.195456, -73.366086 44.196265, -73.370444 44.192348, -73.370552 44.189316, -73.371423 44.186469, -73.370959 44.182943, -73.37021 44.181532, -73.364969 44.182191, -73.357771 44.180548, -73.35422 44.179043, -73.351073 44.176909, -73.350778 44.17568, -73.351881 44.17313, -73.35549 44.167506, -73.360068 44.163471, -73.363031 44.154587, -73.364696 44.151761, -73.367362 44.14994, -73.365367 44.147738, -73.366463 44.146043, -73.368087 44.145697, -73.370479 44.147378, -73.37111 44.144061, -73.370592 44.141996, -73.368791 44.142299, -73.36559 44.139697, -73.366229 44.136491, -73.368473 44.134156, -73.368233 44.132514, -73.369581 44.130566, -73.372754 44.12918, -73.373545 44.126706, -73.375199 44.125989, -73.376423 44.12351, -73.378873 44.120155, -73.378767 44.118862, -73.380124 44.11799, -73.382798 44.117546, -73.384856 44.114996, -73.386975 44.113558, -73.387908 44.110482, -73.388023 44.108311, -73.389221 44.105172, -73.388427 44.100017, -73.388899 44.099455, -73.387189 44.096752, -73.387326 44.09499, -73.389734 44.092768, -73.396412 44.091458, -73.397351 44.089819, -73.399604 44.088747, -73.401113 44.086761, -73.403366 44.086639, -73.406055 44.084475, -73.408925 44.084547, -73.409369 44.08038, -73.413555 44.079993, -73.414341 44.076451, -73.415812 44.072443, -73.41391 44.069869, -73.413804 44.068238, -73.412236 44.067582, -73.411948 44.064782, -73.413144 44.063376, -73.415259 44.062307, -73.415138 44.05987, -73.417628 44.05678, -73.41673 44.055445, -73.416656 44.052414, -73.419684 44.052568, -73.422873 44.049781, -73.424091 44.047493, -73.422729 44.045857, -73.422068 44.041298, -73.419931 44.039224, -73.420723 44.036494, -73.421956 44.034654, -73.421294 44.034017, -73.417544 44.03519, -73.412989 44.034028, -73.409171 44.032503, -73.407619 44.03087, -73.403795 44.030051, -73.399152 44.028302, -73.399043 44.027012, -73.398741 44.025902, -73.395012 44.025088, -73.391868 44.023735, -73.390639 44.022126, -73.388583 44.022062, -73.355456 44.025253, -73.346837 44.02625, -73.339956 44.026777, -73.312978 44.029408, -73.294291 44.031386, -73.294861 44.026954, -73.29454 44.024754, -73.289175 44.025235, -73.284887 44.026733, -73.281527 44.026397, -73.281343 44.028788, -73.27994 44.030265, -73.275026 44.033121, -73.269729 44.033669, -73.263024 44.034756))"
"50","05473","5005473","B5","G6350","S","48948666","942425","+44.2419365","-073.1946632","N","POLYGON ((-73.255363 44.230567, -73.252655 44.228235, -73.250287 44.228269, -73.24944 44.229349, -73.241242 44.230125, -73.243023 44.233923, -73.239959 44.233559, -73.235614 44.234526, -73.231688 44.237126, -73.230231 44.241143, -73.229231 44.248121, -73.227601 44.249404, -73.223556 44.249939, -73.22361 44.251196, -73.221383 44.252724, -73.218058 44.254148, -73.216696 44.255797, -73.214696 44.257071, -73.21343 44.259429, -73.211417 44.259399, -73.211317 44.257233, -73.212717 44.248431, -73.213723 44.24037, -73.211787 44.236351, -73.207039 44.232368, -73.206012 44.224797, -73.208279 44.22072, -73.207398 44.218391, -73.205461 44.216772, -73.200725 44.217406, -73.19922 44.221261, -73.195162 44.225537, -73.193195 44.229246, -73.189165 44.229417, -73.180288 44.187351, -73.179623 44.18445, -73.177391 44.184644, -73.177025 44.188352, -73.174579 44.191437, -73.168451 44.196587, -73.16578 44.203438, -73.163604 44.206444, -73.163131 44.208052, -73.164168 44.213977, -73.163588 44.214559, -73.156961 44.215974, -73.155437 44.216866, -73.152717 44.220318, -73.152351 44.221492, -73.153273 44.223614, -73.153378 44.225607, -73.151794 44.228508, -73.151494 44.230822, -73.150164 44.232852, -73.148229 44.23207, -73.147485 44.233873, -73.144878 44.236845, -73.146581 44.237306, -73.144124 44.241391, -73.13151 44.246634, -73.123788 44.252932, -73.124445 44.258067, -73.126136 44.259713, -73.131566 44.258925, -73.135203 44.25945, -73.135066 44.26072, -73.132591 44.262365, -73.134791 44.264762, -73.137308 44.266002, -73.136988 44.267906, -73.133681 44.268814, -73.133747 44.270823, -73.133083 44.275055, -73.145082 44.273403, -73.151207 44.272576, -73.16182 44.271532, -73.1968 44.266634, -73.243753 44.262259, -73.270542 44.260121, -73.268379 44.257163, -73.270432 44.255907, -73.272864 44.256515, -73.275122 44.257904, -73.27723 44.257099, -73.276889 44.255217, -73.280047 44.253036, -73.279866 44.251066, -73.275664 44.249463, -73.274384 44.248535, -73.270218 44.248148, -73.268962 44.247224, -73.26548 44.247131, -73.265045 44.244162, -73.26608 44.242368, -73.262638 44.242212, -73.262684 44.240126, -73.26555 44.239376, -73.268451 44.240257, -73.269448 44.245818, -73.273027 44.245453, -73.274403 44.244686, -73.277353 44.244249, -73.276439 44.242642, -73.272528 44.242272, -73.273014 44.241222, -73.27544 44.239984, -73.275108 44.236981, -73.273201 44.234562, -73.27 44.231741, -73.268474 44.231119, -73.267664 44.229536, -73.266114 44.229553, -73.26439 44.22837, -73.260703 44.227364, -73.257998 44.229524, -73.255363 44.230567))"
"50","05747","5005747","B5","G6350","S","131031229","249744","+44.0052915","-072.8413144","N","POLYGON ((-72.912193 43.965554, -72.909755 43.964747, -72.900703 43.961132, -72.87406 43.952065, -72.861443 43.947626, -72.840765 43.944289, -72.839905 43.944602, -72.81633 43.937805, -72.809996 43.936089, -72.803505 43.945662, -72.791336 43.961855, -72.780715 43.975982, -72.773629 43.985585, -72.754731 44.011175, -72.754836 44.012954, -72.759815 44.018234, -72.760316 44.021851, -72.759267 44.028281, -72.759973 44.033128, -72.762689 44.034493, -72.762902 44.0357, -72.821553 44.052634, -72.847154 44.060044, -72.854622 44.062055, -72.896904 44.07366, -72.909019 44.072587, -72.906441 44.062627, -72.905332 44.057742, -72.908083 44.035474, -72.90603 44.026014, -72.907717 43.999901, -72.907522 43.989055, -72.907654 43.9715, -72.912193 43.965554))"
"50","05770","5005770","B5","G6350","S","107000816","582042","+43.8819546","-073.3244898","N","POLYGON ((-73.258112 43.947228, -73.261731 43.946146, -73.274552 43.944801, -73.296582 43.94219, -73.302687 43.941628, -73.311519 43.941718, -73.321147 43.94065, -73.341033 43.937299, -73.355694 43.935785, -73.391417 43.931819, -73.389882 43.925853, -73.390265 43.921142, -73.389721 43.913161, -73.387401 43.911118, -73.386267 43.909429, -73.381244 43.907833, -73.376632 43.905947, -73.376308 43.904288, -73.374272 43.902103, -73.374799 43.901459, -73.373383 43.898174, -73.374257 43.896543, -73.373962 43.894716, -73.374818 43.892811, -73.374273 43.891584, -73.374201 43.886362, -73.370764 43.881712, -73.36859 43.880479, -73.367327 43.877994, -73.368115 43.875458, -73.366159 43.873168, -73.367193 43.866709, -73.372143 43.864358, -73.371465 43.86331, -73.372633 43.861331, -73.374444 43.860195, -73.373791 43.858628, -73.374791 43.857128, -73.376854 43.855795, -73.374999 43.853381, -73.372624 43.851481, -73.370069 43.851701, -73.368809 43.850832, -73.369048 43.847815, -73.367606 43.845593, -73.367475 43.842868, -73.368571 43.840034, -73.372269 43.837592, -73.37116 43.835911, -73.372053 43.833835, -73.375881 43.831492, -73.375452 43.829327, -73.373603 43.829274, -73.369935 43.830789, -73.368092 43.83042, -73.368288 43.82828, -73.366544 43.827625, -73.363099 43.823447, -73.360773 43.824026, -73.358813 43.819465, -73.354871 43.816491, -73.354104 43.814697, -73.352087 43.813327, -73.352564 43.812001, -73.354518 43.81121, -73.356289 43.808197, -73.35375 43.806148, -73.350181 43.80652, -73.348847 43.806203, -73.34583 43.804017, -73.342626 43.804664, -73.340694 43.805959, -73.339011 43.804593, -73.336564 43.804, -73.336572 43.805355, -73.331845 43.807685, -73.332209 43.809122, -73.330042 43.809689, -73.328488 43.811328, -73.32708 43.814773, -73.327391 43.816678, -73.32696 43.820498, -73.32759 43.821011, -73.326286 43.824468, -73.324264 43.82729, -73.320005 43.827519, -73.318019 43.827037, -73.316614 43.827396, -73.314542 43.829004, -73.313334 43.83109, -73.30771 43.835646, -73.308103 43.838156, -73.306184 43.839127, -73.305949 43.842567, -73.30488 43.844302, -73.303348 43.844244, -73.303682 43.846216, -73.303121 43.847904, -73.300268 43.849393, -73.297449 43.849292, -73.296596 43.850414, -73.28026 43.852153, -73.271203 43.852983, -73.253256 43.854413, -73.2386 43.856511, -73.222688 43.858072, -73.225384 43.863615, -73.225296 43.86408, -73.231066 43.865708, -73.238136 43.869186, -73.239414 43.869548, -73.248926 43.870267, -73.257865 43.869044, -73.26325 43.871647, -73.270764 43.87199, -73.271577 43.876342, -73.273206 43.875858, -73.27745 43.88136, -73.277903 43.886838, -73.281775 43.892049, -73.282538 43.894328, -73.28231 43.896534, -73.281023 43.898785, -73.279025 43.90511, -73.275642 43.909057, -73.274778 43.912024, -73.270539 43.913783, -73.26894 43.913503, -73.267898 43.914843, -73.266409 43.915078, -73.265351 43.917064, -73.261951 43.919182, -73.261368 43.920147, -73.253998 43.920642, -73.247873 43.920459, -73.249489 43.92399, -73.255579 43.943164, -73.258112 43.947228), (-73.32442 43.830895, -73.321412 43.830069, -73.319103 43.828781, -73.318918 43.827294, -73.322378 43.828573, -73.32442 43.830895), (-73.32442 43.830895, -73.327131 43.831171, -73.330851 43.830019, -73.333577 43.829856, -73.338778 43.831969, -73.341168 43.833605, -73.351398 43.836855, -73.354369 43.837565, -73.358425 43.837296, -73.35968 43.837954, -73.360216 43.840042, -73.362598 43.843838, -73.349023 43.845631, -73.342297 43.846097, -73.335637 43.84415, -73.330349 43.841526, -73.32741 43.837465, -73.326028 43.833085, -73.32442 43.830895))"
"50","05252","5005252","B5","G6350","S","100844368","672750","+43.0810107","-073.0687593","N","POLYGON ((-73.080579 43.119233, -73.085086 43.115832, -73.087888 43.112331, -73.091709 43.10518, -73.094758 43.10026, -73.099513 43.093845, -73.101981 43.090907, -73.10585 43.087093, -73.110786 43.082965, -73.109903 43.079012, -73.11355 43.079123, -73.114327 43.080028, -73.117979 43.076417, -73.121157 43.072008, -73.122972 43.068295, -73.125114 43.06068, -73.128972 43.063485, -73.13096 43.063641, -73.131772 43.064625, -73.13236 43.067751, -73.131806 43.07125, -73.133098 43.07217, -73.138202 43.068023, -73.138323 43.058821, -73.139745 43.043381, -73.140484 43.025853, -73.081129 43.023982, -73.035809 43.022452, -73.002789 43.023007, -73.00054 43.061951, -72.999146 43.092995, -72.998577 43.096858, -72.99938 43.097861, -72.998677 43.109304, -72.997308 43.114962, -72.997126 43.116994, -73.003734 43.117147, -73.044652 43.118209, -73.080579 43.119233))"
"50","05251","5005251","B5","G6350","S","90411653","126681","+43.2641828","-073.0636310","N","POLYGON ((-73.128019 43.213817, -73.083191 43.212643, -73.074615 43.212774, -73.041069 43.211973, -73.040742 43.214277, -73.039775 43.215506, -73.036341 43.215634, -73.030097 43.220618, -73.029903 43.222929, -73.026813 43.226344, -73.024016 43.232374, -73.020826 43.23752, -73.020273 43.239594, -73.02027 43.242885, -73.021098 43.246362, -73.021827 43.251789, -73.020968 43.257748, -73.019438 43.261488, -73.018907 43.266953, -73.017401 43.272121, -73.017819 43.27573, -73.017201 43.278247, -73.017885 43.280981, -73.017899 43.283898, -73.016768 43.287386, -73.013223 43.286674, -73.010929 43.287993, -73.008885 43.288114, -73.005344 43.287226, -73.004052 43.284572, -73.002186 43.283982, -73.00089 43.287271, -73.001543 43.290764, -73.000618 43.292879, -72.998473 43.29493, -72.997367 43.2967, -72.995791 43.301133, -72.994975 43.305202, -73.048191 43.307169, -73.093351 43.3071, -73.122704 43.308682, -73.122781 43.288316, -73.122922 43.271585, -73.12455 43.236119, -73.125226 43.230796, -73.126416 43.224222, -73.128019 43.213817))"
"50","05260","5005260","B5","G6350","S","24920356","251841","+42.8088364","-073.2656208","N","POLYGON ((-73.278306 42.837558, -73.278673 42.83341, -73.284311 42.834954, -73.285388 42.834093, -73.287063 42.82014, -73.283695 42.813856, -73.286547 42.809484, -73.286343 42.808063, -73.290944 42.80192, -73.281557 42.76614, -73.268184 42.773577, -73.265793 42.773105, -73.259163 42.772999, -73.255348 42.773212, -73.252064 42.772441, -73.248797 42.775001, -73.250212 42.776218, -73.250503 42.778294, -73.249159 42.780042, -73.24927 42.781511, -73.250526 42.783084, -73.255199 42.785075, -73.252684 42.786046, -73.255207 42.789347, -73.251925 42.788679, -73.249249 42.790925, -73.248185 42.792789, -73.248454 42.79525, -73.249928 42.797813, -73.2503 42.801692, -73.247146 42.804927, -73.246567 42.808902, -73.244669 42.813055, -73.242335 42.815498, -73.23946 42.816589, -73.236742 42.81931, -73.235396 42.822142, -73.23446 42.825874, -73.234542 42.829358, -73.231707 42.832334, -73.229786 42.836366, -73.230072 42.837466, -73.249734 42.837475, -73.278306 42.837558))"
"50","05042","5005042","B5","G6350","S","61643510","311783","+44.2221646","-072.0967561","N","MULTIPOLYGON (((-72.043061 44.156596, -72.039117 44.155419, -72.039848 44.156975, -72.043061 44.156596)), ((-72.043061 44.156596, -72.043896 44.158449, -72.042174 44.161619, -72.046684 44.161415, -72.048068 44.162441, -72.049031 44.165165, -72.051837 44.166361, -72.053216 44.168305, -72.054765 44.172892, -72.056355 44.175483, -72.057881 44.180191, -72.060088 44.18357, -72.065918 44.189289, -72.066013 44.19117, -72.064367 44.195683, -72.064157 44.197988, -72.060868 44.199636, -72.059348 44.201195, -72.058156 44.204134, -72.057854 44.206167, -72.058406 44.208168, -72.059992 44.209792, -72.05847 44.211855, -72.055571 44.212752, -72.05389 44.215224, -72.052564 44.218155, -72.05386 44.222866, -72.053836 44.224702, -72.052928 44.227685, -72.050784 44.232325, -72.049967 44.235184, -72.047799 44.238531, -72.048134 44.240525, -72.049789 44.243818, -72.053488 44.246493, -72.054823 44.247882, -72.055841 44.250885, -72.059042 44.255718, -72.064639 44.257155, -72.081801 44.259539, -72.086229 44.260288, -72.08569 44.264001, -72.081503 44.273272, -72.078587 44.275871, -72.079624 44.277368, -72.082338 44.276485, -72.084066 44.275122, -72.085738 44.276589, -72.089852 44.275534, -72.092082 44.273939, -72.094367 44.274392, -72.096676 44.275659, -72.095505 44.271214, -72.097075 44.268115, -72.095379 44.261823, -72.131821 44.267773, -72.144837 44.270186, -72.146608 44.268099, -72.14667 44.265835, -72.149715 44.261729, -72.154998 44.259726, -72.157273 44.257818, -72.164485 44.2589, -72.169202 44.255333, -72.166596 44.246479, -72.164938 44.244731, -72.16455 44.241897, -72.163453 44.240325, -72.160232 44.229977, -72.159421 44.226524, -72.15565 44.221152, -72.154472 44.218918, -72.153455 44.215137, -72.150001 44.216524, -72.146638 44.216384, -72.143191 44.21398, -72.139968 44.21422, -72.13748 44.212686, -72.135585 44.212494, -72.130399 44.216537, -72.12852 44.217256, -72.119376 44.21729, -72.119656 44.219113, -72.122459 44.227432, -72.126912 44.225396, -72.123751 44.230696, -72.111755 44.233308, -72.106771 44.23074, -72.104226 44.226285, -72.105617 44.218385, -72.103573 44.208463, -72.108834 44.208003, -72.107152 44.205183, -72.106769 44.202405, -72.104937 44.200571, -72.104455 44.197683, -72.102898 44.194353, -72.101311 44.192553, -72.095369 44.193194, -72.094521 44.190446, -72.091818 44.188718, -72.089276 44.186439, -72.086922 44.177989, -72.085217 44.176061, -72.086289 44.174826, -72.086321 44.171283, -72.087328 44.169132, -72.056804 44.160701, -72.043061 44.156596)))"
