STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10,WKT
"51","23401","5123401","B5","G6350","S","5812909","0","+37.6274921","-075.7793963","N","POLYGON ((-75.807599 37.622336, -75.801919 37.619395, -75.792659 37.620483, -75.786004 37.621889, -75.777686 37.620127, -75.762271 37.619905, -75.754468 37.617881, -75.749568 37.623137, -75.756128 37.62574, -75.76546 37.625396, -75.773892 37.636045, -75.77779 37.639013, -75.783305 37.636669, -75.795062 37.63584, -75.804164 37.636281, -75.80173 37.634303, -75.791921 37.620957, -75.797878 37.620614, -75.800411 37.6224, -75.807599 37.622336))"
"51","23301","5123301","B5","G6350","S","70543263","17388712","+37.6812586","-075.6334638","N","POLYGON ((-75.697025 37.718415, -75.691626 37.713843, -75.697193 37.707579, -75.693694 37.703116, -75.697543 37.699738, -75.697234 37.696176, -75.693025 37.694932, -75.69588 37.687737, -75.699624 37.683124, -75.701172 37.676744, -75.691792 37.684719, -75.687819 37.681926, -75.683034 37.685483, -75.680717 37.691953, -75.666745 37.690391, -75.664456 37.682336, -75.661027 37.678722, -75.656228 37.677679, -75.655643 37.670668, -75.65244 37.666649, -75.654386 37.659091, -75.648897 37.65331, -75.647547 37.652375, -75.646641 37.642076, -75.634966 37.619328, -75.632422 37.611268, -75.625429 37.604629, -75.623301 37.600503, -75.620319 37.58596, -75.614622 37.581589, -75.611825 37.580621, -75.613409 37.581989, -75.611642 37.601453, -75.609536 37.611635, -75.599599 37.63022, -75.589536 37.654859, -75.584793 37.67003, -75.585966 37.67549, -75.589016 37.676232, -75.590149 37.683211, -75.59695 37.697761, -75.598698 37.706109, -75.596546 37.720483, -75.604088 37.72672, -75.608412 37.725215, -75.613954 37.72625, -75.621018 37.724695, -75.628288 37.732796, -75.632514 37.732366, -75.643076 37.740499, -75.639832 37.743126, -75.64502 37.750036, -75.653983 37.743884, -75.65984 37.745662, -75.674016 37.729783, -75.680012 37.730538, -75.68676 37.73387, -75.697025 37.718415))"
"51","23421","5123421","B5","G6350","S","83707362","14345029","+37.7646205","-075.6116470","N","POLYGON ((-75.715496 37.794464, -75.707353 37.78825, -75.702034 37.785759, -75.700485 37.77933, -75.696149 37.774115, -75.687278 37.77346, -75.681731 37.775978, -75.670722 37.771155, -75.666583 37.773316, -75.662437 37.770518, -75.665647 37.765623, -75.659504 37.76524, -75.653017 37.759511, -75.649082 37.767502, -75.648937 37.772654, -75.640261 37.768846, -75.642013 37.76523, -75.649688 37.757477, -75.644449 37.753955, -75.64502 37.750036, -75.639832 37.743126, -75.643076 37.740499, -75.632514 37.732366, -75.628288 37.732796, -75.621018 37.724695, -75.613954 37.72625, -75.608412 37.725215, -75.604088 37.72672, -75.596546 37.720483, -75.598698 37.706109, -75.59695 37.697761, -75.590149 37.683211, -75.589016 37.676232, -75.585966 37.67549, -75.583512 37.684816, -75.583992 37.688123, -75.581226 37.695447, -75.575752 37.702503, -75.568721 37.719871, -75.565084 37.731959, -75.559688 37.737008, -75.552672 37.741535, -75.547766 37.748205, -75.544539 37.749056, -75.540538 37.755638, -75.537212 37.763906, -75.542562 37.762552, -75.546252 37.764705, -75.539502 37.77294, -75.543674 37.777803, -75.551172 37.77398, -75.554668 37.769205, -75.56154 37.776799, -75.557698 37.780461, -75.561533 37.78337, -75.56143 37.786788, -75.568179 37.786051, -75.566725 37.790904, -75.567701 37.79604, -75.576163 37.794633, -75.580076 37.798006, -75.581289 37.803785, -75.586684 37.806751, -75.594283 37.807978, -75.603361 37.809576, -75.610077 37.81316, -75.61396 37.805962, -75.617315 37.803586, -75.62888 37.800327, -75.617644 37.816418, -75.6227 37.818808, -75.626407 37.823966, -75.631086 37.817102, -75.637514 37.820417, -75.641754 37.81963, -75.644501 37.81489, -75.65311 37.810528, -75.659805 37.803621, -75.655951 37.800645, -75.662646 37.794613, -75.6655 37.79752, -75.675157 37.799596, -75.684468 37.804082, -75.692892 37.802388, -75.696931 37.799389, -75.700509 37.803944, -75.71678 37.799546, -75.715496 37.794464))"
"51","23409","5123409","B5","G6350","S","21006112","3025295","+37.8876208","-075.6629073","N","POLYGON ((-75.703111 37.895767, -75.703269 37.89165, -75.69651 37.893025, -75.687584 37.88634, -75.685549 37.876384, -75.674143 37.878554, -75.657971 37.871083, -75.654172 37.871496, -75.648411 37.868353, -75.641359 37.870691, -75.633959 37.864784, -75.623124 37.859653, -75.62987 37.850559, -75.61669 37.849368, -75.611726 37.856433, -75.606784 37.856599, -75.600194 37.851344, -75.596747 37.858458, -75.595719 37.862132, -75.600931 37.862848, -75.604959 37.865836, -75.602878 37.877409, -75.610958 37.878247, -75.615589 37.882481, -75.621256 37.883944, -75.627677 37.887744, -75.631489 37.887791, -75.646562 37.896451, -75.655303 37.899528, -75.660823 37.902722, -75.672534 37.905334, -75.677444 37.900572, -75.688279 37.902067, -75.700526 37.896245, -75.703111 37.895767))"
"51","23302","5123302","B5","G6350","S","8610832","606451","+37.8656700","-075.5209149","N","POLYGON ((-75.517965 37.881166, -75.522591 37.874034, -75.532485 37.875016, -75.538699 37.870647, -75.536061 37.86533, -75.532968 37.864526, -75.52771 37.853696, -75.530922 37.853234, -75.526993 37.848987, -75.525291 37.843128, -75.520819 37.838841, -75.51483 37.837801, -75.511587 37.840686, -75.513301 37.847731, -75.511462 37.853056, -75.514757 37.855038, -75.504799 37.86812, -75.499845 37.865075, -75.498673 37.8697, -75.493309 37.877792, -75.504117 37.883612, -75.509652 37.877775, -75.517965 37.881166))"
"51","23442","5123442","B5","G6350","S","34581394","143220","+37.9047565","-075.5754368","N","POLYGON ((-75.608586 37.927432, -75.616895 37.932044, -75.622062 37.931284, -75.62576 37.935519, -75.630874 37.937193, -75.634691 37.933944, -75.638274 37.936418, -75.646386 37.935761, -75.6477 37.946963, -75.648214 37.946862, -75.648089 37.935971, -75.649978 37.926731, -75.643437 37.925193, -75.643412 37.916687, -75.635769 37.911001, -75.635275 37.904187, -75.636859 37.899877, -75.632442 37.896059, -75.622074 37.915103, -75.616231 37.91302, -75.612883 37.921397, -75.602415 37.917848, -75.597662 37.911045, -75.591185 37.910027, -75.589336 37.906389, -75.583759 37.903025, -75.57525 37.901216, -75.567841 37.898055, -75.568282 37.895711, -75.556134 37.881557, -75.557923 37.878688, -75.558182 37.86933, -75.546605 37.869449, -75.548758 37.877539, -75.545155 37.878521, -75.536449 37.877819, -75.532485 37.875016, -75.522591 37.874034, -75.517965 37.881166, -75.515946 37.88663, -75.509012 37.895523, -75.507813 37.8996, -75.520194 37.906457, -75.528909 37.909616, -75.532387 37.90755, -75.538293 37.910569, -75.541068 37.909212, -75.549043 37.912047, -75.54947 37.922179, -75.552259 37.920604, -75.560788 37.925264, -75.580133 37.925887, -75.604481 37.927792, -75.608586 37.927432))"
"51","23414","5123414","B5","G6350","S","3766302","8154","+37.8068144","-075.5798969","N","POLYGON ((-75.594283 37.807978, -75.586684 37.806751, -75.581289 37.803785, -75.580076 37.798006, -75.576163 37.794633, -75.567701 37.79604, -75.562447 37.807759, -75.568611 37.810852, -75.575337 37.811447, -75.579255 37.809833, -75.583426 37.811302, -75.579726 37.815436, -75.587916 37.819709, -75.594283 37.807978))"
"51","22923","5122923","B5","G6350","S","130240743","493304","+38.1883260","-078.3184337","N","POLYGON ((-78.316955 38.268702, -78.324163 38.269819, -78.331089 38.267323, -78.331848 38.261172, -78.338367 38.258486, -78.339466 38.252381, -78.345341 38.235869, -78.337665 38.231826, -78.338905 38.227393, -78.333761 38.223911, -78.349663 38.206856, -78.360324 38.207825, -78.362799 38.204496, -78.370722 38.207428, -78.375228 38.204291, -78.37948 38.20432, -78.385992 38.207804, -78.39661 38.191754, -78.403628 38.19358, -78.407173 38.18934, -78.400022 38.184868, -78.394862 38.185465, -78.3949 38.171711, -78.38066 38.171174, -78.379336 38.16336, -78.386215 38.161159, -78.388863 38.158506, -78.386654 38.155074, -78.380135 38.151035, -78.38121 38.146006, -78.378975 38.143267, -78.3849 38.137871, -78.380884 38.136217, -78.375787 38.137301, -78.369834 38.133402, -78.361381 38.137591, -78.356023 38.132459, -78.364341 38.128146, -78.353837 38.125509, -78.351999 38.117203, -78.347133 38.115457, -78.339457 38.109427, -78.331951 38.113848, -78.324062 38.113781, -78.327878 38.11817, -78.319519 38.125983, -78.311993 38.123988, -78.29543 38.121969, -78.288674 38.123822, -78.283634 38.132073, -78.27679 38.13353, -78.26945 38.1372, -78.265081 38.142348, -78.260591 38.142367, -78.256819 38.147909, -78.27301 38.153575, -78.277223 38.157847, -78.2708 38.165224, -78.271916 38.167729, -78.265369 38.172991, -78.258623 38.167088, -78.253053 38.17146, -78.254009 38.175627, -78.261981 38.173298, -78.270329 38.175323, -78.277267 38.175485, -78.284894 38.173969, -78.292647 38.18279, -78.283982 38.188595, -78.275147 38.196129, -78.271311 38.195788, -78.270782 38.202416, -78.272749 38.206797, -78.280364 38.214842, -78.28495 38.21439, -78.288708 38.221655, -78.294101 38.224297, -78.30781 38.213861, -78.311696 38.219133, -78.30446 38.222282, -78.301132 38.229134, -78.293504 38.226969, -78.276057 38.235875, -78.280634 38.241136, -78.274676 38.244098, -78.269767 38.23796, -78.254648 38.234097, -78.25054 38.233768, -78.252926 38.240146, -78.258774 38.241, -78.266106 38.249625, -78.272207 38.251812, -78.267959 38.26383, -78.281085 38.26836, -78.290378 38.273201, -78.295443 38.27728, -78.29774 38.274601, -78.305101 38.274076, -78.303831 38.26946, -78.30937 38.270049, -78.315149 38.272742, -78.316955 38.268702))"
"51","22938","5122938","B5","G6350","S","109962610","333208","+37.8658617","-078.7945266","N","POLYGON ((-78.813807 37.83099, -78.801091 37.829464, -78.800011 37.831978, -78.806705 37.835576, -78.802311 37.838985, -78.797922 37.83442, -78.787978 37.835661, -78.788749 37.829159, -78.779634 37.821995, -78.771902 37.819889, -78.770824 37.815852, -78.764552 37.816613, -78.762137 37.82119, -78.746331 37.831847, -78.737697 37.829736, -78.737926 37.825757, -78.744889 37.81748, -78.752189 37.811118, -78.751562 37.802871, -78.752853 37.799253, -78.748592 37.797611, -78.74464 37.804507, -78.738694 37.804389, -78.720068 37.820014, -78.720396 37.822217, -78.711298 37.825276, -78.707966 37.825099, -78.716981 37.840486, -78.711676 37.840863, -78.708976 37.84435, -78.702377 37.847102, -78.698457 37.852457, -78.697786 37.859533, -78.699283 37.855926, -78.706746 37.849399, -78.711737 37.871573, -78.71529 37.868073, -78.718855 37.872217, -78.731948 37.865258, -78.751136 37.89818, -78.757346 37.909046, -78.765374 37.909645, -78.783145 37.904232, -78.792844 37.900142, -78.802612 37.901176, -78.80401 37.907808, -78.80959 37.905298, -78.818662 37.916043, -78.817022 37.92031, -78.826399 37.920303, -78.830575 37.922069, -78.840177 37.917587, -78.845531 37.91216, -78.841018 37.90904, -78.833456 37.91058, -78.832567 37.906801, -78.833673 37.897987, -78.829572 37.891023, -78.832926 37.881746, -78.827121 37.879777, -78.824555 37.869138, -78.831124 37.867716, -78.840238 37.872446, -78.847787 37.873045, -78.85805 37.870493, -78.863876 37.870507, -78.868362 37.876688, -78.865064 37.881543, -78.866362 37.887741, -78.870457 37.885916, -78.870553 37.882457, -78.879017 37.87846, -78.878499 37.869704, -78.884585 37.866314, -78.880965 37.862171, -78.867223 37.862539, -78.872864 37.857728, -78.891462 37.853925, -78.900262 37.861363, -78.900408 37.865903, -78.907414 37.872527, -78.913139 37.869382, -78.913477 37.866033, -78.90966 37.859765, -78.905902 37.849572, -78.901255 37.842104, -78.890094 37.838253, -78.888013 37.835064, -78.87983 37.835405, -78.872924 37.838205, -78.863757 37.828168, -78.855061 37.828018, -78.839795 37.833377, -78.831581 37.839503, -78.833898 37.842643, -78.828011 37.847671, -78.825013 37.847697, -78.814319 37.843227, -78.817595 37.836499, -78.813807 37.83099))"
"51","22940","5122940","B5","G6350","S","81426695","382797","+38.1597423","-078.5561605","N","POLYGON ((-78.663174 38.277923, -78.620783 38.263275, -78.623758 38.259995, -78.620255 38.245755, -78.620405 38.240955, -78.627741 38.241269, -78.633683 38.237159, -78.619774 38.234618, -78.612266 38.229743, -78.6059 38.227187, -78.602735 38.228252, -78.590018 38.226602, -78.588219 38.220337, -78.585218 38.21817, -78.586201 38.209898, -78.582063 38.205328, -78.593381 38.19621, -78.600784 38.179317, -78.608421 38.180325, -78.609785 38.177411, -78.602951 38.172115, -78.60221 38.165482, -78.596532 38.159375, -78.605446 38.154783, -78.614048 38.156203, -78.617255 38.149119, -78.628753 38.150706, -78.628695 38.132387, -78.623413 38.125493, -78.618405 38.125758, -78.61242 38.122525, -78.609341 38.121885, -78.59971 38.114903, -78.596354 38.115777, -78.593666 38.122746, -78.579089 38.118344, -78.580049 38.122446, -78.571916 38.128051, -78.571089 38.13101, -78.564672 38.130264, -78.558352 38.139285, -78.555311 38.141121, -78.555823 38.146234, -78.562011 38.153639, -78.553831 38.153649, -78.548039 38.150272, -78.54306 38.151216, -78.538686 38.153752, -78.537474 38.158737, -78.533112 38.161443, -78.539224 38.165991, -78.536583 38.178531, -78.537953 38.183537, -78.544036 38.186528, -78.55367 38.187439, -78.556628 38.194383, -78.549663 38.197742, -78.555413 38.201131, -78.56663 38.19357, -78.579584 38.206984, -78.579036 38.211603, -78.571472 38.21215, -78.564948 38.208908, -78.556658 38.215744, -78.551863 38.218403, -78.57813 38.2254, -78.57813 38.232035, -78.56983 38.238748, -78.554517 38.241182, -78.57553 38.247827, -78.575265 38.243104, -78.584716 38.239631, -78.587886 38.233309, -78.597142 38.235878, -78.589758 38.240508, -78.591292 38.246578, -78.598258 38.252386, -78.596549 38.254871, -78.588605 38.253826, -78.591586 38.260067, -78.588268 38.26353, -78.581924 38.262723, -78.579727 38.264825, -78.583271 38.26966, -78.583332 38.273069, -78.593078 38.281182, -78.59298 38.285094, -78.604331 38.293011, -78.603424 38.298551, -78.608237 38.298683, -78.606499 38.292858, -78.613664 38.290673, -78.619391 38.290679, -78.622763 38.301904, -78.62937 38.299563, -78.633246 38.292907, -78.641931 38.291435, -78.65116 38.293803, -78.659111 38.286625, -78.663174 38.277923))"
"51","24457","5124457","B5","G6350","S","18604298","100094","+37.7645706","-079.9413075","N","POLYGON ((-79.885666 37.792127, -79.885084 37.789168, -79.891472 37.788444, -79.902667 37.785329, -79.913239 37.778032, -79.92159 37.776308, -79.933104 37.77643, -79.935868 37.774434, -79.952205 37.76938, -79.964582 37.77194, -79.961692 37.766229, -79.962022 37.762217, -79.966509 37.757109, -79.974858 37.754931, -79.96888 37.745985, -79.951958 37.750324, -79.948001 37.752895, -79.939379 37.750901, -79.925196 37.756338, -79.916905 37.757, -79.895644 37.769091, -79.894541 37.774441, -79.885968 37.783965, -79.87617 37.787358, -79.868727 37.784219, -79.86807 37.788718, -79.865008 37.791477, -79.857554 37.79425, -79.855711 37.79904, -79.857915 37.802599, -79.852933 37.80693, -79.857468 37.804731, -79.867458 37.802386, -79.873866 37.797425, -79.885666 37.792127))"
